"","GSM302996","GSM302997","GSM302998","GSM302999","GSM303000","GSM303001","GSM303002","GSM303003","GSM303004","GSM303005","GSM303006","GSM303007","GSM303008","GSM303009","GSM303010","GSM303011","GSM303012","GSM303013","GSM303014","GSM303015","GSM303016","GSM303017","GSM303018","GSM303019","GSM303020","GSM303021","GSM303022","GSM303023","GSM303024","GSM303025","GSM303026","GSM303027","GSM303028","GSM303029","GSM303030","GSM303031","GSM303032","GSM303033","GSM303034","GSM303035","GSM303036","GSM303037","GSM303038","GSM303039","GSM303040","GSM303041","GSM303042","GSM303043","GSM303044","GSM303045","GSM303046","GSM303047","GSM303048","GSM303049","GSM303050","GSM303051","GSM303052","GSM303053","GSM303054","GSM303055","GSM303056","GSM303057","GSM303058","GSM303059","GSM303060","GSM303061","GSM303062","GSM303063","GSM303064","GSM303065","GSM303066","GSM303067","GSM303068","GSM303069","GSM303070","GSM303071","GSM303072","GSM303073","GSM303074","GSM303075","GSM303076","GSM303077","GSM303078","GSM303079","GSM303080","GSM303081","GSM303082","GSM303083","GSM303084","GSM303085","GSM303086","GSM303087","GSM303088","GSM303089"
"CD4+ memory T-cells",0.135274888707392,0.0786641640335179,0.00240635757327916,0,0.187731710213324,0.0507465445871105,0,0.0420491023288625,0.00980795202115599,0,0.121643285523385,0.185198134122534,0.150801500767446,0.0718278154812587,0.0778787676529182,2.83535566239392e-19,0,0.193824563705662,0.183602801851032,0.101928488400016,0.0962382397267377,0.168883519882357,0.105588962739018,0.073302798645032,0.161176787919219,0.212993830387861,0.175720011181795,0.0605928058491721,0.123080011022707,0.137983088865375,0.209938343962394,0.138187047286304,0.167207104068928,0.166443582395341,0.214748558612365,0.330955733395531,0.170456353335165,0.138134174626025,0.0453698218924199,0,0.129050783978734,0.185788569808515,0.109925290515351,0.129103313997372,0.202782322369383,0.17929998585857,1.58167866984326e-18,0.196222484682268,0.256924347626934,0.218858136611703,0.0465901527546708,0.182411338166385,0.243459269876079,0.267791422876938,0.175366252862703,0.246557730442804,0.274174444774678,0.278827429256777,0.261891177208308,0.173405977550877,0.140945816523539,0.287260799144212,0.347732727208587,0.229843975814237,0.369580632039286,0.256637751867564,0.135316850356157,0.221343633287182,0.162794458724131,0.0928293112106868,0.119292500255952,0.129640020841235,0.0980534549630493,0.276407796696645,0.370642313407947,0.224601311371857,0.193741498681961,0.18454270659591,0.147593007038721,0.206996921427536,0.117943690861204,0.149330822139651,0.0706559136133029,0.17915568600731,0.166983333545699,0.116414135063445,0.288819873908002,0.315024928091015,0.378735205910635,0.246622506616125,0.0796036606673171,0.193256446257141,0.0977735086694441,0.122365479413068
"CD4+ naive T-cells",1.0925249502204e-19,0.0234485999540596,1.16315907979099e-18,1.43674808183235e-18,0,0.0125627587986604,0,9.22906433551618e-20,0.026303440892861,0.0281054933159158,0,1.25154359485173e-17,0.00836809241693024,0.0198362182707162,0.0396181360786561,0.0204305293307868,0,0,0,7.224295286808e-19,7.50320266561604e-20,0.050431835156691,0.0279871786785826,0.0177173660053274,1.867771838465e-18,0,0,0.0431004565380163,0,0.00978709949686696,0.0482979945218929,0,0.0723008333939812,1.0842021724855e-19,0.0666796221938148,0.105249144132844,0.0950360380825396,4.04160243217425e-20,0.0563557502759089,1.44644121243228e-18,0.0209036737320173,1.39072259597433e-17,0,0,1.28661722419241e-18,0,2.69352812076001e-19,0,0,0,0.00474000222704082,0.0122656945727333,0,8.84109828032833e-18,1.3307983262117e-18,3.16638463885996e-18,0.00818684724017007,4.22361435703934e-19,0,3.49713957975135e-18,0.0912212848037321,0,3.69361628609038e-18,0.00227519356598356,0,0.0208839479648377,0.0185569209645433,0.00602030443420509,1.08235234741692e-19,0,0.0313035509564231,0.0382052789650528,0,0,2.51421596592128e-19,9.00111406498424e-20,6.06867539619482e-18,0,0.0564772671239561,1.37600288335048e-18,0,0.0259480456015672,0.0267956406555139,4.40595800723154e-19,0,0,0,0,0.0345639714552585,1.80884210844016e-19,4.01780665841705e-19,0.000905008690339625,2.08596630482925e-19,1.29193902383369e-19
"CD4+ T-cells",0,0.0689835228130659,0,5.98292732180191e-18,0.19732458946293,0.0081605844389013,0.0758205964659028,0.0789870202402307,0.096720278056881,0.123826509942828,0.0645129955609147,0.026559315409387,0.0129015620974056,0.00964169399286882,0.0509714520570624,0.00358452531627192,0.0450416130990871,0.0937071127432729,0.117516338018561,1.01736950131755e-18,0.0730103867252327,0.153137004863855,0.137013766979142,0.105008431279471,0.0290288228057564,0.142773267513976,0.0534208492221477,0.0817117392782185,0.0229968033421394,0.0664516366480924,0.0364122442221815,0.0584792316497861,0.193575375794526,0.0199482035400064,0.177913789556969,0.186546211148509,0.240127601037872,0.205114182070031,0.206345935371176,0.087390429517893,0.172341643703064,0.153243466992661,0.0394296199253257,0.0369288011714112,0.031195111774007,0.0192415139699756,0.00970196136755988,0.105452987440252,0.0536873067188016,0.0897620292349081,0.163009635246495,0.0862380900240859,0.111416869467973,0.0299700286801767,0.0396175662856871,0.120889803544244,0.15118749033683,0.0474723613852551,0.0579636401922746,5.72882782817903e-18,0.0939584143688332,0.0609669443573477,0.17640063189885,0.107967352183603,0.175390863716306,0.138215488820322,0.0700379299741784,0.0346508373182874,0.0298242382304592,0,0.020212299216299,0.168592934173868,0.163336103519368,1.52179486952201e-18,0.129526196785081,0.149652405420769,0.108795033594177,0.112046336627313,0.0213060977516331,0.151946353960819,0.0711505502684999,0.00029553426642887,0.0728023043021715,0.00783316307063561,0.0330865099752561,0.0752722253063366,0.0235703305159966,0.131150104567458,0.159595822743566,0.0255101948823614,2.38119546440365e-19,0.0736188642136361,0.076973171815421,7.27779428653558e-18
"CD4+ Tcm",0.0496459786614937,0.143778435379798,0.118206707572182,0.198553182974666,0.21866991110033,0.0433952286746204,0.149732541301463,0.168024618689569,0.0299526020167182,0.120320541787104,0.12203605293325,1.1711237304138e-17,0.00200075063485324,0.0405759231571484,0.0313791435890793,0.172184190356791,0.145391922943747,0.104041992010131,0.128466165691797,0.0120954897417532,0.0338636524651948,0.0887178928338516,0.224682893864559,0.246908045347179,0,0.0194870273398104,0.0608486009602589,0.045838238084743,0.0629503442743608,0.153953853600502,0.0248084373702876,0.023872906679469,0.119384733683246,0.114606759610763,0.111605133891628,0.0961210195302276,0.140819938235783,0.196296152728291,0.218594656471878,0.19774899457916,0.222152138227352,0.0997397762445084,0.0918917130839796,0.0617025194701812,0.0136581901013316,0.0181838768401405,0.0220001503804855,0.104909022982764,0,0.0824571491173466,0.229988726743346,1.48256550607627e-19,0.0164997806412085,0.045609077272208,4.49682598070387e-19,0.0103233112067613,1.94407654325325e-18,0.0283113932098209,1.7325261361417e-18,0.0256779113867831,1.01288275592675e-19,0,3.96360991107039e-19,1.41553072204632e-19,0.00464660660418674,0.0363192806532378,0.133306251014728,0.0437808039310974,0.132191557477892,0.226494675325641,0.137354938501842,0.223498355835126,0.154391316262301,0.111345134606635,0.0377222034518908,0.091012189565605,0.106243997051076,4.91158464226601e-19,0,0,0.160170895475753,0.0230233336499373,0.202558112719007,1.91279733741096e-20,0.0105831620407414,0.0244379694960609,6.59422120792881e-20,0,0,0,0.0317676851447449,0.0930240604198045,0.096684528666189,0.0271565799355631
"CD4+ Tem",0.209417025532619,0.269443095414947,0.298171332778214,0.227544625904465,0.287289201494987,0.17285908648917,0.352489919022513,0.343696388038125,0.0614474901787423,0.177887611906058,0.267135028921383,0,0.119862279785471,0.245947979411655,0.148075322216317,0.151728868739091,0,0.253784220254099,0.197799793848067,0.0593317415310506,0.19913423480041,0.126112303324751,0.295738342716135,0.221047123310709,4.86475868546846e-18,0.209671522078253,0.174317830780567,0.134532500940476,0.188404384766336,0.258770032869875,0.184142854371665,0.0907556263956783,0.257080451566481,0.207194270589071,0.105772900816212,0.183195637386864,0.267297663245781,0.161861611908961,0.198800826015372,1.73472347597681e-18,0.190826058737559,0.0535233909861193,0.172711281112818,0.289195939303512,0.026836951446205,0.070210586384109,0,0.14534641039548,0.133613426792199,0.101411614976025,0.167506850389572,0.0239498186052503,0.0243168596828685,0.0960697816023226,0,0.12852733105138,0.0292628463655586,0.0780841133561653,0.0439781019923808,1.64933828615136e-18,0.0861068555846886,0.0910975571404973,0.0194792702343718,0.0799035834305155,0,0.103433171746014,0.0906067143181488,2.7403688263314e-18,0.156026073643239,0.164354501696879,0.0945709606078436,0.147967500463825,0.12191356150234,0.0807264526173501,0.0198039282974275,0.173718427115129,0.167006079265972,9.35154171754059e-18,0.0248330367965411,0.0830567114256401,0.174046776498643,0.116664342560661,0.218220799416775,0.0889201083736383,0.163510883773048,3.77344272786496e-18,3.0353614928478e-18,0,0.0543695719372302,0.0829747806261878,0.149989107447333,0.225366589468743,0.200160481973381,0.0754086485299343
"CD8+ naive T-cells",9.72006760123208e-19,1.31463140525449e-19,0.0895435474920143,1.9869827657808e-18,0.132106566628805,0.178975776993064,0,0,0.167030302943408,0.200263910191626,0.112198006861074,0.127777289987825,0.126301415906245,1.41208738074889e-17,0.163669665377053,0,0,0.116879930535224,0.121653498629647,0.216870824862625,0.15915611021392,0.240616654947873,0,0.0301085013124538,0.315066328958421,0.226539516876863,0.156009833693613,0.108105156803877,0,0.0882905424415099,0.116517511686481,0.0610612297465978,6.97453825862686e-20,0.0760373904308921,0,0.104477617929288,0.0900868885220449,0.189163166045082,0.13454917420001,0.148075040394273,0.130041218576572,0.325563624907426,1.04094986844979e-18,0.130172981700683,0.058716565681145,0.0876968529995755,0.0810334943116137,0.112178772353239,0.13972740717091,0.182272786876419,0,0.0640801796447731,0.295028458900666,0.11485271179418,0.123538326526822,0.204590505377322,0.114792978139821,0.057831455842588,0.111455534007883,0.234951432173885,0.00425309158566916,0,0.129096403609839,0.044972212218468,0.0698784947729283,0.122226049734489,0.0945727780412589,0.232595554327554,0.0977338110115673,0,0.0342738900934296,0.226840491898729,0.00503269448758336,0.122230719151392,0.229228550652179,0.143246069487036,0.0432824069462661,0.377353013996312,0.00442123038924904,0.213907219972167,0.0564517394510547,0.195923942590483,0.0671293263795995,0.0801301830401528,0.0408665122833252,0.276124434436923,0.2028422358251,0.124918165593498,0.151969235743821,9.91174790539325e-18,0.0496590401213674,0.112357431284126,0.187839810826897,0.0345509607029862
"CD8+ T-cells",0.199883520534012,0.194809040782084,0.113388113492931,0.203536933172958,0.0938351178262386,0.257219317434205,0.195222133952088,0.242436845439455,0.184933821345258,0.110588512893247,0.178214663111564,0.111261878221759,0.112092388104397,0.275152226901055,0.184741836717579,0.28809795708013,0.140547210871432,0.137836070409034,0.174781914925551,0.120327701761746,0.162178721239425,0.1920743133922,0.0777189825226642,0.242661191830574,0.157830331531709,0.170913835163088,0.220573327942299,0.123580196534836,0.162014356790697,0.25347854975106,6.77545472930817e-18,0.25573844991247,0.149667199752143,0.223728610484815,0.136979297286476,0.0953740804509685,0.11260893454671,0.166062493800274,0.119382475010045,0.108748825988264,0.174907167570868,0.113466063988503,0.278100357379463,0.246932459039092,0.148290008992059,0.144822165399461,0.152835854869951,0.0480319346192902,0.209117710701083,4.35520466837274e-20,0.0615530091271149,0.0692238646491565,0.149284972609424,0,0.0109984823189042,0.0527897155575005,0.089931792728251,0.115655844733373,0.151623731791445,0.0310801725354173,0.206225356943963,0.157860592249265,0.0846041224147922,0.197258092270369,0.0316246908774116,0.122262899828608,0.121733027179549,0.0545356596466756,0.0935142749143926,0.18768220244176,0.101277113120925,0.122002295350109,0.104331832469677,0.0360551015402952,0.255196072266691,0.123592840074898,0.176422729966681,0.0914232950863146,0.145850776136134,0.0942814722390161,0.154783142343063,0.0685791571457173,0.210041144250968,0.252721425613955,0.185564026010931,0.116813571739321,0,0.083474775872911,0.302776158412314,0.138556491297652,0.269808539072622,0.179141898734822,0.112298937532467,0.0385077243090236
"CD8+ Tcm",0.264526906903913,0.186540909341483,0.182908271772147,0.248305002599479,0.079784893363243,0.221755152663033,0.187610290592922,0.249793873765481,0.103050344174133,0.138190488898891,0.127531921030774,0.131859863806148,0.0672357258190495,0.261901196618122,0.270494141740976,0.209479054127777,0.206796918378002,0.180448740278949,0.190814718007901,0.127998090700345,0.139738143122651,0.153124165361399,0.0857372326876312,0.248122503219163,0.04914153423789,0.155738950334869,0.21614975925529,0.177398341727119,0.176864358734292,0.25887097535565,6.40700268203648e-18,0.234001462201441,0.234094677105689,0.179715871024959,0.195173621876595,0.0939404520966692,0.142822986369871,0.136719619472756,0.0584665950744132,0.0478994770860187,0.204468629834577,0.120030399110098,0.229865249443503,0.259037428435008,0.197850522238848,0.161576774300412,0.168212742592126,0.127185151911818,0.192796072662606,0,0.113880475053644,0.0523627557811587,0.0730823797496779,7.27118030541576e-18,0.0462966608069285,0,0.0730920233611604,0.121052035056876,0.102084449697492,1.08940089412171e-18,0.167670908192247,0.241824885635296,0.118916986211518,0.164786962378122,0.0535766596196419,0.127619628466768,0.113553684605002,0,0.0494069053852278,0.1242757756921,0.0610390116236467,0.0632454619387909,0.175591429263467,0.0921157904352691,0.233605352285061,0.1924782268824,0.157368083951576,5.67223281441972e-20,0.13336542779967,0.10539462615798,0.154141499709414,0.0584287405518255,0.198830458031528,0.240645629691441,0.167433324758164,0.075670806093292,0,0.106815712334823,0.179816791032308,0.261901105423268,0.240044661096478,0.207399251675527,0.0483964660480746,0.102082492207313
"CD8+ Tem",0.223712398003594,0.179221170410459,0.104187845904815,0.223953845577901,0.188332157302401,0.146855279572097,0.180762333376649,0.201873087125558,0.145372431525712,0.161844107349892,0.160607015396622,0.129942738994747,0.101715723243468,0.28433668565887,0.144535109620324,0.248390904243396,0.224014068988086,0.116864724284978,0.267303827080988,0.00571163737377469,0.162741940729208,0.0368418603586873,0.182439562377424,0.224707134971762,0.027683480589401,0.0786377304217493,0.189759597861722,0.156182938091215,0.240219796984926,0.29438866889078,1.14215201970595e-18,0.198052740260419,0.126241349600608,0.1340925576195,0.100897531469617,0.0956537906099371,0.115776669963305,0.217411266748991,0.166815995983052,0.156039881165268,0.226618127152735,0.14581661715578,0.283796528197864,0.167142640584859,0.106714224279147,0.0656723114804179,0.0336974381467984,0.0375700640856609,0.230398633414007,0,0.099263718739374,0.121853393419664,0.0569866282864708,0,0.0307334836689586,0,0.037632549459785,0.0655762075981476,0.0424219809460636,1.34217950661867e-17,0.13364073423228,0.136647126430735,0.048289246323658,0.192144169748028,0.0826878413786842,0.051030697127453,0.0349822052517585,0,0.0616237949332355,0.186254084372686,0.0979358413989373,0.159788709671268,0.135082643299169,0.0366550776734038,0.147622629054676,0.147601727727511,0.180848905690846,0.0475212476134266,0.0560916335214167,0.168073783408575,0.132564439176892,0.0500804874019754,0.201772817915469,0.218009090221191,0.199251382924376,0.120490293176497,8.04488950376947e-18,0.0183507265336534,0.144136582243765,0.12640686933112,0.139735480356968,0.123773096865383,0,0.0241739531254883
"B-cells",0.111065678424897,0.121192845898326,0.0758467063713522,0.0742838279584532,0.0586575582629684,0.0904179112773086,0.128190975537362,0.103029909832874,0.147493472500981,0.206093297238491,0.22305961837681,0.0831680236205248,0.110376368003349,0.215930272693553,0.124203568541472,0.11780283079291,0.033176086908524,0.112137944970563,0.109114189116035,0.0575592705193755,0.0962310655060185,0.0988036975445894,0.101744302480301,0.11393561212491,0.113663881796561,0.0660110621259046,0.151115639560123,0.0385756825744865,0.0422605503044396,0.11966541209698,0.092629690982771,0.201367583982611,0.138499233701048,0.0911784348755415,0.0335794150725882,0.120451169455027,0.107378275866573,0.17538023978325,0.109763566036815,0.117649356893774,0.0418436769586028,0.185904377706253,0.0935466443106925,0.219931725221244,0.000946968164451885,0.173316778216781,0.0900116271593937,0.0892864930881043,0.0347514963401106,0.0356584602030024,0.132514671177059,0.21108066359907,0.0510211776644766,0.0299017480928806,0.0600511015308362,0.112731850074471,0.0504822746400506,1.29389627039128e-17,0.0625042798359766,0.0505359710147956,0.206125145712498,0.107654014008777,0.113955066839442,0.281134164643932,0.0436833354013593,0.13239069063726,0.0252599073700202,0.0195709249253359,3.63592275811905e-21,0.139273599782485,0.0498276144747117,0.135378787818711,0.0308180894468041,0.000560493016173912,0.0882924281241628,0.164682693830869,0.0831974584988761,0.120128881974743,0.0721589772279709,0.212097184645114,0.114394285660512,0.150597700729987,0.131838853593555,0.119975127551931,0.13292219796404,0.166275445604265,1.77347595112719e-18,0.14383028213775,0.0869349126292502,0.0904706139474374,0.155299989259496,0.183676365939266,0.101003528017259,0.0458487538270369
