"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94"
"CD4+ memory T-cells",0.25057,0.56213,0.977966666666667,1,0.0974533333333333,0.724776666666667,1,0.77257,0.935653333333333,1,0.316116666666667,0.10195,0.190176666666667,0.603023333333333,0.56679,1,1,0.08757,0.104846666666667,0.42471,0.45761,0.137576666666667,0.403703333333333,0.594506666666667,0.158296666666667,0.0629633333333334,0.121453333333333,0.668816666666667,0.308676666666667,0.23835,0.0666,0.237556666666667,0.142106666666667,0.144076666666667,0.06088,0,0.133693333333333,0.23779,0.7546,1,0.279076666666667,0.100893333333333,0.37935,0.27887,0.0753,0.113483333333333,1,0.0840866666666666,0.0218033333333333,0.05626,0.748,0.107173333333333,0.0319633333333333,0.0146666666666667,0.12229,0.02935,0.0113166666666666,0.00907666666666662,0.0184,0.126573333333333,0.22582,0.00583333333333336,0,0.04482,0,0.02201,0.250393333333333,0.05374,0.154026666666667,0.477823333333333,0.32816,0.276353333333333,0.447463333333333,0.01023,0,0.0503033333333334,0.0877133333333333,0.10315,0.20098,0.0702199999999999,0.33534,0.195243333333333,0.609926666666667,0.113843333333333,0.14273,0.343566666666667,0.00534333333333337,0.000310000000000032,0,0.0292966666666666,0.556546666666667,0.0884633333333333,0.449043333333333,0.312356666666667
"CD4+ naive T-cells",1,0.51607,1,1,1,0.693586666666667,1,1,0.47575,0.451093333333333,1,1,0.773993333333333,0.57038,0.312976666666667,0.561336666666667,1,1,1,1,1,0.211353333333333,0.45271,0.604093333333333,1,1,1,0.277706666666667,1,0.745296666666667,0.229583333333333,1,0.0831566666666667,1,0.10688,0.0229966666666667,0.0358266666666667,1,0.167083333333333,1,0.554113333333333,1,1,1,1,1,1,1,1,1,0.853536666666667,0.69882,1,1,1,1,0.777816666666667,1,1,1,0.0408566666666667,1,1,0.91563,1,0.554436666666667,0.59044,0.824196666666667,1,1,0.409103333333333,0.32863,1,1,1,1,1,1,0.166313333333333,1,1,0.48052,0.46872,1,1,1,1,1,0.36932,1,1,0.956883333333333,1,1
"CD4+ T-cells",1,0.60105,1,1,0.0255633333333334,0.98537,0.543986666666667,0.517833333333333,0.377233333333333,0.214586666666667,0.637806666666667,0.907903333333333,0.96989,0.981036666666667,0.745353333333333,0.995753333333333,0.78923,0.399706666666667,0.24391,1,0.567296666666667,0.107636666666667,0.160113333333333,0.31792,0.894226666666667,0.139436666666667,0.726986666666667,0.495143333333333,0.926543333333333,0.621993333333333,0.849036666666667,0.686446666666667,0.0307433333333333,0.941153333333333,0.0547266666666667,0.0409633333333334,0,0.0165433333333334,0.0151633333333333,0.449356666666667,0.06442,0.107313333333333,0.82867,0.84559,0.881843333333333,0.94415,0.980803333333333,0.31509,0.724986666666667,0.430203333333333,0.0827566666666667,0.45863,0.27774,0.88868,0.827473333333333,0.228306666666667,0.11309,0.771316666666667,0.69065,1,0.397836666666667,0.66685,0.0572766666666666,0.29865,0.0592066666666666,0.155756666666667,0.591896666666667,0.86055,0.889606666666667,1,0.939863333333333,0.0712933333333333,0.0819466666666666,1,0.19016,0.11787,0.29354,0.274166666666667,0.934553333333333,0.11102,0.58281,0.999923333333333,0.568966666666667,0.986306666666667,0.870623333333333,0.54858,0.92372,0.18348,0.0908166666666667,0.91367,1,0.562323333333333,0.534703333333333,1
"CD4+ Tcm",0.0363733333333334,0,0,0,0,0.0562866666666667,0,0,0.123446666666667,0,0,1,0.75223,0.0675566666666667,0.114283333333333,0,0,0,0,0.376563333333333,0.09996,0.000203333333333333,0,0,1,0.236913333333333,0.0142099999999999,0.0477033333333333,0.01154,0,0.16914,0.179546666666667,0,0,0,0,0,0,0,0,0,0,6.33333333333042e-05,0.01307,0.34138,0.25701,0.20203,0,1,0.000966666666666671,0,1,0.285766666666667,0.0484333333333333,1,0.421096666666667,1,0.13582,1,0.160206666666667,1,1,1,1,0.61277,0.0872133333333334,0,0.05477,0,0,0,0,0,0,0.0804066666666666,9.00000000000345e-05,0,1,1,1,0,0.189563333333333,0,1,0.41422,0.173093333333333,1,1,1,1,0.11208,1.33333333333097e-05,0,0.14571
"CD4+ Tem",0,0,0,0,0,0,0,0,0.221133333333333,0,0,1,0,0,0,0,1,0,0,0.235036666666667,0,0,0,0,1,0,0,0,0,0,0,0.0602200000000001,0,0,0.0152833333333333,0,0,0,0,1,0,0.273306666666667,0,0,0.43819,0.16531,1,0,0,0.02585,0,0.45521,0.453303333333333,0.04156,1,0,0.424046666666667,0.117453333333333,0.334716666666667,1,0.07887,0.05897,0.481733333333333,0.10721,1,0.0206366666666666,0.0607466666666666,1,0,0,0.0464333333333333,0,0,0.10275,0.479836666666667,0,0,1,0.450223333333333,0.09094,0,0.000726666666666653,0,0.0673866666666667,0,1,1,1,0.26769,0.0912533333333333,0,0,0,0.133086666666667
"CD8+ naive T-cells",1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0.0584833333333333,0,0,0,0,1,0,0,0.000129999999999963,1,0,1,0,0,0,0,0,0,0,1,0,0.000426666666666686,0,0,0,0,0,1,0,0,0,0,0,0,0.000606666666666644,0,0,0.590556666666667,1,0,0.00909333333333329,0,0,0,0,0,1,0.0346733333333333,0,0.55328,0,0,0,0.01128,0,0.582123333333333,0,0.000963333333333316,0,0,0,0.0152633333333333,0,0,0,0,1,0.00433666666666666,0,0,0.0334566666666667
"CD8+ T-cells",0,0,0,0,0.00358999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173766666666667,0,0,0,0,0,0,0,1,0,0,0,0,0.00280333333333338,0,0,0,0,0,0,0,0,0,0,0,0.127906666666667,0,1,0.0501533333333334,0.0295066666666667,0,1,0.580893333333333,0.0957633333333333,0.00584666666666667,0,0,0.28122,0,0,0.01008,0,0.275493333333333,0,0,0.0851033333333333,0.00375000000000003,0,0.000763333333333338,0,0.000196666666666623,0.22997,0,0,0,0.00489666666666666,0,0.00337333333333334,0,0.03055,0,0,0,0,1,0.0110633333333333,0,0,0,0,0,0.206783333333333
"CD8+ Tcm",0,0,0,0,0.05489,0,0,0,0.0102933333333334,0,0,0,0.0935833333333334,0,0,0,0,0,0,0,0,0,0.04044,0,0.189506666666667,0,0,0,0,0,1,0,0,0,0,0.0236733333333333,0,0,0.134186666666667,0.19772,0,4.33333333332842e-05,0,0,0,0,0,0,0,1,0.00141666666666662,0.16876,0.0738233333333334,1,0.20906,1,0.0737933333333334,0,0.0114966666666667,1,0,0,0.000163333333333293,0,0.161363333333333,0,0.00157666666666667,1,0.18769,0,0.121123333333333,0.110756666666667,0,0.02703,0,0,0,1,0,0.00770999999999999,0,0.134396666666667,0,0,0,0.06617,1,0.00634666666666661,0,0,0,0,0.194363333333333,0.0115
"CD8+ Tem",0,0.000240000000000018,0.173916666666667,0,0,0.0430466666666667,9.33333333332786e-05,0,0.04623,0.0153066666666667,0.01724,0.08469,0.1846,0,0.0480933333333333,0,0,0.12548,0,0.917206666666667,0.01389,0.60098,6.66666666671034e-06,0,0.683293333333333,0.30235,0,0.0245033333333333,0,0,1,0,0.09545,0.0733933333333333,0.188226666666667,0.212373333333333,0.129216666666667,0,0.00837333333333334,0.02474,0,0.0452900000000001,0,0.00801333333333332,0.16333,0.382706666666667,0.6288,0.594506666666667,0,1,0.195566666666667,0.108816666666667,0.44213,1,0.655436666666667,1,0.59396,0.383383333333333,0.55375,1,0.0745933333333333,0.0668266666666667,0.507273333333333,0,0.279026666666667,0.486126666666667,0.61719,1,0.41,0,0.20176,0.0183766666666667,0.0707466666666666,0.60262,0.04142,0.0414733333333334,7.9999999999969e-05,0.51335,0.448703333333333,0.00697666666666663,0.0775333333333333,0.49331,0,0,0,0.113146666666667,1,0.774606666666667,0.0489466666666667,0.0949266666666667,0.0590933333333333,0.102976666666667,1,0.716833333333333
"B-cells",0,0,0.00229666666666661,0.00286333333333333,0.01392,0,0,0,0,0,0,0.000419999999999976,0,0,0,0,0.10061,0,0,0.0150666666666667,0,0,0,0,0,0.00753333333333328,0,0.0636633333333333,0.04593,0,0,0,0,0,0.0972033333333333,0,0,0,0,0,0.0475866666666667,0,0,0,0.85238,0,0,0,0.0881266666666667,0.0818266666666667,0,0,0.0230733333333333,0.130853333333333,0.0125366666666666,0,0.0239466666666667,1,0.01034,0.0238633333333333,0,0,0,0,0.0406533333333333,0,0.18439,0.270413333333333,1,0,0.0250066666666666,0,0.121936666666667,0.88711,0,0,0.000416666666666621,0,0.00398666666666669,0,0,0,0,0,0,0,1,0,4.99999999999945e-05,0,0,0,0,0.0339033333333333
