"","GSM333673","GSM333674","GSM333675","GSM333676","GSM333677","GSM333678","GSM333679","GSM333680","GSM333681","GSM333682","GSM333683","GSM333684","GSM333685","GSM333686","GSM333687","GSM333688","GSM333689","GSM333690","GSM333691","GSM333692","GSM333693","GSM333694","GSM333695","GSM333696","GSM333697","GSM333698","GSM333699","GSM333700","GSM333701","GSM333702","GSM333703","GSM333704","GSM333705","GSM333706","GSM333707","GSM333708","GSM333709","GSM333710","GSM333711","GSM333712","GSM333713","GSM333714","GSM333715","GSM333716","GSM333717","GSM333718","GSM333719","GSM333720","GSM333721","GSM333722","GSM333723","GSM333724","GSM333725","GSM333726","GSM333727","GSM333728","GSM333729","GSM333730","GSM333731","GSM333732","GSM333733","GSM333734","GSM333735","GSM333736","GSM333737","GSM333738","GSM333739","GSM333740","GSM333741","GSM333742","GSM333743","GSM333744","GSM333745","GSM333746","GSM333747","GSM333748","GSM333749","GSM333750","GSM333751","GSM333752","GSM333753","GSM333754","GSM333755","GSM333756","GSM333757","GSM333758","GSM333759","GSM333760","GSM333761","GSM333762","GSM333763","GSM333764","GSM333765","GSM333766","GSM333767","GSM333768","GSM333769","GSM333770","GSM333771","GSM333772","GSM333773","GSM333774","GSM333775","GSM333776","GSM333777","GSM333778","GSM333779","GSM333780","GSM333781","GSM333782","GSM333783","GSM333784","GSM333785","GSM333786","GSM333787","GSM333788","GSM333789"
"CD4+ memory T-cells",3.18510114158139e-20,7.06725890075306e-20,4.60451281975769e-20,1.01248230421194e-18,0.165901312516938,0,0.00453264653331938,0,0.11779054632622,0.0298874534206268,0.0105338425963848,0,0.0394994975816644,9.62796431121668e-18,7.04320582713875e-20,2.41059539448075e-17,0.0774918147764051,0.0817474879961048,0.0147567362283636,0,6.65167358886579e-18,0,2.97201118744368e-20,0,0.0768066408583911,0.215808702715323,0.156376954590422,0.0145554618035874,0,1.65479818803199e-18,0.0969266836332525,0.207095694548585,0,0.0969178781577129,1.46154186316112e-19,0.109654098421837,3.40987453531214e-18,0.0291862780548293,0.0351937024745286,0.0822486734986251,0.156042816970266,0.029538870172675,0,0,4.50870225856638e-20,0.0632246139658527,0.249222100778258,0.0166090996535481,0.0355006351202114,0.141089456155725,3.25748805941976e-19,0.14365878786406,0.123917473501728,0.0146042933736653,0.12136869281335,0.285062827179682,0.0856735126131131,0,0.16933514734485,0.195197295819261,0,0.0339397805788221,5.28292836357006e-19,0.190842965369684,0.216913817937729,0,0.104659979463087,0.0456013406385111,0.219136811029917,3.4477524187671e-18,0.205985354708639,0.359184766256287,0.194883414222119,3.102589204487e-19,0.219135354078105,0.0130322303262344,0.0165935648675574,0.0849349612782605,0.13965767269456,1.27820653316464e-17,0.219384095865067,0.295172482214359,0.237733521129684,0.266717625583029,0.313876068642808,0.318364402191476,0.164645986323461,0.0877156864554685,0,0.0554720990646372,0.00810567359258452,0.0467240028115649,0.0963638931337464,0.0538768040825634,5.78013496732778e-20,0.0142213063167582,0.053372136113097,0.0140528725263017,0,0,0,0.106462746505248,6.12325417640018e-20,3.1938881570066e-19,5.2629861315078e-19,0,0,0.0197801383686629,0,0.0434459765333191,1.93264434918557e-18,0.0133471252425935,0,0.0145328479254587,0.0487177104775122,3.8120204719324e-19,0
"CD4+ naive T-cells",0,0,0,1.70936102091047e-19,1.59296817997691e-17,0.0819763855648879,0,0,0,8.49241806370157e-19,0,0,0,1.14530465008347e-19,0,4.26191795986134e-20,0,3.7350758820477e-19,0,0,0,1.17429271713098e-20,6.6435900095469e-18,0,1.92595517767834e-18,7.57192702609218e-19,8.49316108778964e-20,0,1.63468510099684e-18,0,1.5927566836255e-19,8.16659922307676e-18,0.013585941290543,4.93776797768867e-19,0.00817137564108396,6.6786097732513e-18,1.11815448065995e-18,2.09721718119121e-18,2.2196966724212e-20,0.0155959339534548,0.00224711451167182,0,0,0,1.21543582756621e-18,0.0170107359863285,0,5.26945354308406e-18,0,0,0,0,0,0,5.57325666301676e-18,1.00173001759865e-19,0,0,0,8.99767606628299e-18,0,0,5.17193572358497e-19,3.92041384348015e-19,0,1.06400597165726e-18,0,9.83859566762729e-18,1.25698926991224e-19,7.32210743440355e-20,0,0,0,1.16024440793647e-17,3.61327836581839e-19,0,0,3.67599704593069e-19,0,0,1.81141313697225e-18,1.30663781333997e-17,1.07028218554916e-18,4.3296503628462e-18,0,0,9.12050833776158e-19,0,2.825910715257e-18,2.71736905217607e-19,3.94279570788318e-18,0,1.10152396642081e-17,5.1930073102448e-18,1.40643915444012e-18,1.49546399564579e-18,0,0,9.17352402697802e-19,0.0403286907461117,4.60752914266161e-19,0,0,0,1.08975494607662e-19,0.0259786924480695,8.67011119651219e-18,0.0213309863611441,0.0353197117163594,2.65208554145493e-18,3.6132266335652e-18,2.61466096375387e-18,0,0,1.54903552875862e-18,0,3.49104939042648e-18
"CD4+ T-cells",8.78680607298546e-18,0.00539897817362752,2.60367399204625e-18,1.76849656348012e-20,0.088903641178312,0.0852516925608299,0.029831749837822,1.98134830528379e-19,1.66941234758385e-19,0.0338762536285236,0.034320029848339,0,0.0254729563718702,0,0.0728298498751422,0,0.0324928447236769,0.042447268889579,0.012573360258984,0.0278962796529269,0,0.0487767759778096,6.10457719246186e-19,0,0.000223365157096004,0.12823422361315,0.0132556983520512,0,2.47073005095661e-19,0,0,0.136424477387846,3.6108922738597e-19,0.107070489396581,0.0651126401158582,0.11140808518311,1.02093888594885e-18,0.0433937349094527,0,0.0509918557664282,0.0523660091216006,0.0539734055759775,1.13666712768555e-17,0.0311600650664117,0.0468149826095518,0.0957868548425825,0.123820084945501,1.75319694108612e-19,3.56156123601339e-18,0.0425219253930967,1.94820788283299e-17,0.0512921482774349,0.0233891862848662,0.0821257259883092,0.0293711315595479,0.121198218818291,1.46010483362659e-17,0,0.166563101644655,0,0,0.0537360141115173,0,0.0771974100033993,0.0446958461550211,0,0.090295925134499,8.19709281425959e-18,0.104265966030475,0.0692030401236812,0.0102884013224235,0.145602068667176,0.0828892257694793,0,0.0562142456517846,0.00259949240828513,0.0119632332007481,0.0529072629800355,0,0.0197059182934751,0,0.152959723107868,0.131409314570047,0,0.0551749972573811,0.0976282787883656,0,1.31282725241044e-17,4.0238185202503e-20,0.0569488082871345,0,0.0130700671368677,1.2250559669251e-18,0,0,2.23395585985152e-20,7.80625205914649e-19,4.0019878042901e-18,2.32323026709017e-18,0.0189919485982992,0,0.0475629681664294,9.1102609600333e-18,2.09424625693026e-17,0.0300243425457104,0.00747672347939471,0.0162085895117945,0.0035142706708077,0,0.0264442979940802,0,3.17514523393399e-19,1.50952610352597e-20,8.05678212704593e-18,1.2267660553034e-18,0,1.80852635122108e-18
"CD4+ Tcm",3.39666585470246e-19,0.102129426965939,0.00647382886158807,0,0.0591313303313224,0.111384043970709,0.1233130341095,0.0968935736019783,0.000104278899506869,0.0304760112169326,0.158811662673393,0.0944673624288547,0.199147198423145,0.112918391879534,0.0827594749023044,0.164082638173965,2.98444954818111e-18,0,0.139489292273679,0,0.128925024845188,0.163826210324132,0.17171309546672,0.127098665407897,0.0185893041351429,0.0642024023102811,4.37257959677827e-18,0.0396748826887274,0.020373560425702,0,0,0.136737816761643,0.0717312615115633,0.227520534484364,0.0870214578352835,0.184504387974585,0.078735179615386,0.172960889472464,0.059290790950934,0.126114350556869,0.0338463821129286,1.53711328156638e-18,0,0.0454928460800819,0.101685234701678,0.142202522484838,0.119601654311505,0.0606151076057514,0,0.0559510808124352,0.000585997181682147,0.00515832607211573,0.0357989859346722,0.0934911162961474,0.113518219038494,1.53772826833638e-18,0.00862275211334494,0.104192545221326,1.25350527120025e-19,0,0.057673287567112,0.118022031650573,0.0158020693414339,0.0752415079920537,0.0999310914376222,0.173274668317285,0.163325775887956,0.188147530477979,0.137858376339483,0.158994402843032,0.158401594776079,1.87666405900263e-18,4.67607889808353e-19,0,0.190200787336624,0.0705406074564508,0,0,0,0.198318038714454,8.10526782747149e-18,0.0564351141359258,0.134645871638535,1.31998666288542e-18,1.15425132094928e-17,0.0896438327869374,0,0.0250833253267373,0.0364993614108973,0.124989780684809,0.0526538923326478,0.0897911891466954,0,8.9691700118204e-19,0.00856130183521969,0,0.0105683195747949,0.0638335322345583,0.0626400262604717,0.0788563384670768,0.034736512619537,0.160587848078294,0.0193387961940758,0.0875786701298043,0.0974653827616075,0.0257341394660936,0.0272610154390159,0.0894882233046629,0.0996508359530625,0.210810021595899,0,0.0351840331596401,0.0510644600520495,0.0873508708209074,0,0.0293852452966967,1.82146285213901e-19
"CD4+ Tem",1.41904677431519e-19,0.0212555486040869,0,0.0896045051696667,0.113372976470268,1.72071312086817e-19,0.108771763558411,0.188657068770745,0.132732401478466,0.130931572640853,0.114212784301528,0.0356823499941436,0.157246295323166,0.143738223827571,0.0804914049374986,0.146347434007132,0,0.0579024403902832,0.0643649750351942,0.0725863255992806,0.148831219897899,0.145208114100315,0.0668913353422479,0.0539081951120104,0.082644564108504,0.122323979881345,0,0.0884093885548728,0.067906216643409,0.0554779924230468,0,0,0,2.66124487241619e-18,0,0.0990279498806644,0.0790641553548093,0.089994420268974,0.0628905339399634,0,0.150944395033543,0.0848286113402797,0.0177198130025537,0.0233500391659867,0.153138146422852,0.0613831459258352,0.111953982923115,0.0632865494955886,0,0.103712515648186,0.0804433619324843,0,0.0419983187058819,0.086725151976831,0.113311227244829,5.31724891296841e-21,1.03600779251059e-17,0.089438446325593,0.099048910105237,0,0.0806096678875945,0.0319557146226885,0.0240623123911623,0.0275783408566888,0,0.124885092996737,0.0271022881085281,0.135586141633681,0.0143532147801573,0,0.118528399175281,0,0,0.0687790245379788,0.134328486658436,0.153252304585331,0.067954292512203,5.79668206764797e-18,0,0.0807271887384934,0,0.108351628484215,0.181174089698447,7.33456772467946e-18,3.04405241261726e-18,0.0385377808338107,0.0716466175636061,0.146911395966194,0.115759902822236,0.132409366262277,0.0365497396817841,0.034092808932521,0.0477654348332368,0.108027615395184,0,1.82785621641862e-18,0.0885057469185315,0.0483505181472544,0.105861339351684,0.103195346335839,0.0104413251388077,0,0.0628341848928752,0.101938692416381,8.43893942306023e-19,0.0517443073433234,0.100748843774697,0.0801804449769537,0.0439782276245089,0.0833362952764472,0,0.100517804304521,0.0819844914390174,0.0793963186159361,0.105734932698958,0.0129011382518121,0.0650547638603513
"CD8+ naive T-cells",0.117247597995587,0,0.230871225846806,0.0663647435212255,0.145940625177814,0.301591931435255,0.163475668774587,0.0544523387290961,0.190126656732738,0.135434391311869,0.203493964826893,0.271648820477121,0.0451437605478725,0.056250576156351,0.127159743591458,0.117944047179558,0.0230358146783499,0.166396354378552,0.257667337571301,0.141195357077088,0.129063316495778,0.137712312032552,0.410314799946716,0.284685675499006,0.0440684391107815,0.189247409123248,0.260778050590406,0.244432454689334,0.345719051230122,0.0497810514492844,0.270500108445609,0.0934286645246832,0.127053612733016,0.177636240513788,0.0608987733002517,0.203682226287087,0,0.162698059735156,0.107035423925585,0.131937112392886,0.191727593863392,0.00739128092544129,0.0686934130975836,0.172096024029089,0.0101532022480767,0.140940617973776,0.234688502826618,0.150034725312509,0.0808715561358299,0.234319185981103,0.15979448302429,0.146527399841479,0.128152098370673,0.19201121297155,0.29091176984957,0.222922514973879,0.285893057599131,0.0570190042248405,0.061156399217424,0.0919217314182598,0.168674634740355,0,0.167170184763911,0.170110439859082,0.14332232031858,0.102635515527223,0.144538859448062,0.118136304665901,0.268625283497096,0.0409782886910449,0.154551552880176,0.125615763564886,0.141662121365003,0.0191032676033509,0.430042631665429,0.0883147876424527,0.107538362804589,0.10037215740872,0.164959739845518,0.132974869798421,5.06983880951911e-19,0.224504297055782,0.00753035841342223,0.208363969573051,0.173080318524354,0.212800019823833,0.00524353619627298,0.241497717858167,0.0665972320926093,0.0238101625615485,0.249601525551866,0.156724579524278,0.244535897396096,0.145597642753069,0.0316458461202349,0.187869358948065,0.0838494406611507,0.314009894089464,0.226886248422152,0.299223927905658,0.145008281033771,0.353584763337674,0.0342008306770018,0.180473286357624,0.0601272350639505,0.215461351859999,0.124769348204334,0.222377522865286,0.12111945806888,0.232028589904872,0.108500480942685,0.0844536286936019,0.0808126745608517,0.0952583462340375,0.195402687023006,0.175453847619301,0.295394842498681
"CD8+ T-cells",1.22553083675416e-18,8.53764822503185e-19,0,1.17193372585123e-18,0.0632639898544909,0,0.0709896449066451,0.0411844704448141,0.0555566433314746,0.0688685065238163,0.00124460312561871,0,0,0.044248745488718,0.00934874611009875,0.000727010235932032,0.0579860675106469,0.0949595015345446,0.022088020095333,0,4.33745926042869e-18,0.0140400452082296,0,0.0362834943103236,0.0950005638579875,0.00992153772593694,0.0547437686742326,0.00621468076066019,0.0313248910193586,0.0352058369847582,2.92576428835483e-18,0,0.0541818321011808,0,0.0541848088549371,0.0966157104920226,0,0.0713899486003936,0.0334447800733162,0.0566585864370628,0.0963153417136181,0,3.02971804189601e-18,0.0509785383240647,0.0173338839426183,0.0327765488340742,0,0,2.51431081745301e-18,0.00742760639193335,1.44081688579735e-17,0.0317315707034611,0.0544436621422428,6.13079262142144e-19,0.0129568090111977,0.013871812229793,0.00827161777054129,4.07339348975545e-19,0.0410069698564994,0,0.033965358016175,0.0397217109493648,0,0.0563086478917666,0,0.0352031559318644,0,0,0.0505441080481415,0,0,0.0234310316433301,0,0.0213469888394105,0.0914747021121306,0.0280245016399612,0.0477425440630914,0.0600859052275291,7.08692835129771e-19,0,0,0,0,0,0,0.0733797580193705,0.0443596384559661,0.0775537714997715,0,0.0738513881500403,0.0287400244585494,0.0639493086984682,0.0586542656730349,0.0503881545859148,0.0295798234317691,0.0145606449643189,0.0684878085567641,0.0403775216679328,0.0477398387434073,0.113618848712898,0.0577783049424174,0.056041500649445,0.032120052767925,4.47550461428664e-19,0.0862105026287088,0.117322504784873,0,0.0771277911053894,0.0648392646052974,0.12160825253773,0,0.0622933166898613,0.0957259366379114,0.0148845510535633,3.47048992300635e-18,0.0483323586939337,1.22585085321278e-17
"CD8+ Tcm",0,0.0184123470423963,0,7.84363745215603e-18,0,0,0,3.40329467943023e-21,1.52409033665097e-18,1.01840256117251e-19,0,0,0,0,0,0,0,0.0131971116334292,1.41062407335878e-18,0,0,4.85487452158057e-20,0,0,0,0,0,0,1.2892767703235e-20,0,5.41012441358354e-18,0,0,1.53468187346072e-17,6.07989734289319e-19,0,0,7.73049005024137e-19,0,0,3.13385681174838e-19,3.48080374471554e-18,8.23807243408143e-19,1.34233512349345e-17,1.61656346614864e-19,1.14911720392795e-19,0,0,0,0,0,6.52028112405527e-18,0,3.88895886022693e-18,7.91171060172349e-19,0,0,0,0.0212715078832438,0,1.92556926110099e-18,7.33643022023617e-18,2.69763893851619e-18,4.70779282825654e-18,0,0,0,8.05668524025212e-18,1.12674471566003e-18,0.00418141546502746,2.28808693034373e-20,7.72403705610919e-19,0,0,0.0123986174894709,0,0,0,0,7.38622230715767e-18,0,0.0180193901420366,0,0,2.01314314487305e-19,0.0373550559079549,0.0346075472429136,0,3.26391321492073e-18,0,0,7.1942939776209e-19,0,2.36871468651465e-18,0,0,4.27610962828437e-19,2.64649357358894e-18,0,0,1.39486208045993e-17,1.19890390329103e-18,0,0,0,2.59558302126199e-19,0,0,1.76450662843324e-18,0,0,2.53491405054791e-18,0,1.09328778461601e-17,0,1.32959809118287e-17,1.74929771854839e-17
"CD8+ Tem",0.100426094387869,0.11850564673401,0,0.0392182036305133,0.0613339076183965,0.00553230482989971,0.112356186855198,0.127520985516409,0.0831885514312258,0.0749276186329931,0.0272083718503315,0,0.0864210825650091,0.141006905662706,0.0761077415014034,0.166816801365878,0.0937344218902653,0.128592106734688,0,3.93508369057204e-19,0.0844910316540894,0.0145611523225706,0.000447829600071255,2.455798757094e-18,0.0944209878026376,0.0654556688774734,0.0280195727703204,4.07017187885184e-20,0,0.0889845178804142,0,0.0125232841184498,0.10675885062144,0,0.10872639561157,0.122843984212534,0.0294406229939953,0.103083343319417,0.0155685729017341,0.0993832624847149,0.0762526978530921,0.101445616805735,0.00146688610096073,0.0434327122107551,0.1388004312188,0.110288922464968,0.00141450878511161,0.0326895365886216,0,0,0,0,1.55368539207007e-19,0,1.4428533535409e-18,0.0334918043965854,0,0.0873277746783788,0.0670099081283699,1.48662111975643e-17,0.0779507561735719,0.157568473604396,0.00807220147938371,3.48152889820626e-18,4.43548615462584e-18,0.0541746086194978,0.0292517750592017,0.0517707517827915,0.0237640950164484,0.0662227962967014,0.0013595711644339,0,0.00556037094635435,0.0867180509380677,0.00415129556200159,0.11645687981853,0.0673253364533929,0.0249023346238563,4.21797920217679e-18,0.0376119554865709,0.0526696162579856,0.0708126119190188,0.143280208122967,0.0147615162513709,6.84736697462004e-18,0.0247083528621905,0.098209995143923,0.0209354428825248,0.143053771074764,0.201685392010245,0.0337393438321277,0.0956070298369038,0.00747992434257754,0.111527422671366,0.0859544378318324,0.0798560423244569,0.130159333543554,0.0214530069333157,0.0483237593909027,0.0849344633437756,0.0562380192537316,0,0.109561760283796,0.0393157996011876,0.149387829693942,0.090846369938695,0,0.0998922234503226,0.0449105959392598,0.102677682735665,0.071314940412931,0.083879477549687,0.155240950206349,0.040973663112993,0,0.0860688098426987,0.0668426256409704
"B-cells",0.112143356419333,0.0192908795137716,0.0138323280023311,0.124868646067177,0,0.0543283124341108,0.0943545306378526,0.138518824971846,0.120188519709652,0.146486391869822,0.0558328835879571,0.0302337008600768,0.0211328423751134,0.137992065548998,0.0468027907706323,0.022157211538437,0.0196026992172588,0.137174469045303,0.0557669503321113,0.0379556209137035,0.116708493114456,0.104539304620014,0,0,0.201502408721871,0.066731114190144,0.183279133564323,0,0.168350291990077,0.0655911439525977,0.151699777004724,0,0,0,0.108145686829067,0.110893382795126,0.00433692581946553,0.022871145482206,0.126711069796676,0.0814849179048498,0.207595639579933,0.17540303654262,0.0841796728416883,0.0269168836063571,0.00347365395384572,0.0473073049319315,0,0.0572810338381524,0.123277606662891,0.00110357633967608,0,0.083707342089467,0.113519596218734,0,0,0.0992456672338954,0.040540023370308,0.137412236821092,0.157720214431881,2.54767637407349e-19,0.113456283126891,0.0517157809656655,0.0163975866566499,0.0214602884850099,0.0441576819619763,0,0.0873278820488214,0.0251320683456427,0.053997742895583,0.0354559770632613,0,0.162847528949721,0.145346616876982,0.119256348898013,0,0.0593452792032312,0.141355148403971,0.0114887557771616,0.127784930379473,0.0650140555327764,0.0939796998268828,0.04904005088004,0.117243129844201,0,0.183179867318494,0.133794699260332,0.0403087975942329,0,0,0,0,0.0967105037974477,0,0.0478175547878423,0.00928916642495748,0,0.0532724450283893,0.010592405396196,0.102879803232708,0.176076127162056,0.120058368401971,0,0.0526149494318753,0.140885120790305,0.188472112763137,0.139563895793742,0.0962255849248681,0.112386858353241,0.170015806403966,0.216224000072308,0,0.0708146044907349,0.119212281822867,0.0363735622687117,0.114941487804639,0,2.415301735986e-17
