"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117"
"CD4+ memory T-cells",1,1,1,1,0.144993333333333,1,0.964143333333333,1,0.337013333333333,0.83548,0.93188,1,0.78507,1,1,1,0.56919,0.543786666666667,0.910416666666667,1,1,1,1,1,0.57337,0.0595266666666666,0.172176666666667,0.91144,1,1,0.454023333333333,0.06993,1,0.454083333333333,1,0.381413333333333,1,0.839096666666667,0.807863333333333,0.540783333333333,0.173206666666667,0.837396666666667,1,1,1,0.653466666666667,0.0271066666666666,0.90118,0.806383333333333,0.225026666666667,1,0.214786666666667,0.304916666666667,0.91119,0.318213333333333,0.00666333333333335,0.52048,1,0.136313333333333,0.0853866666666667,1,0.814526666666667,1,0.0922166666666666,0.0583066666666666,1,0.40958,0.75199,0.05605,1,0.0712233333333333,0,0.08584,1,0.05605,0.91898,0.901263333333333,0.52503,0.230996666666667,1,0.05577,0.00355666666666665,0.0369166666666667,0.0154233333333333,0.000373333333333337,0.000156666666666694,0.148486666666667,0.508463333333333,1,0.697293333333333,0.94425,0.74598,0.45719,0.706503333333333,1,0.913056666666667,0.70939,0.913906666666667,1,1,1,0.3993,1,1,1,1,1,0.88591,1,0.763746666666667,1,0.917333333333333,1,0.911553333333333,0.73502,1,1
"CD4+ naive T-cells",1,1,1,1,1,0.05469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.676106666666667,1,0.780723333333333,1,1,1,1,0.64055,0.917633333333333,1,1,1,1,0.6168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.306076666666667,1,1,1,1,1,0.48013,1,0.547786666666667,0.361263333333333,1,1,1,1,1,1,1,1
"CD4+ T-cells",1,0.992243333333333,1,1,0.43729,0.46624,0.88922,1,1,0.864636666666667,0.861903333333333,1,0.913253333333333,1,0.56849,1,0.87334,0.80776,0.97148,0.90014,1,0.761063333333333,1,1,0.999926666666667,0.19507,0.969023333333333,1,1,1,1,0.16268,1,0.304056666666667,0.63191,0.276923333333333,1,0.8009,1,0.744076666666667,0.733563333333333,0.721076666666667,1,0.881313333333333,0.775496666666667,0.38398,0.214043333333333,1,1,0.80723,1,0.74185,0.92427,0.49156,0.89205,0.22584,1,1,0.07616,1,1,0.72302,1,0.532233333333333,0.791106666666667,1,0.426083333333333,1,0.322806666666667,0.59842,0.979086666666667,0.130563333333333,0.485293333333333,1,0.70355,0.99745,0.973666666666667,0.729443333333333,1,0.94214,1,0.10865,0.181923333333333,1,0.71164,0.370066666666667,1,1,1,0.69781,1,0.96971,1,1,1,1,1,1,1,0.94541,1,0.769916666666667,1,1,0.888156666666667,0.987116666666667,0.95757,0.995966666666667,1,0.908126666666667,1,1,1,1,1,1,1
"CD4+ Tcm",1,0,0.540353333333333,1,0.01718,0,0,0,0.949913333333333,0.12175,0,0,0,0,0.000916666666666677,0,1,1,0,1,0,0,0,0,0.25245,0.01036,1,0.0728366666666667,0.225576666666667,1,1,0,0.00465000000000004,0,0.000333333333333297,0,0.0018866666666667,0,0.0169166666666667,0,0.101463333333333,1,1,0.0503533333333334,0,0,0,0.0148233333333333,1,0.0228133333333334,0.87178,0.590976666666667,0.0911166666666666,3.33333333335517e-06,0,1,0.470746666666667,0,1,1,0.0195833333333333,0,0.300056666666667,0.00315333333333334,0,0,0,0,0,0,0,1,1,1,0,0.00529666666666662,1,1,1,0,1,0.0218733333333333,0,1,1,0.000113333333333299,1,0.167736666666667,0.08761,0,0.03,0.000106666666666699,1,1,0.472476666666667,1,0.415346666666667,0.0107766666666667,0.0121533333333333,0.00185000000000002,0.0966066666666666,0,0.240623333333333,0.000290000000000012,0,0.161146666666667,0.146566666666667,0.000126666666666719,0,0,1,0.0943333333333334,0.03395,0.000310000000000032,1,0.129176666666667,1
"CD4+ Tem",1,0.470393333333333,1,0.06448,0.00326000000000004,1,0.0095533333333333,0,0,0,0.00251999999999997,0.38501,0,0,0.104286666666667,0,1,0.24358,0.201763333333333,0.15022,0,0,0.185783333333333,0.27039,0.0929,0,1,0.0691000000000001,0.179376666666667,0.259923333333333,1,1,1,1,1,0.0325133333333333,0.11227,0.0630133333333334,0.211186666666667,1,0,0.0835733333333334,0.491153333333333,0.458136666666667,0,0.221026666666667,0.00483333333333336,0.208693333333333,1,0.0199333333333334,0.10456,1,0.346893333333333,0.0758133333333333,0.0033333333333333,1,1,0.06499,0.0324333333333333,1,0.10369,0.40713,0.454053333333333,0.433283333333333,1,0,0.43604,0,0.51212,1,0.000146666666666628,1,1,0.173643333333333,0,0,0.179046666666667,1,1,0.103033333333333,1,0.0103266666666667,0,1,1,0.368116666666667,0.156013333333333,0,0.00133666666666665,0,0.379876666666667,0.394443333333333,0.310196666666667,0.0109033333333334,1,1,0.06869,0.306406666666667,0.0150266666666666,0.0211266666666666,0.537383333333333,1,0.211536666666667,0.0242866666666667,1,0.284523333333333,0.0276433333333334,0.10607,0.3344,0.08967,1,0.0282,0.0963000000000001,0.11044,0.01532,0.52091,0.197383333333333
"CD8+ naive T-cells",0,1,0,0,0,0,0,0.00170000000000003,0,0,0,0,0.0089866666666667,0.00112333333333337,0,0,0.124013333333333,0,0,0,0,0,0,0,0.01042,0,0,0,0,0.00439999999999996,0,0,0,0,0.000233333333333308,0,1,0,0,0,0,0.456443333333333,0,0,0.366643333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.000906666666666611,0.000190000000000023,0,0,1,0,0,0,0,0,0,0,0.01545,0,0,0,0.17779,0,0,0,0,0,0,1,0,0.45137,0,0,0,0.543076666666667,0,0,0.115096666666667,0,0,0,0,0.04817,0,0,0,0,0,0,0,0.0349866666666667,0,0.000306666666666677,0,0,0,0,0,0,0,0,0,0,0,0
"CD8+ T-cells",1,1,1,1,0.0434966666666666,1,0.0265366666666667,0.183073333333333,0.0794133333333333,0.0300333333333334,0.882896666666667,1,1,0.157413333333333,0.61715,0.915106666666667,0.0665666666666667,0.00285999999999997,0.390536666666667,1,1,0.51984,1,0.22693,0.00284666666666666,0.604,0.08391,0.697073333333333,0.277276666666667,0.237163333333333,1,1,0.0873033333333333,1,0.0872733333333333,0.00214999999999999,1,0.0258566666666666,0.255003333333333,0.07358,0.00226999999999999,1,1,0.1078,0.462383333333333,0.261896666666667,1,1,1,0.663993333333333,1,0.272903333333333,0.0856566666666667,1,0.540286666666667,0.523013333333333,0.642706666666667,1,0.18461,1,0.249523333333333,0.195536666666667,1,0.07541,1,0.237183333333333,1,1,0.11084,1,1,0.372203333333333,1,0.40088,0.00484666666666667,0.31477,0.130403333333333,0.0565433333333333,1,1,1,1,1,1,1,0.0228866666666667,0.15654,0.0175833333333333,1,0.0222766666666666,0.306483333333333,0.04109,0.06325,0.112003333333333,0.296656666666667,0.510103333333333,0.03055,0.1899,0.130416666666667,0,0.0676466666666666,0.07686,0.268846666666667,1,0.00869333333333333,0,1,0.01813,0.0383266666666666,0,1,0.0473,0.00253666666666663,0.504336666666667,1,0.125966666666667,1
"CD8+ Tcm",1,0.526503333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.61961,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.48156,1,1,1,1,1,1,1,1,1,1,0.824956666666667,1,1,1,1,0.635116666666667,1,1,1,1,1,1,0.533113333333333,1,1,1,0.28355,0.31114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CD8+ Tem",0.19064,0.1208,1,0.579683333333333,0.410683333333333,0.919106666666667,0.142386666666667,0.0926033333333334,0.276286666666667,0.32382,0.68744,1,0.258976666666667,0.0566666666666666,0.316546666666667,0.00806333333333331,0.22178,0.0896566666666667,1,1,0.269513333333333,0.81458,0.990856666666667,1,0.218403333333333,0.38332,0.679633333333333,1,1,0.245436666666667,1,0.837103333333333,0.163943333333333,1,0.15632,0.106816666666667,0.66642,0.179373333333333,0.80376,0.195333333333333,0.3157,0.1861,0.974453333333333,0.54475,0.06224,0.150363333333333,0.975303333333333,0.636646666666667,1,1,1,1,1,1,1,0.629433333333333,1,0.254103333333333,0.37302,1,0.305726666666667,0.02146,0.888276666666667,1,1,0.461913333333333,0.668216666666667,0.479586666666667,0.72007,0.378106666666667,0.976156666666667,1,0.918733333333333,0.257473333333333,0.936446666666667,0.127863333333333,0.371016666666667,0.709106666666667,1,0.59376,0.47279,0.349006666666667,0.0510033333333333,0.812336666666667,1,0.71097,0.200523333333333,0.748276666666667,0.05164,0,0.62725,0.212626666666667,0.895526666666667,0.14555,0.261443333333333,0.29475,0.0852966666666667,0.742966666666667,0.50546,0.267093333333333,0.44625,1,0.152983333333333,0.578906666666667,0.03734,0.23605,1,0.193003333333333,0.532676666666667,0.18096,0.34597,0.272756666666667,0.0257233333333333,0.565126666666667,1,0.26074,0.37406
"B-cells",0,0.273866666666667,0.382973333333333,0,1,0.01903,0,0,0,0,0.01729,0.125946666666667,0.242756666666667,0,0.0314933333333334,0.22668,0.26858,0,0.01741,0.0667066666666667,0,0,1,1,0,0.00724999999999998,0,1,0,0.00811666666666666,0,1,1,1,0,0,0.669666666666667,0.215933333333333,0,0.000750000000000028,0,0,0.000303333333333322,0.16184,0.7071,0.0303166666666667,1,0.0157066666666666,0,0.840746666666667,1,0.000360000000000027,0,1,1,0,0.0533533333333334,0,0,1,0,0.0223066666666667,0.327986666666667,0.23745,0.0391066666666666,1,4.33333333332842e-05,0.184113333333333,0.0194366666666667,0.0824066666666666,1,0,0,0,1,0.0136933333333333,0,0.439346666666667,0,0.00852666666666668,0,0.0267566666666667,0,1,0,0,0.05449,1,1,1,1,0,1,0.02915,0.49912,1,0.0203366666666667,0.46295,0,0,0,1,0.02113,0,0,0,0,0,0,0,1,0.00480999999999998,0,0.0761566666666667,0,1,1
