"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"CD4+ memory T-cells",0.00125666666666668,0.00907666666666662,0.31352,0.40456,0.231826666666667,0,0.0517866666666666,0,0,0.100573333333333,0.00194666666666665,0.118853333333333,0.0637,0,0.05108,0,0,0.112033333333333,0.0012833333333333,0.00885000000000002,0,0,0.11987,0.111246666666667,0.0715333333333333,0.000416666666666621,0,0.0282066666666667,0.0229766666666666,0.540243333333333,0.0023266666666667,0.0238666666666667,0.00302000000000002,0.733796666666667,0.23861,0.00126666666666664,0.0661066666666666,0.07419,0.311313333333333,0.04077,0.0313633333333333,0.0745433333333333,0.111166666666667,0.181733333333333,0.0291333333333333,0.591213333333333,1,0,0.04137,0.47037,0,0.00917666666666672,0.101543333333333,0,0.313713333333333,0.00761000000000001,0,0.000700000000000034,0.00549666666666671,0,0,2.000000000002e-05,0,0,0.0100066666666667,0,0.0248733333333333,0,0.0199433333333333,0.01636,0.00176666666666669,0.0538466666666667,0.0450700000000001,0.0201066666666667,0.00136666666666663,0.04676,9.99999999995449e-06,0.00101666666666667,0,0,0.0100033333333334,0.0249866666666667,0.0905733333333333,0.0145033333333333,0.000249999999999972,0,2.99999999999745e-05,0.0670066666666667,0,0.02175,0.02824,0.00144,0,0.0153266666666667,0,0,0.00322999999999996,0,0.0199866666666667,0.01512,0.05411,0,0,0.0360366666666667,0.0114300000000001,0
"CD4+ naive T-cells",0.2786,0.12625,0.11029,0.13874,1,0.650136666666667,0.258416666666667,1,1,0.779773333333333,1,1,0.61649,1,1,1,1,0.17885,1,0.24545,0.2421,1,0.0458733333333333,0.491843333333333,0.56256,0.0899833333333333,1,0.0436733333333333,0.342393333333333,1,0.0431866666666667,0.06851,0.0647333333333333,0.884123333333333,0.78219,1,0.971223333333333,0.714726666666667,0.247416666666667,0.07279,0.117963333333333,1,0.925676666666667,1,0.0345466666666666,1,1,1,1,1,0.0165466666666667,0.42617,1,1,1,0.97102,0.0661533333333333,1,0.46706,0.790113333333333,0.650256666666667,1,1,1,0.617356666666667,0.445236666666667,1,0.399526666666667,1,1,1,1,1,1,1,1,1,1,1,1,0.400136666666667,1,0.92994,1,1,1,0.92586,1,0.197843333333333,1,1,0.53976,0.879046666666667,0.463353333333333,0.540816666666667,1,0.709376666666667,1,1,1,0.392786666666667,1,1,1,0.82983,1
"CD4+ T-cells",0.00048999999999999,0.01666,0.138246666666667,0.22997,0.58922,0,0.152386666666667,0.000700000000000034,0.04995,0.39854,0.115066666666667,0.450693333333333,0.0564933333333333,0.0322233333333334,0.14764,0,0.000839999999999952,0.0779833333333333,0.0148433333333333,0.0192433333333333,0,0,0.06226,0.159466666666667,0.0386266666666667,0.0143866666666667,0.0380333333333334,0.0431066666666666,0.0809233333333333,0.37628,0.000146666666666628,0.0343599999999999,0.0248666666666667,0.96734,0.341853333333333,0,0.148396666666667,0.15819,0.29465,0.07278,0.03452,0.483266666666667,0.24212,0.15728,0.00892333333333328,0.88209,1,0.000273333333333348,0.29878,0.875586666666667,0,0.04538,0.133376666666667,0.00413333333333332,0.638803333333333,0.02024,0,0.0729866666666666,0.00693333333333335,0.000303333333333322,0,0.0141866666666667,0,0,0.0444099999999999,0.00303333333333333,0.03161,0,0.0707633333333333,0.0603233333333333,0.04369,0.135993333333333,0.0709833333333333,0.114856666666667,0,0.0639766666666667,0.00362666666666667,0.0131366666666667,0,0,0.0155999999999999,0.03994,0.0449866666666666,0.0595933333333334,0.02463,0,0.000279999999999947,0.0782433333333333,0,0.0474933333333334,0.0860166666666666,0.000820000000000043,0,0.01832,0,0.00656999999999996,0.000726666666666653,0,0.0799,0.0800666666666666,0.0621733333333333,0,0.0101166666666667,0.14991,0.02285,0
"CD4+ Tcm",0.267203333333333,0.0977666666666667,0.151876666666667,0.914826666666667,1,0.00219666666666662,0.64631,1,1,0.46188,1,1,1,1,1,1,1,0.0685133333333333,0.603923333333333,0.275923333333333,0.175806666666667,1,0.0672966666666667,1,1,0.5858,1,0.06331,1,1,1,1,1,1,1,1,1,1,0.109203333333333,1,1,1,1,0.651843333333333,0.0785066666666666,1,1,0.401526666666667,1,1,0.769263333333333,1,1,1,0.313546666666667,1,0.390166666666667,1,0.138713333333333,1,0.16219,1,1,1,1,0.22364,1,1,1,1,1,1,0.53103,1,1,1,1,1,0.29822,0.125063333333333,0.23706,1,1,1,1,0.34643,0.442876666666667,0.179126666666667,0.0428233333333333,0.29348,0.89048,1,0.297583333333333,0.12667,0.29774,1,0.175903333333333,1,1,1,0.38595,1,1,1,1,1
"CD4+ Tem",0,0,0.0483433333333333,0.0351766666666666,0.40046,0,0.0108466666666667,0.393056666666667,1,0.0162,1,0.502323333333333,0.492076666666667,0.48061,0.389173333333333,0,0,0.0554966666666666,0.498053333333333,0.315513333333333,0,0.37705,0.0022766666666667,0,0.367833333333333,0.01467,0.31622,0,0.481136666666667,0.535103333333333,0.0414133333333333,0,0,0.332616666666667,0.15315,1,0.524713333333333,0.00810666666666671,0.22587,0,0.420936666666667,0.513686666666667,0.28981,0.190206666666667,0,1,1,0.00814666666666664,0.265356666666667,1,0.00560333333333329,0,0.48851,0.557233333333333,0,0.484293333333333,0,0.44612,0.485043333333333,0.5381,0,0.371893333333333,0.453856666666667,0.606073333333333,0.112876666666667,0.0130966666666666,1,0.317373333333333,1,0.537553333333333,1,1,0.56239,0.543736666666667,0,1,0.255746666666667,0.32728,0.0996899999999999,0.165393333333333,0.355983333333333,0.224923333333333,0.338793333333333,1,0.24239,1,0.428593333333333,0.115923333333333,0.0870666666666666,0.449426666666667,0.50833,0.159376666666667,0.02619,0.343286666666667,0.255653333333333,1,0.377563333333333,0,1,1,0.17071,1,0.458553333333333,1,1,1
"CD8+ naive T-cells",0.146713333333333,1,0.0285366666666667,1,0.379173333333333,0.61086,1,1,0.13298,1,0.0105366666666666,1,1,1,0.105376666666667,1,1,1,1,1,1,1,1,1,1,1,0.5541,1,1,0.0995033333333334,1,1,1,0.0180666666666667,1,0,0.204166666666667,1,0,1,1,1,1,1,1,0.000149999999999983,0.799693333333333,1,1,0.263966666666667,1,1,1,1,1,0.00257666666666667,1,0.26273,0.00520666666666669,1,1,0.0967533333333334,1,1,1,1,0.132123333333333,1,0.00367666666666666,0.00204666666666664,0.00761000000000001,0.0513466666666667,1,0.0651666666666667,0.245243333333333,0,0.477133333333333,1,1,0.170753333333333,0.46768,0.35269,1,0,0.21903,1,1,1,1,0.10984,0.228376666666667,1,1,0.01924,1,0.234186666666667,1,1,0,1,1,1,0.00920333333333334,0.00146666666666662,0.0715166666666667,1
"CD8+ T-cells",0.000519999999999965,0,0,0,0.0092066666666667,0,0,0.00585666666666662,0.0720766666666667,0.331096666666667,0.19876,0.719073333333333,0,0.0151533333333334,1,0,0,0.374653333333333,0.04875,0,0,0.280453333333333,0.250423333333333,0,0.00702666666666663,0.00216333333333329,0,0,0,0.57985,0,0,0,0,0.000173333333333359,0.717283333333333,0.25199,0.000870000000000037,0.160326666666667,0,0,0.82754,0.0608166666666666,1,0,1,1,0,0,1,0,0,0.00109999999999999,0.220006666666667,0.01889,0.52087,0,0.121196666666667,0,0.09624,0.00356000000000001,0.193996666666667,0,0.100713333333333,0.00836000000000003,0,0.245463333333333,0,0.147723333333333,0.0665033333333334,0.410893333333333,0.228743333333333,0.08949,1,0.210906666666667,1,0.00274333333333332,0.03242,0.00124999999999997,0.21756,0.00620666666666669,0.108123333333333,0.00605999999999995,1,0.0017166666666667,0.00361666666666671,0.00351000000000001,0.06559,0,1,0,0,0,0.0338766666666667,0,0,0.11962,0,0.280606666666667,0.0739266666666667,0.02512,0,0.440286666666667,1,0.00124000000000002,0.000163333333333293
"CD8+ Tcm",0,0,0.06204,0.00191333333333332,0.0394033333333333,0,0,0,0,0,0,0.00298666666666669,0.0110333333333333,0,0.0929066666666667,0,0,0.0357033333333333,0,0,0,0,0.0674833333333333,0,0,0,0,0,0,0.06818,0,0,0,0.15175,0.01362,0.215296666666667,0.0117766666666667,0,0.329743333333333,0,0,0.000103333333333344,0,0.0885833333333333,0,1,1,0,0,1,0,0,0,0,0.0462066666666666,0.0024966666666667,0,0,0,0,0,0,0,0,0,0,0.00200333333333336,0,0.04592,0,0,0.212856666666667,0.0638866666666666,0.180483333333333,0,0.337433333333333,0,0.000909999999999966,0,0.00543000000000005,0.01009,0.03307,0.0433866666666667,0.05997,0,0,0.00273000000000001,0.20961,0,0.05885,0.0367366666666666,0,0,0.07794,0,0,0.15553,0,0.0528933333333333,0,0.0511966666666667,0,0.00291666666666668,0.02206,0.0106666666666667,0
"CD8+ Tem",0.38451,0.124156666666667,0.31928,0.246986666666667,0.155566666666667,0.157403333333333,0.142493333333333,0.0492666666666667,0.0911033333333333,0.635616666666667,0.181926666666667,1,0.137603333333333,0.213486666666667,0.898276666666667,0,0,0.905836666666667,0.52763,0,0,0.0417433333333334,0.796236666666667,0.0217833333333334,0,0.0262566666666667,0,0.0165266666666667,0,1,0,0.0866533333333334,0,0.14306,0.37658,0.632373333333333,1,0.122893333333333,1,0.000873333333333282,0,0.58034,0.414673333333333,0.40075,0.150323333333333,1,0.513536666666667,0,0,1,0,0,0.00303333333333333,0.17658,0.338223333333333,0.929633333333333,0.00431666666666664,0.274943333333333,0.17784,0.0715233333333334,0.112093333333333,0.66699,0,0.00171333333333334,0.26809,0.000406666666666666,0.65248,0,0.163713333333333,0.186126666666667,0.20027,0.169816666666667,0.935706666666667,1,0.125516666666667,0.823823333333333,0.28508,0.17378,0.0212133333333333,0.141616666666667,0.13151,0.149033333333333,0.493816666666667,0.21713,0.13133,0,0.209013333333333,0.154006666666667,0.00468999999999997,0.686573333333333,0.139963333333333,0.22864,0,0.34193,0,0,0.421483333333333,0,0.2037,0.178096666666667,0.665843333333333,0,0.300526666666667,0.84566,0.10247,0.07287
"B-cells",0,0,0.88597,0,1,0.00218666666666667,0.000909999999999966,0,0.0210966666666667,0.0179233333333333,1,1,0.000433333333333286,0.00918333333333332,1,0,0.286483333333333,1,0,0,0,0.0846066666666667,0.00592666666666664,1,0.618043333333333,0.00828666666666666,0,0,0.0109,0.30848,0,0,0,0.13518,1,1,0.363716666666667,0.01889,1,0.00720666666666669,0.0156266666666667,0,0.0975766666666666,0.613023333333333,0,1,1,0.00830666666666668,0,1,0,0,0,0.02835,0.0334566666666667,1,0,0.0900033333333333,0.00766333333333336,1,0.00196666666666667,0,0.128753333333333,1,0.0265266666666667,1,1,0,1,0.239893333333333,0.0376966666666667,0.0701233333333333,1,0.433306666666667,1,0.02488,0.711923333333333,0.0253033333333333,0,0.48734,0.142333333333333,1,1,1,0,0.347343333333333,0.331063333333333,0.0566966666666666,0.01668,0.168653333333333,0.0132033333333333,0,0,0.460066666666667,0.000623333333333309,0.442906666666667,0.229043333333333,0.00807666666666662,0.05063,0.31656,0.193,0.0213533333333333,1,0.358863333333333,1,0
