"","GSM1019139","GSM1019140","GSM1019143","GSM1019144","GSM1019145","GSM1019147","GSM1019149","GSM1019150","GSM1019152","GSM1019153","GSM1019154","GSM1019158","GSM1019160","GSM1019162","GSM1019163","GSM1019164","GSM1019165","GSM1019166","GSM1019169","GSM1019170","GSM1019171","GSM1019174","GSM1019175","GSM1019176","GSM1019180","GSM1019181","GSM1019183","GSM1019185","GSM1019186","GSM1019187","GSM1019188","GSM1019190","GSM1019192","GSM1019194","GSM1019196","GSM1019197","GSM1019200","GSM1019203","GSM1019204","GSM1019205","GSM1019207","GSM1019210","GSM1019211","GSM1019213","GSM1019214","GSM1019216","GSM1019217","GSM1019218","GSM1019220","GSM1019224","GSM1019225","GSM1019228","GSM1019230","GSM1019234","GSM1019236","GSM1019239","GSM1019242","GSM1019243","GSM1019244","GSM1019247","GSM1019249","GSM1019253","GSM1019254","GSM1019256","GSM1019257","GSM1019258","GSM1019259","GSM1019260","GSM1019261","GSM1019264","GSM1019265","GSM1019268","GSM1019270","GSM1019272","GSM1019273","GSM1019274","GSM1019275","GSM1019283","GSM1019285","GSM1019286","GSM1019288","GSM1019289","GSM1019290","GSM1019292","GSM1019295","GSM1019298","GSM1019299","GSM1019300","GSM1019302","GSM1019303","GSM1019305","GSM1019308","GSM1019309","GSM1019310","GSM1019311","GSM1019312","GSM1019313","GSM1019314","GSM1019316","GSM1019318","GSM1019320","GSM1019321","GSM1019324","GSM1019328","GSM1019330","GSM1019332"
"CD4+ memory T-cells",0.305869046369607,0.278628661883915,0.122136790198023,0.10536061128888,0.139452455807503,0.403985907602016,0.223521440407824,0.332550575776712,0.328713952647228,0.186116157995854,0.301420947722712,0.176867711830685,0.213023013997176,0.339391742633656,0.224134194842517,0.374880563255879,0.326287396991986,0.180161478343926,0.305643898077328,0.279192485626869,0.356581987988602,0.401087310571576,0.176372932411225,0.180539092991753,0.206361196920969,0.313382238954097,0.334739190428832,0.24825053723068,0.255013322787761,0.082063767746732,0.299545608773628,0.253729438869555,0.296672516947887,0.0488484975255829,0.137870060072487,0.305768641971422,0.211074015482664,0.204191811627494,0.122574022388996,0.234284678363703,0.244555383254003,0.203902947349858,0.180580409789263,0.153408993000187,0.247165341159151,0.0735915586232355,0,0.34769581497938,0.233617227009363,0.0939090451207691,0.371659940875943,0.278247817136419,0.185610013626018,0.337720914495488,0.122108037138029,0.282020000730988,0.368319003121754,0.310678286421725,0.288250445598591,0.327147356673121,0.346182957665933,0.322157419785807,0.348854868755317,0.343194276386046,0.276467940036864,0.334458595356785,0.252487093141937,0.353015596620844,0.259254970740814,0.264849395960924,0.302593300705824,0.221638658007029,0.229837866021611,0.25902861449707,0.304889986494149,0.228107673943676,0.323057876124742,0.30756642858026,0.407554192936645,0.394098689919365,0.276479887745526,0.252283745612053,0.192126123281451,0.267999144842345,0.315893864572998,0.375555022475635,0.321692602770509,0.210265213359713,0.391296164795118,0.256784279875147,0.248204847344137,0.304555798219452,0.345455027725871,0.266608524380687,0.427982440079587,0.351307290342866,0.295711904378722,0.419707347183049,0.259198022111557,0.266905982783408,0.22139506399245,0.39756215814237,0.330284977624055,0.239283728213389,0.273645991029619,0.350459223849702
"CD4+ naive T-cells",0.0428889381040231,0.062617556774226,0.0656805951594635,0.0604790034646951,8.34008500009341e-19,0.0149708496838531,0.0449676763670836,0,2.38999736965036e-19,0.00812874173531076,7.77538290189994e-18,0,0.0169312711949094,0,3.27085038632847e-18,2.41008868274845e-20,0,0.0543722098022883,0,0.0463327309883839,0.0467088122799882,1.78006530746056e-18,0.0870582656416705,0.0250150888083351,0.0202762580345444,0.0701435705256334,0,0.0885781533153468,0.0367889329060745,1.784968773465e-18,0.0889144364869999,0.0764295352631602,0.0777804593327883,0.00347963158357851,0.00800377854602348,0,0.000511727592496699,0.0114115178619394,0.0461227653474743,0.0749990592194682,0.0641163135888653,1.75457477693514e-18,0.00191296596709596,0,0.095347158017675,0,2.44356119409176e-18,3.74031919720148e-20,7.86427068045133e-18,0,0.111111611021376,0.029866372513574,0,0,8.68459627169655e-19,0.000515922274606909,0.0772696433347516,0,0.0267830469066743,0.00763060738302082,0.0149631643764195,0,0,0,0.0168801215379922,0.0284313239018075,0,0.0319408765565983,9.59160318289031e-18,0,2.65059597029776e-18,0,0,3.91956070662136e-19,3.49080311278022e-19,0,4.69863200701525e-19,0,0,0,0.0318946087245551,3.91870632814337e-19,0.00176637889215186,0,0,2.13144592890607e-18,0.00190631857240505,0,0.0518948983792042,4.68338452975049e-19,0,0.0217863503848406,0.00367889541561146,0.0270650067859664,0.0217150875372047,0,0.0116921568711156,4.21257176011923e-19,0,8.70766161691002e-18,0.0324982283549822,3.25270444111436e-18,2.55866660284977e-18,8.30328681298644e-18,0.00579470199714011,0
"CD4+ T-cells",0.227759577120817,0.20460249320258,0.142727132318381,0.120078247842623,0.0702253889682824,0.260401596503586,0.138772377590045,0.226790173997137,0.180695501161796,0.0937018809475992,0.150228582818227,0.0870414347557969,0.176729065778207,0.192560853494246,0.140043891004065,0.241300088195467,0.226222780540034,0.165037803015744,0.20635608812409,0.202367280335715,0.245293365966185,0.245640973771211,0.173266749752363,0.136830810728165,0.188088883875289,0.20675996895491,0.188528993467817,0.185119918920102,0.163683407503735,0.0966446943809572,0.229590565423216,0.190997853389385,0.19794642406337,0.0135561441772866,0.101290368490628,0.241188715523366,0.139835917336612,0.137202003173722,0.108349195189787,0.167673016228221,0.190887167085198,0.0830134360975657,0.117512601195948,0.137446197769987,0.212589993154175,0.0309642407911105,0,0.228857967726181,0.107687319496907,0.0320213322824815,0.277963187013173,0.183576856511545,0.144224722227408,0.218991694168987,0.0642707702288977,0.201503798306916,0.247535983463294,0.167550528105949,0.215078749570179,0.228635443616426,0.250666796255653,0.206971662511592,0.24043169422553,0.242751057719676,0.184247880813213,0.220831592598673,0.193015785126266,0.257446167279599,0.168656469039409,0.174388017713522,0.184734020079388,0.143426998637692,0.16852560031109,0.150299699764075,0.235140241968629,0.172262620517319,0.219810749251691,0.208042954846604,0.2821013978716,0.269615598762927,0.205611187107913,0.18720347517442,0.183829687919355,0.174801013102976,0.198118244840236,0.262626592360833,0.228782469511335,0.164924486391975,0.282846813218313,0.182266913298631,0.161404029471715,0.226300798269528,0.236937983425413,0.203157971846185,0.31700746386125,0.215501874924976,0.226720151014915,0.274728082237437,0.164177284201333,0.164090401713247,0.173319014014228,0.275308352209685,0.211234090922479,0.139426772791697,0.199529353055707,0.25557621817944
"CD4+ Tcm",0.0176766956562434,0.0344256096078332,0.0266484643508138,0.000278656987746274,7.02418002173606e-18,0.077737810083026,0.00388781967204972,0,0,0.00890209185848296,5.77797217010028e-18,2.35764440556435e-19,7.87642745519835e-19,0,7.05759628463329e-18,0,0,0.0406855680167899,0.00483672270588616,0.0171615864630856,0.0242729534218686,1.04494158105344e-18,0.0410057467694248,1.18563929462907e-18,2.34560039089789e-20,0.00527252023582265,0,0.0419832495975477,0,0,0,7.59609764398496e-21,1.71749083375168e-18,0,0,0,1.91115778115004e-18,0,0.0323915934696069,3.39347493919649e-18,0,2.21995127301323e-18,4.81787798665991e-19,0.00377107584130678,0.0383289072602248,1.91956991028446e-19,0,0.011129745554161,0,0,0.00173022150002359,7.36902614819292e-19,8.04657525341896e-18,0,0.0151181394237569,0,0.0115901123309789,1.1401707302665e-18,0.0280710614338298,1.44165994769127e-19,0.0255623489904219,1.94295531919284e-19,7.1256805981475e-19,2.27516499339983e-19,0,0.020490203129442,0,2.13819177564215e-18,0,0,6.12565522327688e-18,0,0.00673867660759871,7.06722652984128e-18,4.44971309815688e-19,2.53540365676081e-18,1.51947709571569e-21,5.55275734337453e-21,0.0159040241207537,0.0298809187827787,0.019582450529376,0,1.11022545453877e-18,0,0,0.0134913048614508,0.00956234373886797,0.0239727593341088,0.0477451657755764,0.016162100962931,0.000440420499512954,1.01898992607682e-21,0.0159369999741588,0.0296649684416919,0.0159279471878594,5.82426839958094e-19,0.0242644816504987,1.85686788057177e-19,1.34551806884802e-18,3.30008386172467e-19,0.0117581757522485,0,2.28066625024022e-19,4.91920297317416e-18,0,5.32457713805896e-18
"CD4+ Tem",0.124704978537974,0.191230986338668,0.0938654106357298,0.0979749428621864,0.0331324256328255,0.120398217774556,0.107872257418189,0.0343548753685485,0,0.105219943898991,0,0.0159861748789462,0.0177061140574803,0.0196896382033432,0.0350083383830618,0.173865115943018,0.197409111977046,0.0918895090660492,0.0166937304538759,0.046871788493969,0.169045675160215,0.0370250890854058,0.114369564597293,0.170294554733739,0.0385514219389688,0.105930719902247,0.046758308507554,0.171207041070014,0.0196062607257806,0.0109464687248862,0.095877828124926,0.206382328197394,0.185650901017277,0.044153245964897,0.0721275530643548,0,0.0124696542429813,0.109493413988559,0.0607058525097376,0.14909665275403,0.0297344196905231,0.0141358560799604,0.0508817982174963,0.0662193159739998,0.130769598756086,7.02738218652459e-18,3.95920554584412e-19,0.109472743595114,0.0546210987797126,3.17606313203484e-19,0.111204757179241,0.138258854582524,0.0183313885873864,0.00780406078006828,0.125173265921016,0.0190649167344531,0.159392808385044,0.0255753352587384,0.0189329418883123,0.0104946427975567,0.121542582085002,0.0379010256076909,0.0242491574622212,0.00258610870678699,0.0789402363035671,0.106729687013398,2.16840434497101e-19,0.0465884241996848,0,0.0105695029876487,0,3.56815747207442e-18,0.00714706785460692,0.00965228753965801,0.142760613477141,0,0.0561468164158035,0.0450186034625993,0.0813473526198272,0.0700887713434314,0.0404540755361743,0.0608580810915702,0.0431666343976559,1.93532073230863e-17,0.0581787272955066,0,0.0284339036870443,0.0784247248608075,0.0839987466658406,0.0249990368680715,0.0150171997981122,0.071077668348533,0.101063071826753,0.0424670083347985,0.056157408295531,8.73529067876207e-18,0.0369263083169476,0.140760572917973,8.42582693737879e-20,0,0.0692938142949787,0,0.0234143215766548,0,2.41677903126003e-18,0
"CD8+ naive T-cells",0.0211653251493439,4.65752634445738e-19,0.0357260880125705,1.7493317298302e-19,0.00974955227743116,0.00386229350564198,2.51332821206049e-19,4.52745309237939e-18,0.022217159955591,8.6207648842127e-19,0.0439471438594074,1.79711759649879e-18,0,0,0.0245706272191404,8.81321818650922e-19,4.47213714370848e-19,0,0,0,1.32064188430779e-18,3.61000749783478e-18,6.91562100305895e-20,0,0,5.61012785330384e-21,0.00500769069639128,1.31213933044351e-18,0,0.0251475395156015,0,1.53449594108736e-19,0,0.0394735833402715,8.25334308660615e-19,0.128564761308691,0.0174207432381388,6.04095825394482e-19,0.0727062196389427,0,8.04591605617499e-19,3.70588117964328e-18,7.85817702774805e-19,3.33742977612352e-19,1.02260877571867e-18,0.0611970967912666,0.00113734134890925,5.54093366007249e-19,0,0.0143218257267831,1.42487559464104e-18,0,1.53061257181584e-18,3.49648397137782e-18,2.64945263765355e-19,0.0524506166022499,0,0.0143821588642641,0.0486205488608056,6.75889483667938e-18,0,0.025409977054825,0,0,2.06524152790564e-19,0,0.0222820559173996,2.38739406699808e-19,0.050687710235459,0.0535121162307699,0.0462399963903147,0.0311222226630784,0,0.0291222401914832,0.0152322868636022,0.103084118314989,0.00683241150348932,8.2974075524865e-20,0,0.0194809890601545,0.00708490721969513,0.0106683461607675,0,0.0717094767043088,0.0165825534684005,0,2.96957209490776e-18,0,0,0.0241573945062322,0.0160826565019924,0,0,0.0388794776533569,3.38862348715959e-20,0.0157812361971724,0,1.41867986925329e-21,0.0646141846223107,7.64138151838725e-19,0,8.46873043238543e-19,0.0449121192763892,0.055009587175087,0.02829429354201,3.08502048104464e-18
"CD8+ T-cells",0.102605996479037,0.121092293211674,0.115209616124815,0.109894521762402,0.085776123478232,0.123674144841368,0.113376682086153,0.0901230328219933,0.0568827875772183,0.0265844474058054,0.0392458083315058,0.00549257600245316,0.10987530322199,0.0797006633815577,0,0.112592115580841,0.204523026919689,0.0232370201191861,0.0619797986863313,0.186478226511349,0.151706601869581,0.030991889185345,0.0338505400205233,0.127869322055781,0.0885190229439691,0.0967910759555577,0.133483699755892,0.155012885777971,0.152450257762344,0.0110212550291095,0.149851704718919,0.14942843228993,0.152522369882059,0.109348470846389,0.104845872009148,0.00554668733257857,0.0336880472628838,0.100772920826753,0.043775310629696,0.156160534624935,0.141315334159383,0.00240836113664367,0.0591649290193264,4.6497287177245e-18,0.138279754396314,0,1.49199970638901e-20,0.154669099278607,0.108611908108802,6.33690156962266e-18,0.223949025354034,0.163664528014185,0.099908779014995,0.036943077155446,0.0765423338603227,0.0140049221699546,0.167172725113494,0.0489783967545376,0.13760866047052,0.052751877512423,0.0937705647615114,0.0397982110242022,0.136765805320329,0.0520666987821867,0.0867829497792841,0.124235556247417,0.034355829684591,0.1237641870995,0.0453801831573875,0.0579549785450899,0.0206784224727035,0.0360339971873779,0.0538247686130178,0,0.0379257008878369,0,0.0954580258872972,0.0673852350433941,0.0993680254025276,0.0372078293198941,0.0896077304032112,0.0509220115923419,0.0898107086838976,0,0.0978380930566135,0.0936753332801529,0.0938684370815469,0.0581415833247917,0.145888474948749,1.98442716225164e-19,0.108065884705014,0.132524993545337,0.145692285190635,0.0666033966276268,0.143995506048773,0.131394166249033,0.0492042253011344,0.131188323362611,0.0309755547719931,0.0565509412667658,0.0719535953757966,0.18248524326504,0.0187017317794223,0,0.099389866858084,0.104929770323689
"CD8+ Tcm",0.15656960288161,0.196141324271177,0.0771538579862184,0.113298299061411,0.0862220186162635,0.220246117912481,0.125042523414565,0.132162494692099,0.150230498222367,0.142184915615113,0.147269869635218,0.11141591436408,0.102813473022834,0.199499853312051,0.0674385744977943,0.194693260093751,0.204659452753866,0.0879138307902297,0.12920575157882,0.221618944523043,0.218184893717584,0.138809061085984,0.0751787823477378,0.151107838321712,0.13365090505326,0.133211292275546,0.194558785506781,0.196683680116738,0.163375368168624,0.0749335720729647,0.188120014545945,0.203193131120049,0.228398150080389,0.0551387999649682,0.100797760737343,0.0453270444910318,0.102266466103207,0.125447537168586,0.0328980744130823,0.202429034686727,0.15411933979865,0.119367654734512,0.122637546483599,0.0685875648120334,0.180431810800647,4.55713446644757e-18,0,0.204293738015892,0.162605343356116,0,0.249307483751604,0.23571000481918,0.168874439810055,0.146341911807568,0.083282500214643,0.112274818323726,0.222999586898364,0.130520920773837,0.14683569193399,0.129901173500583,0.21209621905175,0.142202136702622,0.18020455165968,0.140928475815862,0.146686660081506,0.169002846015671,0.113072960182031,0.188930751930391,0.0834126026962381,0.146163656588712,0.124972170553215,0.0456289260504512,0.0764762214909739,0.0503497660801111,0.148853812179566,0.0321983269247187,0.179976103752569,0.115811259493209,0.191125203573777,0.108045425806311,0.103534274649567,0.0891910457575081,0.0844577742113383,0.0779323907083913,0.158979334570658,0.176293726345395,0.111890165137508,0.0460832362270834,0.246411803421796,0.0783534178599838,0.0874566834889217,0.177596199671925,0.201294537096233,0.0716596253184131,0.21952481569662,0.174714390343229,0.0544973035393203,0.220512387420812,0.0805663868884716,0.124597607881485,0.0812621483850963,0.270141879766771,0.111569807079024,0.0952007045591184,0.103108871779607,0.200999118107533
"CD8+ Tem",0.0653523391179655,0.117305804711082,0.0755729464158567,0.0887038351284773,0.108878174085491,0.108429568721605,0.112186642556438,0.144185817987473,0.127877681942497,0.0328810718238154,0.102529009054873,0,0.113569492068131,0.0954874928226101,0.00727256414814115,0.195299152025675,0.349487834595678,0.00665681197999543,0.0457201554340831,0.26428347185445,0.196217151479926,0.147479459368141,0.0163117886230064,0.157602423014364,0.225462734586103,0.155031278192607,0.218157729770209,0.160836750571471,0.188156395931436,1.10628594043492e-19,0.207319912035329,0.129443798348188,0.19794514727365,0.112037173606988,0.0665178363982276,0.0332509423750211,0,0.117689703101113,4.56081208463748e-20,0.175630107826682,0.250719612173341,0.0392254763177728,0.0608753690242164,0.062926651440741,0.110218629334076,0,0.0475407821560373,0.281671425775656,0.201959677929226,0,0.341649699974621,0.194779115138425,0.171915341754471,0.103780206409337,0.072533290626325,0.00475403527832343,0.170501999002871,0.0833444936799481,0.103490948601442,0.135154059552614,0.120906960084304,0.0294429549130677,0.202006599452283,0.173797219343245,0.0846374595147067,0.178187281465769,0.0310095070364908,0.204519914048108,0.106910877008785,0.10156718000579,0.0983528799347484,0.105420193384869,0.00428093938476119,1.12842156687429e-18,0.116927021380408,0.0137470743361527,0.0815736439558242,0.104449951686361,0.157913190783299,0.1124368750255,0.115235710501908,0.110524991564754,0.0500765202903761,0.0947405153856704,0.115287282164248,0.217641702599178,0.0964721880353372,0.109289583795193,0.170135944523421,0.0273361925150312,0.112915083472222,0.0923744142389612,0.186610224764296,0.0719427717504083,0.183490028033897,0.198304416742686,0.0598974163603519,0.284867601593003,0.0975853572233902,0.103431987977962,0.0295640145376349,0.363710197051387,0.0788022232059973,0.0117623197645088,0.124001177133344,0.134635039033246
"B-cells",0.127500117153701,0.0964352242027807,0.00057602846376913,0.124711122718408,0,0.0768714953966293,0.0809411833156069,0.155409838049281,0.0531188549462368,0.0556671966654734,0,3.89761400731135e-19,0.0832623360555304,0.064549480709376,0,0.10815442232227,0.0186857368024131,0,0.0894323186475925,0.10711905484542,0.129800450844616,0.0353389735002263,0.0691008155799264,0,0.00567521752046157,0.0657036002167519,0.101237261499724,0.112540813365755,0.0625745265066549,0.0175149589854431,0.142499915278291,0.159035397454246,0.184922672950788,0.0294240350003141,1.38627265580219e-19,6.91381964716022e-19,0.0148262054379695,0.0548301482811956,0,0.0671402558248358,0.0578682752799142,0.110170724935788,0.0335718086620253,0.00581233601342928,0.132252355639996,0,0,0.0656827876497317,0.0982809279581438,0,0.141460606196402,0.169687803825875,0.103799056662619,0.048478183454702,0.0463115520406604,0,0.10144778439417,0.0345731900285556,0.0665359153215947,0,0.0775312407099043,0.0998134162090142,0.0300470666909375,5.46476369739708e-21,0.0495197746310221,1.61951728991339e-18,1.88409502786858e-18,0.0998156354850229,0,0.0213752650291147,0.0448301151260723,0.0375509673591053,0,0.0118252294714135,1.85018051000242e-20,0.0504714874499728,0.00337794335090934,0.0502260328282194,0.088974598862109,0.00978431402289456,0.0287553086254136,0,0,5.40230092678518e-19,0.154819276859169,0.0155841531212164,0.0163642125212994,0.0400436686281734,0.0567714924609345,0.0264745216102403,0.0601471276528887,0.145850699837013,0.128529794983938,0.0107946751471714,0.0822910945627024,0.0114481573444629,0.0220664794154997,0.0660013855027832,0.0413405972149702,0.0170900144357859,0.0245694620959272,0.0529351674893054,3.60265985807616e-19,0.0150497468112701,0,0.117998389347602
