"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133"
"CD4+ memory T-cells",0.00153999999999999,0.0426299999999999,0,0.0868133333333333,0.00487666666666664,0,0.00288999999999995,0,0,0.16512,0.21242,0.02076,0,0.414893333333333,0.00239999999999996,0.561933333333333,0,0.00597000000000003,0,0,0.00492666666666663,0.0380166666666667,0,0.0622666666666667,0,0,0,0,0,0,0.0485666666666666,0.240376666666667,0.07395,0.05196,0.000160000000000049,0.0251,0.156263333333333,0.04753,0.000909999999999966,1,0.00234999999999996,0,0.00059666666666669,0,0.00903666666666669,0,0.0284766666666667,0.0447266666666667,0.198643333333333,0,0,0.100446666666667,0.0183133333333333,0.00496666666666667,0.000486666666666635,0,0.000260000000000038,1,0,0,0.0116566666666666,0.00685333333333338,0.00452333333333332,0.195816666666667,0,0,0.58604,0.00458999999999998,0.188673333333333,4.66666666666393e-05,0.632903333333333,0,0,0.391486666666667,0,0,0,0.142693333333333,0.0973000000000001,0.129783333333333,0.132593333333333,1,0.20982,0.0507433333333334,0.0770999999999999,0.0025533333333333,0.0131,0,0.570453333333333,0,0,0,0.742673333333333,0,0.105493333333333,0.00963333333333338,0,0.00103333333333333,0.841406666666667,0.0005033333333333,0.296703333333333,0.1182,0,0.134766666666667,0.408823333333333,0.0188633333333333,0.08929,0.0771466666666667,0.107076666666667,0.100013333333333,0.0985,0.0408733333333333,0,0.00988666666666671,0.05883,0.183696666666667,0.260003333333333,0.03476,0.262933333333333,0.0588333333333333,0.62701,0,0,0,0.00227999999999995,0,0,0.0143033333333333,0,0.04508,0,0,0
"CD4+ naive T-cells",1,1,1,0.333156666666667,1,0.439903333333333,1,1,0.70089,1,1,1,0.71174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6278,1,1,1,1,1,0.162606666666667,1,0.04484,1,1,0.343386666666667,1,1,1,1,0.72324,0.55302,0.830896666666667,0.02834,0.256923333333333,1,0.290553333333333,0.78028,0.0780233333333333,1,0.144006666666667,1,1,1,1,1,1,1,0.756406666666667,0.618493333333333,0.0137033333333333,1,0.0826266666666666,0.99211,0.961003333333333,1,0.602183333333333,1,0.974756666666667,0.136016666666667,0.656253333333333,0.59693,1,1,1,1,1,0.219843333333333,0.17756,1,0.932906666666667,1,1,1,0.91751,1,0.767096666666667,0.722296666666667,1,1,0.44424,1,1,1,0.45808,1,0.361936666666667,0.70068,1,1,1,0.78048,1,1,0.559053333333333,1,0.756066666666667,1,0.695263333333333,0.580966666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.641796666666667,1,1,1,0.648553333333333,0.85993,1
"CD4+ T-cells",0.237063333333333,0.491416666666667,0.000739999999999963,0.31063,0.174213333333333,0,0.304806666666667,0.192996666666667,0,0.818113333333333,1,0.268166666666667,0.0362533333333334,0.816293333333333,0.12658,0.989243333333333,0.07419,0.147016666666667,0.03428,0.23151,0.17024,0.769496666666667,0.00214000000000003,0.311076666666667,0.0608933333333334,0.04069,0.0654433333333333,0.00862333333333332,0.07193,0,0.244563333333333,0.6683,0.39662,0.134793333333333,0.15141,0.0668966666666667,0.640153333333333,0.274556666666667,0.0413333333333333,0.916616666666667,0.131843333333333,0.114963333333333,0.228156666666667,0,0.147316666666667,0.0526133333333333,0.0568266666666667,0.127823333333333,1,0,0,0.115673333333333,0.249533333333333,0.0805033333333334,0.0825,0.0383066666666667,0.0810133333333334,1,0.08899,0.0905266666666666,0.29423,0.185276666666667,0.03051,0.136646666666667,0.0327166666666666,0,0.58395,0.206086666666667,0.55705,0.0319366666666666,1,0.0396666666666666,0.0449333333333334,0.947976666666667,0.000173333333333359,0.151086666666667,0,1,1,0.33061,0.15421,0.949993333333333,0.660556666666667,0.20554,0.690256666666667,0.21603,0.338306666666667,0,1,0.0526366666666667,0.0667033333333333,0,0.971163333333333,0,0.771883333333333,0.387796666666667,0.0438566666666667,0.0425833333333333,1,0.0600166666666667,0.963863333333333,0.889366666666667,0.04254,0.705976666666667,0.48691,0.237846666666667,0.485776666666667,0.111563333333333,0.814946666666667,0.308343333333333,0.82775,0.0356,0.07067,0.161933333333333,0.60916,0.64274,0.713486666666667,0.217776666666667,0.907266666666667,0.51021,0.84654,0.01541,0.0938166666666667,0.00325333333333333,0.2082,0.0205866666666666,0,0.201836666666667,0.0109033333333334,0.637873333333333,0.03654,0.0214633333333333,0.0435233333333334
"CD4+ Tcm",0.181706666666667,0,0.0160233333333333,0.00120666666666669,0.00590999999999997,0.0330966666666667,1,0.333663333333333,0.0392233333333334,0.661566666666667,1,1,0.0115766666666667,0.112543333333333,0.09237,1,0.00304666666666664,0.62221,1,1,1,0.726716666666667,0,0.29011,0.04372,0.04169,0.0238533333333333,0.0222133333333333,0.03286,0,0.0774333333333334,0.18083,0.174756666666667,0,0.0300866666666667,0,0.483333333333333,0.02117,0,0.00231999999999999,0.0311633333333333,0.15947,1,0.00209000000000004,0,0.05818,0,0,0.20126,0,0.0397066666666667,0,0,0,0.00405666666666671,0.03768,0.000443333333333351,1,0,0.01326,0.0357433333333333,0.0268633333333334,9.33333333332786e-05,0,0.00926666666666665,0,0.000219999999999998,0.00159666666666669,0.00404000000000004,0,0.0627766666666667,0.0172933333333334,0,0.58496,0.00569666666666668,0.48463,0,1,1,0.00378000000000001,0,0,0.00114000000000003,0.40242,1,0.1195,1,0,1,0.00704000000000005,0.122253333333333,0.133236666666667,0.273536666666667,0,0.37066,1,0,0,0.00514999999999999,0,0,0.35949,0.01483,0.113246666666667,0,4.99999999999945e-05,0.0163333333333333,0,1,0,0.111926666666667,0,0.000103333333333344,0.000656666666666639,1,0,1,0.00358666666666663,0.0621633333333333,0.263366666666667,3.33333333335517e-06,1,0.105633333333333,0.0310066666666666,0.234623333333333,1,0,1,0.00896333333333332,0.128156666666667,0.00424999999999998,0.01964,1
"CD4+ Tem",0,0,0,0.00588666666666671,0,0,0.348786666666667,0.0363433333333333,0,0.225943333333333,1,0.28143,0,0,0,0.53045,0.00658000000000003,0.185213333333333,0.000759999999999983,0.163396666666667,0,1,0,0,0,0.00843000000000005,0.14812,0,0,0,0.0188333333333334,0.315073333333333,0.10756,0.101393333333333,0,0,0.292043333333333,0.000663333333333349,0,0,0.207823333333333,0.177483333333333,0,0,0,0,0.10559,0.0103466666666666,0.0291266666666666,0,0,0,0.05484,0,0,0.0547933333333334,0.0169066666666666,1,0,0.0164566666666667,0,0,0,0.00509000000000004,0.12303,0,0.0784533333333334,0,0,0,0.16706,0,0,0.351153333333333,0,0,0,0.519336666666667,0.0229,0.282443333333333,0,0.622516666666667,0.40932,0,1,0.45386,1,0,0.385143333333333,0,0,0,1,0,0.15287,0.19727,0.0452733333333334,0,0.51894,0,0,0.28023,0,0.36856,0.19505,0.0434633333333333,1,0.180803333333333,0.0602066666666666,0,0.580013333333333,0.01275,0,0,0.152416666666667,0.156783333333333,1,0,0.193716666666667,0.0446733333333333,0.471546666666667,0.425273333333333,0,0,0.0363633333333333,0.498813333333333,0,0.521866666666667,0,0.00883999999999996,0,0,0.19785
"CD8+ naive T-cells",1,0.00224666666666662,1,1,1,1,1,1,1,0.0366633333333334,0.00221333333333329,0.316523333333333,1,0.432386666666667,0.0840166666666666,0.0440199999999999,0.368743333333333,0.739586666666667,1,1,0.00120333333333333,0.0200033333333334,0.228393333333333,1,1,0.0532266666666666,1,1,0.784573333333333,1,1,0.00664666666666669,0.0208700000000001,1,0,1,0.2132,1,0.0144133333333333,0,0.0206566666666667,1,1,1,1,1,1,0.396366666666667,0.00223666666666666,1,1,1,1,0.0636333333333333,1,1,0.000240000000000018,0,1,1,0.33343,1,1,0.662943333333333,1,1,1,1,0.0353366666666667,1,1,1,1,0.0160466666666667,1,1,1,9.99999999995449e-06,1,0.09244,0,0.0127166666666667,1,1,0.02935,1,0,1,0,0.484856666666667,0.137626666666667,1,0,1,0.0243233333333334,0.02706,0.00584333333333331,0.370123333333333,0.20234,1,0,1,1,0,5.33333333333497e-05,1,0,1,0,0.0169133333333333,0.0346066666666667,0.00427333333333335,1,1,0.0213266666666667,0.00476333333333334,0,1,0,0.120633333333333,0,0.28234,1,1,1,1,1,0.161153333333333,0.63416,1,1,1,0.08033
"CD8+ T-cells",0.00581333333333334,0.00451666666666661,0.00627333333333335,0.000850000000000017,0.000299999999999967,0,0.00378999999999996,0.00597666666666663,0,0.194056666666667,0.0449066666666667,0.0238766666666667,0,0.46824,0.0630133333333334,0.49291,0.0203366666666667,0.02816,0.00717333333333336,0.0267466666666667,0.0106266666666667,0.702673333333333,0,0.01281,0.00801666666666667,0.01964,0,3.33333333335517e-06,0,0,0,0.01306,0,0,0.00446999999999997,0,0.389916666666667,0.000686666666666613,0.0492166666666667,0,0,0.0216433333333333,0.0218466666666667,0,0,0,0,0.000460000000000016,1,0,0,0,0.01896,0,0.0269966666666667,0.0491366666666667,0,1,0,1.66666666666648e-05,0,0.00300999999999996,0.00052333333333332,0,0.0132633333333333,0,0.103803333333333,0.328126666666667,0.0119933333333333,0.000569999999999959,1,0,0.00277666666666665,0.10143,0,0,0,0.770206666666667,1,0.665803333333333,0.00216666666666665,0.0531066666666666,0.222423333333333,0.0325433333333334,1,0.0122233333333334,1,0,0.275536666666667,0,1.66666666666648e-05,0,0.0160866666666667,0,0.211133333333333,0.0328833333333334,0.00452666666666668,0,1,0.0302833333333333,0,0.0603366666666667,0,0.251496666666667,0.00140666666666667,0.393663333333333,0.0635066666666667,0,0.0645966666666666,0,0.238613333333333,0.0284799999999999,0,0,0.39787,0.0135,0,0.255023333333333,0.658806666666667,0.0291533333333334,0.6085,0.17058,0,0,0.261793333333333,0.01202,0,0.0524866666666667,0,0.0782033333333333,0,0,0
"CD8+ Tcm",0.0768,0.343103333333333,0.0272633333333333,1,0.29004,0,0.240436666666667,0.0396833333333333,0,0.45426,0.393176666666667,0.304973333333333,0.00760666666666665,1,0.426123333333333,0.94269,0.00892000000000004,0.0335166666666666,0.0199833333333334,0.00996333333333332,0.13905,1,0.0175766666666667,0.15806,0.02173,0.0589633333333334,0.00190666666666661,0,0.0194033333333333,0.0129933333333333,0.293066666666667,0.201296666666667,0.17347,1,0.35429,0.0581666666666667,1,0.418823333333333,1,1,0.128773333333333,0.0401633333333333,0.227816666666667,0.00469333333333333,0.0672333333333334,0.0340733333333333,0.314496666666667,0.383113333333333,1,0.0765,0.00815999999999995,0.263896666666667,0.763953333333333,0.05725,0.16153,0.06785,0.18261,1,0.13828,0.0398500000000001,0.27448,0.117763333333333,0.233733333333333,1,0.09982,0.128043333333333,1,0.539943333333333,0.458043333333333,0.13693,1,0.0208033333333333,0.118496666666667,0.173183333333333,0.02407,0.000186666666666668,0,1,0.118583333333333,1,1,1,0.73797,0.80134,1,0.112333333333333,1,0.0105333333333333,0.636563333333333,0,0.400893333333333,0,1,0.0343466666666666,0.68034,0.114263333333333,0.0770333333333333,0.27152,1,0.597366666666667,0.552816666666667,0.677906666666667,0.0156866666666666,1,1,0.144423333333333,0.38542,0.0586433333333334,0.253986666666667,0.687916666666667,1,1,0.39927,0.0725566666666667,1,1,0.154883333333333,0.29664,1,0.171423333333333,1,0.130736666666667,0.08588,0,0.131086666666667,0.125546666666667,0.40371,0.45007,0,0.463506666666667,0.00241000000000002,0.0758233333333334,0
"CD8+ Tem",0,0,0,0.00544999999999995,0,0,0,0,0,0.00744666666666671,0.744666666666667,0.0290733333333333,0,0.358136666666667,0.00542333333333334,0.477223333333333,0,0,0,0,0,0.152473333333333,0,0.01953,0,5.66666666667048e-05,0,0,0,0,0,0.00508333333333333,0.0674533333333334,0,0.00578999999999996,0,0.07304,0,0,0.289793333333333,0,0,7.66666666666138e-05,0,0,0,0,0.00456999999999996,0.217406666666667,0,0,0.0423366666666667,0,0,0.000333333333333297,0,0,0.97646,0,0,0.0105866666666666,0,0,0,0,0,0.30213,0.165103333333333,0.0105933333333333,0,0.899743333333333,0,0.0233633333333333,0.0274866666666667,0,0,0,0.345166666666667,0.0451966666666667,0.104963333333333,0.000393333333333357,0.27057,0.0412066666666666,0.215246666666667,0.09196,0,1,0,0.482306666666667,0,0,0,0.124406666666667,0,0.25591,0,0,0,1,0.05476,0.01197,0,0.0168933333333333,0.805816666666667,0.1825,0.229176666666667,0.389926666666667,0,0.36098,0,0.155536666666667,0.14725,0,0.0434433333333333,0.409133333333333,0.161666666666667,0.71263,0.0764166666666667,1,0.272683333333333,1,3.33333333335517e-06,0,0,0.00620666666666669,0,0,0,0,0.0134833333333333,0,0,0
"B-cells",0,0,0,0,0,0,1,0,0,0,1,0,0,0.00290333333333337,0.00165333333333328,0,0.00888333333333335,0,0,0.000940000000000052,0,1,0,0.0136366666666666,0,0,0,0,0,0,0.35457,0,0.15332,0,0,0,0,0,0,0.947953333333333,0.0187033333333333,0,0,2.33333333333752e-05,0,0,0,0,0.104873333333333,0,0,0,0,0,0,0.00483333333333336,0,1,0,0,0,0,0,0,0,0,0.0384933333333334,0,0,0,1,0,0,1,0,0,0,0.79228,0.0285733333333333,0.380386666666667,0,0.25325,0.04149,0,1,0,0.143876666666667,0,0.03744,0,0,0,0.0156133333333334,0,0,0,0,0,1,0,0,0.0361233333333333,0,0.0207533333333333,0.01183,0,0,0,0.0015533333333333,0,0.33087,0,0.00841000000000003,0,0,0,1,0,0.02513,0,1,0,0,0,0,0.00444999999999995,0.580533333333333,0.443896666666667,0,0,0,0,0
