"","GSM1032881","GSM1032882","GSM1032884","GSM1032885","GSM1032886","GSM1032887","GSM1032889","GSM1032891","GSM1032892","GSM1032893","GSM1032894","GSM1032895","GSM1032898","GSM1032899","GSM1032901","GSM1032902","GSM1032903","GSM1032904","GSM1032905","GSM1032906","GSM1032907","GSM1032909","GSM1032910","GSM1032911","GSM1032913","GSM1032914","GSM1032915","GSM1032919","GSM1032920","GSM1032925","GSM1032927","GSM1032929","GSM1032930","GSM1032931","GSM1032932","GSM1032935","GSM1032937","GSM1032938","GSM1032939","GSM1032940","GSM1032944","GSM1032945","GSM1032946","GSM1032948","GSM1032949","GSM1032950","GSM1032951","GSM1032952","GSM1032953","GSM1032954","GSM1032955","GSM1032956","GSM1032957","GSM1032958","GSM1032959","GSM1032961","GSM1032962","GSM1032963","GSM1032964","GSM1032968","GSM1032969","GSM1032970","GSM1032973","GSM1032975","GSM1032976","GSM1032977","GSM1032978","GSM1032980","GSM1032981","GSM1032982","GSM1032983","GSM1032984","GSM1032985","GSM1032987","GSM1032988","GSM1032990","GSM1032991","GSM1032993","GSM1032994","GSM1032995","GSM1032996","GSM1032997","GSM1032998","GSM1032999","GSM1033000","GSM1033001","GSM1033003","GSM1033004","GSM1033005","GSM1033006","GSM1033007","GSM1033008","GSM1033010","GSM1033011","GSM1033012","GSM1033013","GSM1033014","GSM1033015","GSM1033016","GSM1033017","GSM1033018","GSM1033019","GSM1033020","GSM1033021","GSM1033022","GSM1033023","GSM1033024","GSM1033025","GSM1033029","GSM1033030","GSM1033031","GSM1033032","GSM1033034","GSM1033035","GSM1033036","GSM1033037","GSM1033038","GSM1033039","GSM1033040","GSM1033041","GSM1033043","GSM1033044","GSM1033045","GSM1033046","GSM1033047","GSM1033049","GSM1033050","GSM1033051","GSM1033052","GSM1033053","GSM1033054","GSM1033055","GSM1033056"
"CD4+ memory T-cells",0.304450234696132,0.23256360887452,0.4357518220544,0.194409879047404,0.290358927974255,0.520161805038671,0.297798729741675,0.323779332811051,0.50209558571296,0.158763984996775,0.144181974651429,0.259284032015384,0.381728979297027,0.103729282209773,0.299835575190926,0.0787821199575802,0.368594851920087,0.287288306700061,0.417920243014169,0.340311549461806,0.2902278813611,0.23748436985721,0.433976154965355,0.213786829559031,0.364585496728768,0.338707345760554,0.384703359949217,0.438460377836475,0.357436175815027,0.44891146318511,0.226541060716389,0.137436324612061,0.204052480182294,0.223190717543563,0.317495990449488,0.25341640089219,0.161774614821221,0.227516935448916,0.308800363473195,0,0.300169134769382,0.364875788545839,0.311508255346487,0.427640248932466,0.279872173101225,0.335491418361017,0.248850224553917,0.230401596542642,0.148056804635679,0.412672312072231,0.447256223040239,0.186063895881677,0.262871219296159,0.29004296392206,0.313006535379505,0.409732490763651,0.315670791036644,0,0.332229257575574,0.386368266269436,0.274539277839911,0.284968936698555,0.291316090376129,0.148903049565077,0.372381996806717,0.389192405392866,0.0747676619469446,0.291085770069909,0.15105134438925,0.321445114938745,0.0667699524647031,0.34591783521256,0.349882900013562,0.107844476944532,0.419705179923684,0.357536126760011,0.420527857960886,0.16693871234302,0.187837456494201,0.172021001157217,0.170893639130531,0,0.144868071880465,0.224374817405811,0.201498471880861,0.299250842945851,0.271811455242071,0.507910474814624,0.0773531865820326,0.359844701055125,0.339286548694279,0.480234807413918,0.047466611328524,0.398424406070998,0.183398375721464,0.278794944315118,0.371181127243836,0.307639778546355,0.0288295378861165,0.312582116597781,0.125516884118324,0.177073398261812,0.359782684753328,0.169990137680977,0.10481362207929,0.261958138667681,0.192724862685381,0.201461114816983,0.182563426941943,0.186304066573297,0.187131514037819,0.234350927872163,0.358252595634385,0.278289840360495,0.21676364220688,0.152651394613234,0.133086018602893,0.241129691029048,0.132471455470168,0.216757019037467,0.0677444151285335,0.412431805481765,0.370344519104428,0.446389404309118,0.300554899796478,0.403177169378702,0.402450946264145,0.269540825091228,0.426402232363901,0.230009555831423,0.363377272723986,0.385976505916851,0.3874083481134
"CD4+ naive T-cells",0,1.76038582835278e-19,0,0.0378189312193596,5.46380278323151e-19,0.0290436552301483,0,0,0.0122340904808958,0,2.40488845876369e-18,6.02032271114422e-19,0.0116442209051262,1.08134044449277e-17,4.90636069314401e-19,6.83634235131295e-18,5.60837392525129e-20,0,1.67898765138894e-17,8.60877468982966e-19,6.39138996927198e-19,0,0,2.76384039281137e-19,2.47220372966366e-19,0,1.01434603416103e-18,0.016374803649456,0,7.65108746802105e-21,0,3.33234378313307e-20,0,0.0570226933246292,5.36751917422027e-19,0.0879844645320617,0,0,0.0369045525701943,0,1.17497784851327e-20,1.880878388988e-19,7.56081272232518e-20,0.011034607178332,0.0210603567531171,0.00578827608695241,0.100734195759406,0.0453128754882015,2.52686928076087e-18,0.0418722712018162,0.00814559697976826,0.073559613720539,0,0.0599316036071087,1.73472347597681e-18,7.00546159250968e-19,1.58465862616567e-19,2.36174385068434e-18,0,1.02499060018006e-18,0,0.00931962253543212,0.0169212760643128,0.114489859689474,0,0.0722804234867155,7.52325076213323e-05,0.000803794209582639,0,0.0179136201010289,0,0.000420589546269758,0.0612390888354373,0.0147284465025659,0.0182413012245774,0,0,2.07193068431619e-18,0,0,0.0495388811717191,0.0548740414836323,4.48376273307402e-21,0.00168725899103568,0,2.21817103235142e-19,7.4335321363238e-18,0.00223756816033148,1.3027354816328e-18,0.00879303927606311,0.0110883308471164,7.50438091852563e-19,0,0.0287332802629944,2.72379620379516e-18,5.1309834083503e-19,3.4334546478544e-20,0.027687650538618,3.193138086473e-19,0.035287230500246,0.0122452885999479,7.26288053774022e-19,2.94883421998107e-18,5.32765165475283e-19,0.00813712146413733,0,0,0.0206604991656059,0,0.00933631878383233,0,0.0125503734032549,0.0192535900968798,9.8330442005917e-19,2.1423879273851e-18,0,0,2.90260599344976e-18,0,0,2.53360183670876e-18,1.01703618965853e-19,0,0,0,1.92100485280578e-18,0.0155556549698893,1.20659780191701e-18,1.9931419449976e-22,2.70511666997438e-18,0.0151638508401555,0.00452618783771487,2.33101771423839e-19
"CD4+ T-cells",0.11852988059628,0.0820933076718148,0.226562993876704,0.105916205273177,0.133007970162297,0.257745179200676,0.106836755630636,0.128383960756212,0.255254185513414,0.0408949181215776,0,0.112610752960057,0.189189610832076,0.0411585861682264,0.146611620098228,0.00656207793679616,0.167223097455279,0.140398898708368,0.190523657228164,0.119692397934176,0.134016035795199,0.0477065682760911,0.222854813023233,0.105849379285593,0.174325135597495,0.186341827863946,0.171749262031709,0.21301159728006,0.16832723558988,0.252917562829743,0.116942960322578,0.0606129948156993,0.0939997188011076,0.144004220391597,0.139150325748849,0.170979917925949,0.0640773178676888,0.111533355558965,0.185941826483387,0.0248680097486057,0.144945023926805,0.150410843800417,0.120431493542619,0.235453673735674,0.140309145353495,0.179027448380857,0.176641680153872,0.146210818788637,0,0.304093188591148,0.242137546853863,0.150177917262981,0.115968147844643,0.164013071295629,0.163090714041899,0.187840141631002,0.163801923824716,1.13078610919863e-18,0.160277045575006,0.159651508562695,0.108405255805284,0.13023915255912,0.193236959061131,0.143432073191476,0.191608215726208,0.261713128621004,0.0708820384122346,0.125396699795425,0.0741164736359285,0.192197477707961,1.11332601858125e-19,0.187012399104862,0.183727363259044,0.0183252022238008,0.229397235149085,0.139238870376046,0.239980317396355,0,2.03136140447389e-18,0.103016203109401,0.138358868511907,0.0178489786083595,0.0615394817355685,0.125506990818554,0.0578680053532429,0.123176726027366,0.101892572599168,0.294579527373158,0,0.179012878073592,0.171096512275536,0.246661126532242,0.012634154087856,0.238579421550394,0.0473857874330855,0.095136399955948,0.184354642814475,0.185174294419772,0,0.174850136566737,0.0145867974462943,0.0297414219294203,0.185198517529669,0.0558957208779996,0.0826310815021667,0.118364103362056,0.0827743141319787,0.151574401257761,0.0413505442532665,0.106272992951474,0.0394751753045241,0.189631426551305,0.168951393522786,0.1362147439433,0.0678781132391281,0.0637648309891382,0.0549616464933422,0.122778356344879,0.0266116393987759,0.0797853670184636,0.036636766006168,0.205895975020984,0.158306329417498,0.220546302888449,0.124892187395462,0.201026895739972,0.268476174501993,0.126321054164891,0.210358796626514,0.0643411217221939,0.188970486068203,0.200316152394803,0.184595429165351
"CD4+ Tcm",0.023826925321397,0.0952272261856766,0.0593556247382334,0.0815177109001365,0.0690440301467247,0.0510804872859256,0,0.0141300982888176,0.0488367794814601,0.0036036992136394,3.16187652720616e-18,0,0.0625671694538397,0.0319864271683731,0.0355328518155236,0,0.0752868971160094,0.00443384929412095,0,0,2.68760772069338e-22,0.00241294930804025,0.103551578935151,0.0163710654774623,0.0473109768097685,0.0479921031519465,0.054957160570719,0.055742833542539,0.0511796851666211,0.158240240304487,0.0384705820736149,0.0239005992696975,0.02446904607038,0.134093424490945,0.052284544302833,0.156119258929137,0.00822129651583589,0.0562838105946709,0.0944903290531812,0.077331186670111,0.0518504141473598,0.0259373216500157,0,0.0780756299266925,0.104475776511614,0.0430623707239336,0.115519615761468,0.118429094761329,0.0221946437299162,0.233803164577775,0.0486614390210851,0.196319643250986,0.0954973256608359,0.129159992814068,0.0727463499164426,0.0493629632567506,0.0857200651331374,1.02651832369672e-18,0.125490386445052,0.0613114514186267,0.050048551708841,0.0536246359467352,0.0899054306626041,0.256432852032804,0.0646414418871839,0.137570385872003,0.0881998898225333,0.0799840317157745,0.0728105231878635,0.111585307372024,0.041862801690094,0.0585520767838452,0.134550527903567,0.00531860233321817,0.0693467844843319,0.00818026819842372,0.122790141622198,0,2.90972080129886e-18,0.0734420778837395,0.274005684715359,0.205348550924757,0.0818123753266968,0.0111359959448404,0,0.0308190680904458,8.17786167837627e-19,0.102101179894633,2.69654812270895e-21,0.0673350760095806,0.0303937749376722,0.0288900197662383,0.0173449179679587,0.133560984564778,0.0124432376426664,5.17698444785907e-20,0.108451198044345,0.155463158266949,0.0702801996357195,0.14707350451087,0.141287917427948,0.0129403559800827,0.0601203495567564,0.031855333058822,0.115359148569818,0.0905649620753527,0.0591621646430383,0.163813621161858,0,0.0941517705539631,0.0320869504399628,0.112270277762613,0.0897331203857259,0.0841864477044498,0,0.101401427725189,0,0.0739087253173167,0.0420315378475412,0.0179596052406936,0.0931576269719406,0,0.0331578599693658,0.0519038515664508,0.019783139887511,6.63658107384851e-19,0.138930396324489,0,0.0649229838178574,0.0295480514892217,0.0723690774178378,0.0571206716609522,0
"CD4+ Tem",0.13724995099576,0.134977263577581,0.187079552869773,0.111067530032704,0.121023276166182,0.229182564374428,0.0417087378291202,0.0977139588882295,0.222879643012887,0.0608012280153206,0,0.0523289960246782,0.19921700378328,0.134243765590201,0.17661467637116,0.0117172335118906,0.110575472197696,0.0670774773281542,0.116661901925086,0.070514401825196,0.14383443456966,0,0.170577086733229,0.165902939155459,0.17339820994647,0.109370138108477,0.0729917758173945,0.212523461544346,0.128558626174972,0.213343010042607,0.104098979836737,0.0470781156056686,0.079962264332571,0.0810870337303112,0.163460662338575,0.182850786451975,0.0507090439966799,0.116844466102527,0.122715326676952,0.146684257820832,0.0635058983209398,0.0682920779420481,0.154746259588254,0.177308849017541,0.125019410900669,0.165820791572365,0.0803256961151775,0.108249081211575,0.100104102430092,0.265165896742717,0.219183015673175,0.161690318610495,0.0922362737891796,0.134533363042372,0.120791225712939,0.0922458786588623,0.104955141830316,0,0.205103837086503,0.105163118569026,0.149233089911224,0.199343530210832,0.232878643592575,0.1116674007792,0.0772311284376828,0.261692387733459,0.0861259580291277,0.150565284057522,0.137788355143601,0.210777887046241,0.0699353339481753,0.201052552545641,0.128249188402349,0.0413296730653134,0.201054180208209,0.1303360342315,0.172227876168246,0.0134949486048632,0.102391784656002,0.0521609091710986,0.142436460166727,0.00139607975239268,0.0318619588560351,0.177726807936146,0,0.024421663588836,1.86196198960478e-18,0.213898228716941,0.0358655094070063,0.176673713688231,0.167249677685594,0.185541607675542,5.98300203489483e-19,0.189867514672262,0.0722208656921214,0.0651540893986425,0.0949210639693791,0.133054776328418,0.0135619247789955,0.167112492206716,0.15277184754589,0.0525087617633538,0.133968195475615,0.0385533291660285,0.0655012098647709,0.0954737496587141,0,0.0677514869509456,0.0908019954561336,0.15626688268206,0.00513712305498301,0.106926849750141,0.175463021552504,0.186108439638208,0.0722972380127722,0.0715531962417152,0,0.159802248266926,0.0657096753343454,0.095091379683245,0.0213692694527095,0.0292400303209166,0.158550855658131,0.258913263039665,0.0977075554773074,0.0168424124734332,0.155677805307393,0.0130773727009734,0.208334123800742,0.109097587436203,0.206719535663783,0.19318197687485,0.0650605643268325
"CD8+ naive T-cells",1.39296835632456e-20,0.0533941440197423,5.67543214824837e-19,6.39884131938348e-20,0,1.84570422373621e-20,3.04345223344277e-19,1.51994409754884e-20,0,0.0338269504997669,0.0534896966839208,0.0120916868743664,7.12213195695489e-18,0.00807680073413289,0.0268369167391036,0.0324168549909191,0.0101160156281441,0.00182384645042328,1.39201683985591e-17,0,0.0561975801436175,0.0386168958547179,0.0161469727426078,0,3.35248450060832e-19,0.030880468149735,0,1.34326179371954e-19,0.00129976476763059,7.81649720050214e-20,4.03500500974996e-20,0.0472841719972926,0.0382175270142603,0,0.0648205547800412,1.35515293664716e-19,0.0169615208188243,1.03668775807089e-19,0.0414419654313019,0.254676455223435,0.0383103393483706,0,0,1.63695957645059e-20,0,1.3366775885713e-18,6.05736814440358e-20,0.00918836066791446,0.0534401172615921,0,1.53186739242211e-19,0,0,0.0293315277908003,8.06696542520695e-21,4.92909645608656e-20,0.0605804496820662,0.0781279743981843,0,0,0.0114084625213904,7.86690723071253e-19,8.34600449499871e-20,0.00293722927466255,0,1.40144806222869e-17,3.45732196813416e-18,0,0.0341188523206328,2.02953441613932e-19,0,0,0,0.0405597833765856,0,0,2.3389131692928e-22,0.0636591315775271,1.87006880115315e-18,0.0259393280457925,0.0763655397533497,0.04243569224114,2.66501104572442e-20,0,0.0354851389046347,0,0.147148961028533,0,0.06791778170029,0.00662501709284847,0.0219342465115944,0,0.0944487333116407,3.22578947016317e-19,0.0369080641484182,0.036086195605878,0.0480852952228806,0.0100693100440207,0.0176020933308045,3.43098211390968e-18,0.129478636974868,2.90369918993992e-19,6.96049513840717e-18,0.146286630147332,0.0622489323986728,0,0.066325146567677,6.42608532859508e-20,0.112663009076232,0.0401147317744256,0.0342872756067712,0.0498992568164956,1.08656874462898e-19,0,0.0380003276371728,0.049233411487959,0.118972578806586,0,0.0713033862354975,0.0233143612940784,0.124233520799713,0.0135441250213412,7.59109569268007e-19,1.74503067700341e-20,6.92842274967661e-20,0,1.30800731511198e-18,0.0202095349246882,0.00342775257606996,1.71592653353305e-19,0,7.75467175167479e-20,0.0272656100192074
"CD8+ T-cells",0.0900908486547956,0.0921408793533029,0.0893993067082464,0.100672948184369,0.103749314804879,0.130385409463434,0.0935033445686282,0.0898720448613977,0.212121443728446,0.0400341826209887,0.0629495303160796,0.0729033219541347,0.141712335980712,0.0170468854312804,0.0587184188892329,0.01559173805517,0.0755010737192498,0.0701095995206425,0.0881242642395473,0.0710787969038634,0.0840989462920143,0.00604830824834202,0.118282224915478,0.0817533999080645,0.0870461801963086,0.0760247198501899,0.141553685164944,0.107695971468091,0.11862538954046,0.110194136757742,0.113011054304117,0.0814963298376395,0.124057137942194,0.124019679767935,0.0922412036441679,0.217106841691653,0.0222195591728493,0.101421100134961,0.0618111519300599,0.139946304446521,0.108040946094751,0.074490709649919,0.0743465557075872,0.122667473087487,0.145488923341287,0.12437454717132,0.144691492119864,0.10282041190107,0,0.140189727916544,0.150207066690039,0.109987449412215,0.0765248982024776,0.14387384543983,0.070919316399361,0.0618292443349576,0.145667015486633,2.16840434497101e-19,0.123097771743579,0.107352551604423,0.113964581044694,0.0951475096822668,0.10231965156298,0.152386951245353,0.0813081967841741,0.115182192190268,0.0517510813383008,0.0270123247316206,0.0826137992142543,0.101939176481897,2.66208525202773e-18,0.122011405842048,0.0955701287858965,0.0521066032072068,0.12056072884299,0.152445573632749,0.17739824062826,0.00391746960594358,1.9234517403485e-20,0.0073956600688517,0.0969651084344738,0.0608761806656355,0.036893013605564,0.067473831486382,0,0.0823691609277163,1.99020618857516e-18,0.153723086981378,0.031622013657435,0.200490306989179,0.107274737946848,0.174729777615112,0.0788916215909896,0.169662337573423,0.0381319098131956,0.0672749822713577,0.0921320232925553,0.118175885645783,2.35237846498036e-18,0.0688501836472418,0.112277377010927,0.0592992956234617,0.116516998457714,0.0339448966004764,0.0988570096917727,0.0219549926542202,0.0586184898301269,0.170960153452867,0.058411521080945,0.118244897171221,0.035201580944842,0.0698817137575697,0.121691554138006,0.118487718668439,0.0216453241731877,0.0811120861828619,0.113482667110922,0.033585020876895,0.00766987570095188,0.0695058546242215,0.00975293323464955,0.0427847842540758,0.122674242124648,0.170154184670437,0.0329248843027227,0.082565862109729,0.109732806442708,0.0610081606603563,0.221287825651474,0.0558827287113586,0.113295605921208,0.13053932249559,0.163850740995794
"CD8+ Tcm",0.0720635805258849,0.0316895468598488,0.0919900406377199,2.31983323720072e-18,0.0367384523108395,0.135783700444782,0.0422064567044068,0.0859240610542608,0.127097642610175,0.0230668818782652,0.0276116439239071,0.0352593751346638,0.105515853157677,0,0.0250842397602299,0.000794247917047112,0.104319670636965,0.0887700422655398,0.0960429864450373,0.103427064239048,0.0573388326208331,0,0.0976328624967606,0.0539438699445687,0.0950112433838313,0.0782685586066491,0.113084642629797,0.126499888106639,0.0964039927674077,0.100947152307045,0.0364448372755257,0.0472374957954062,0.0513997686403147,5.72906640319649e-20,0.0307509065113157,0.078566429833119,0,0.0256366480528125,0,2.70939491394494e-18,0.059373075185843,0.0857310939864283,0.0436889604861991,0.108890347688131,0.0752460441951496,0.0884981911461939,0.0343243933117128,0.0283943172240823,1.76364100372012e-17,0.0721597085479171,0.104988758620214,0.0394962786380986,0.00646213865671637,0.078922629693448,0.053357871454768,0.0750192742351247,0.0499831327650725,0,0.0574738717771805,0.085853470577773,0.0383169339106809,0.0615942113804046,0.0429881903554705,9.15352934317055e-19,0.0656748596704366,0.0595143003923581,0,0.0175944597848048,0.022794261004077,0.0577288441448326,8.81801338945886e-18,0.0955540457735647,0.0614439651811567,0.0514478657683846,0.0935987428034407,0.118463616532163,0.140061000193367,0,0.0614136810749563,0,2.40194819897611e-21,0,0.00754601600556595,0.00502592609106943,3.5388773508977e-20,0.0628004789178397,1.53015394070192e-19,0.102943594239948,0.0122611929971622,0.179666571266377,0.0270020139539616,0.129581164219318,0,0.0883776196110614,0.0101331932788184,0.0623781900957027,0.0719614487393389,0.0386393147659006,0,0.0143315151180867,0.0168435243096173,0.0102482597982975,0.0989298328543364,0,1.09122302971199e-19,0.0563319788378871,0.0282177747821095,0.0783824495032562,0.0406152257607215,0.00978806215097523,0,0,0.0271309468238645,0.073397054525318,4.30457444301398e-19,2.55887940936252e-20,0.054478951692169,0.0360733313768065,0,0.0517256480076013,0,0.058967467531159,0.0693050643850094,0.148232284278745,0.0588880309008047,0.0600293240278119,0.0267820632323004,0.0233495480275417,0.145253688899895,0.0224220147896912,0.112018330926752,0.0723515631927755,0.14603921417226
"CD8+ Tem",0.192438208476619,0.205870066270479,0.245421387370514,0.169213044061196,0.274368907711696,0.394273751005621,0.240219968523636,0.222743665717346,0.365467456483217,0.167472764011299,0.0212572339452472,0.153740949656827,0.283327433156217,0.0692794946131131,0.169249444061538,0.0521730113363275,0.243197830259248,0.188349072063369,0.234633565877863,0.260123402215587,0.187771541022115,0.109652921080555,0.316938467646494,0.159010938421036,0.268498045636904,0.180991010659168,0.346826322665442,0.306927733114189,0.220220574062468,0.286998692748598,0.197346724820496,0.169590643035617,0.136700686826525,0.233193516025362,0.168940057313308,0.318750451271829,0.134560550303408,0.233898751971082,0.203143893700592,0.0806761221294676,0.187160493103445,0.215179039572191,0.18083202085171,0.326333419332596,0.251067229803364,0.289895218805157,0.346097388533524,0.170113990598686,0.0946240069918284,0.311373813565361,0.313280458275078,0.147259987110642,0.187702954335862,0.206291480004563,0.178473933254284,0.309541727720995,0.211100995541789,0.00128513864148849,0.307316961716656,0.330300362122902,0.164997341248188,0.185172081484754,0.201896197736953,0.229582871536515,0.285317296876612,0.219338336600029,0.0784919494897702,0.106432137490187,0.16499237415139,0.260338050667475,0.00709402488571784,0.27550934187444,0.156859516105187,0.154562023430746,0.3159633977044,0.312526772574062,0.308223384583352,0.0713547286398435,0.145975566099629,0.123393859557926,0.177982883867958,0.0841891892619275,0.147817366807067,0.0950748011692233,0.127682048898697,0.217963128353061,0,0.308738153689516,0.0514881574854644,0.336386631495171,0.255836416941998,0.317883666957129,0.117384782679342,0.309232287169161,0.0869483238307647,0.244088342521325,0.184474128578793,0.207645626318406,0,0.141718384347735,0.163985589340428,0.195504798522206,0.160619849058081,0.0153151658818633,0.10231152127476,0.0922593176339574,0.0644181709651809,0.335435409529425,0.0688643884394731,0.221820111939761,0.10889482405736,0.111034485185329,0.203281738872397,0.146792538289895,0.0616249091680793,0.107279648607622,0.0245164751985472,0.133278945776763,1.18437422402383e-19,0.0837711979004836,0,0.182379335624217,0.278358915064761,0.344107145574415,0.16850747848974,0.225610049883261,0.260856586204672,0.228128550130753,0.356187202095734,0.162976078264109,0.217490340938557,0.344486885268347,0.350022625055865
"B-cells",0.159117273670908,0.098076294798599,0.181659091391451,0.106401742660714,0.199201052109935,0.236502791804333,3.61354146377265e-18,0.267370375481705,0.284271179070131,0.1507254438856,0,0.175158688854197,0.290593699989144,0.0745778129158991,0.0779879086207817,0.151004502833213,0.0647236757204088,0.14131739657239,0.160071534502559,0.0805461537920916,0.243455097826538,0,0.242147350482742,0.0592569067523286,0.208347118193752,0.190394205615953,0.139149140817032,0.24232877253491,0.235226057752144,0.271352201859819,0.0151776456527866,0.168578007141586,0.0276477417996613,0.125644787679747,0.0946489090778026,0.322790360090348,0.113586879906793,0.13068188392445,0.142053508628291,0.000122644000615174,0.0547858480603962,0.132438195606165,0.100912461173707,0.0872418428203557,0.103277490708282,0.134962024099074,0.144180108188159,0.318769591031961,0.03259322219668,0.309392329145475,0.301343784889354,0.255250530798433,0.185981684284857,0.30167069396404,0.243223547611728,0.0707302116643102,0.131952003420646,0,0.209630747195643,0.128218441201151,0.236700393801021,0.185832855735416,0.266231646311915,0.106544254482657,0.161464046858325,0.292942675651113,0.0444462413592295,0.146673926356101,0.216148462650162,0.183373859308358,5.46004708406685e-20,0.255162558296831,0.219274529082954,7.10953595162197e-19,0.332010985106383,0.152264191828886,0.214813701973169,0.00183092883712845,0.0481760191261991,0.0140144870489591,0.200245623437558,0.020512270102829,0.0435525914115249,0.152801808305019,2.85572028792624e-18,0.113076203053983,0.0284977868665156,0.308688807863786,0.044759694533816,0.197745178387421,0.198024941777792,0.209977257763338,0.0573898735936378,0.207003004264875,0.095901300024815,0.104461931024849,0.151090137625058,0.08887646721917,0,0.205325630279895,0.178469549774238,0.0452165387378017,0.213680816756128,0.0531287528339872,0.0611493447533637,0.16581403255222,0.0891110453900087,0.189750715973877,0.0783547504861606,0.175320615539226,0.0162906003444625,0.127348910390533,0.0653560312318112,0.220617567655743,0.131053469047349,0.120329251909867,0,0.147297808640346,0.0499927586084823,0.163106152284439,0,0.114433891086669,0.142376388723267,0.32956253859315,0.1461025651883,0.0713235714543073,0.00676487509089547,0.0114131431997356,0.358671402779999,0.113687603612373,0.24327869864351,0.228651021378992,0.137592983594621
