"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127"
"CD4+ memory T-cells",0,0,0.0289766666666667,0.38297,0,0.23114,0.0956433333333333,0.01863,0.00201333333333331,0.828836666666667,0.192476666666667,0.0319700000000001,0.00597999999999999,0.0420866666666667,0.2789,0.13468,0.04504,0.13106,0.00481666666666669,0,0.459666666666667,0.103263333333333,0,0.04356,0,0,0,0.03299,0.104176666666667,0.00990666666666662,0.07581,0.0597166666666666,0,0.21988,0.17301,0.77769,0.28899,0.477253333333333,0.772756666666667,0.0565733333333334,0.0974533333333333,0.0118533333333334,0.260556666666667,0.792016666666667,1,0.18917,0.25274,0.00106333333333331,0.650316666666667,0.306023333333333,0.561826666666667,0.0915566666666666,0.131183333333333,0.22982,1,0.343816666666667,0.06918,0.187923333333333,0.733513333333333,0.155936666666667,0.504116666666667,0.62596,0.475593333333333,0.0867433333333333,0.00641000000000003,0.0779966666666667,0.464893333333333,0.849563333333333,0.0937,0.8167,0.000789999999999957,0.951893333333333,1,0.0487166666666666,0.0673833333333334,0.0366166666666666,0,0.00132333333333334,0.326926666666667,0.00347333333333333,0.16158,0.0835933333333333,0.00285999999999997,0.218553333333333,0.774523333333333,0.125476666666667,0.000493333333333346,0.468163333333333,0.56008,0,0.00292000000000003,0.158733333333333,0.00196666666666667,0.625366666666667,0.0789733333333333,0,0.172956666666667,0.60363,0.00193333333333334,0.0183266666666667,0.52019,0.0193933333333334,0.0250033333333334,0.0372733333333334,0.00259333333333334,0.0735266666666666,0,0.58747,0.04719,0.470093333333333,0.0843533333333333,0.03344,0.64015,0.0897066666666667,0.48597,0.753493333333333,9.99999999995449e-06,0.0241866666666667,1,0,0.0140666666666667,0.410373333333333,1,0.000133333333333319,0,0,0.00349333333333335
"CD4+ naive T-cells",0.198176666666667,0.0516766666666667,0.0550066666666666,1,0.29184,1,1,0.141613333333333,1,0.60653,1,0.0518266666666667,0.143766666666667,0.82525,0.700343333333333,0.162786666666667,8.66666666666793e-05,0.901333333333333,1,0.0364733333333334,1,0.640713333333333,1,0.26713,0.113086666666667,0.03989,0.180713333333333,1,1,0,1,0.24832,0.574203333333333,1,1,1,0.73504,0.483143333333333,0.0600166666666667,0.211933333333333,0.220206666666667,0.116823333333333,0.5055,0.2704,1,0.0326933333333334,1,0.416416666666667,0.0982499999999999,0.285073333333333,0.162376666666667,0.0686600000000001,0.0689966666666667,1,0.03137,0.05484,0.599503333333333,0.02032,1,0,1,0.63796,0.78959,0.0485433333333334,0.519543333333333,0,1,1,0.68081,0.19963,0.0532866666666667,0.03999,1,0.0241966666666666,0.20009,0.0899,0.0786033333333334,0.03352,1,0.00704333333333329,0.475076666666667,0.0767066666666667,0.260103333333333,0.634033333333333,0.58211,0.135023333333333,0.0246233333333333,0.476093333333333,1,0.136846666666667,0.0125366666666666,0.313923333333333,0.08043,0.09423,0.0514233333333334,0,0.101816666666667,1,0.0348666666666667,1,0.412696666666667,0.556523333333333,0.0252166666666667,1,0.0354266666666667,0.30306,0.62856,1,0.162473333333333,1,0.60308,0.377526666666667,0.0333433333333333,0.187506666666667,1,1,0.711353333333333,0.105646666666667,1,1,1,1,0,0.370816666666667,0.138246666666667,1,0.500006666666667
"CD4+ T-cells",0,0.0179,0.212816666666667,1,0.0415033333333333,0.94112,0.475013333333333,0.22463,0.107946666666667,0.72375,0.59097,0.126336666666667,0.13009,0.208116666666667,0.5726,0.50468,0.0782966666666667,0.359296666666667,0.46643,0.0204033333333333,0.99062,0.665626666666667,0.04802,0.164266666666667,0.0170666666666667,0.00134999999999996,0.0466566666666667,0.18764,0.657456666666667,0.02339,0.209933333333333,0.270536666666667,0.0256233333333333,0.79237,0.734463333333333,0.883656666666667,0.816043333333333,0.912316666666667,0.376446666666667,0.27635,0.150003333333333,0.0897733333333334,0.93324,0.48965,1,0.30482,1,0.08507,0.70134,0.590123333333333,0.792226666666667,0.135326666666667,0.196566666666667,0.829383333333333,0.514166666666667,0.200536666666667,0.217303333333333,0.276553333333333,0.808126666666667,0.0659933333333333,0.58762,0.794113333333333,1,0.202263333333333,0.106786666666667,0.177143333333333,1,0.989083333333333,0.44846,0.32444,0.0262933333333333,0.525566666666667,0.733953333333333,0.0367366666666666,0.233636666666667,0.135256666666667,0.0153466666666666,0.00163000000000002,0.36664,0.0210433333333333,0.25254,0.104963333333333,0.0633566666666666,0.14977,0.839166666666667,0.460456666666667,0.0135,0.529903333333333,0.81644,0,0,0.253523333333333,0.02618,0.3439,0.208016666666667,0,0.37391,1,0.0170966666666666,0.08007,0.442643333333333,0.166823333333333,0.0571266666666667,0.365343333333333,0.00059666666666669,0.125613333333333,0.0863766666666667,0.39602,0.105853333333333,0.98145,0.350283333333333,0.157783333333333,0.390863333333333,0.300363333333333,1,0.954476666666667,0.0211766666666666,0.14112,1,0.04797,0.13648,0.843813333333333,0.05806,0.0652833333333334,0.0743666666666667,0.0498499999999999,0.07269
"CD4+ Tcm",1,0.88357,1,1,1,1,1,1,1,0.04974,1,1,1,1,0.40227,0.213313333333333,0.139993333333333,0.306216666666667,1,1,0.348376666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00446333333333337,1,1,1,1,0.12467,0.0936533333333334,1,1,1,0.270603333333333,0.505356666666667,0.167813333333333,0.94705,0.171396666666667,1,0,0.116603333333333,1,1,0.192113333333333,0.0469433333333333,0.598273333333333,0.0209533333333334,1,1,1,1,1,1,0.308266666666667,1,1,0.346923333333333,0.169913333333333,0.20111,1,1,1,1,1,0.0194933333333334,1,1,1,0.31425,0.251503333333333,1,1,0.448413333333333,0.643076666666667,1,0.0104033333333333,0.25531,0.253113333333333,0.05375,1,1,1,1,1,1,1,1,0.869546666666667,1,1,1,1,1,1,1,1,1,0.143493333333333,1,1,0.0365666666666666,1,1,0.04045,1,1,1,0,1,1,1,1
"CD4+ Tem",0.0841666666666666,0.37422,0.250843333333333,0.619406666666667,1,1,0.351443333333333,0.0637866666666667,0.39815,0.10219,0.32982,0.10389,0.471996666666667,1,0.267283333333333,0.249573333333333,0.12145,0.240976666666667,1,0,1,0.541536666666667,0.52084,0.121646666666667,0,0.0292766666666666,0.0112133333333333,0.0140666666666667,1,0.03094,0.20187,0.0606966666666666,0.0917633333333333,1,1,0.0581066666666666,0.348293333333333,0.390576666666667,0.0846233333333334,1,0.21438,0.0247066666666667,0.06712,0.0169233333333333,0.540636666666667,0.0570233333333333,1,0.0761033333333333,0.26013,0.148243333333333,0.0814833333333334,0.05566,0.0928333333333333,1,0.0545766666666667,0.00273000000000001,0.38666,0.02194,0.0179433333333333,0.000589999999999979,0.10045,0.322543333333333,0.36722,0.190143333333333,0.486276666666667,0.142893333333333,1,1,0.12095,0,0.0492366666666667,0.01261,0,0.0322866666666667,0.0324866666666667,0.0671566666666666,0.136603333333333,0.44111,1,0,0.235003333333333,0.0135966666666667,0.05186,0.01793,0.0429033333333333,0.601086666666667,0.0679366666666666,0.0882666666666667,0.0524566666666667,0.469373333333333,0.03389,0.0172166666666667,0.3879,0.00960000000000005,0.226256666666667,0.0027233333333333,1,0.26129,0.137993333333333,0.157716666666667,1,0.0931466666666667,0,1,0.02655,0.00192666666666663,0.0735066666666667,0.167523333333333,0.0192566666666667,1,1,1,0.226756666666667,0.506236666666667,1,0.175146666666667,0.307983333333333,0,1,1,1,0.337596666666667,0.154053333333333,0.244043333333333,0,1,0.05933
"CD8+ naive T-cells",0.203226666666667,0.05321,0.765083333333333,0.00806666666666667,0,0.01869,0.06671,1,0.02503,1,1,1,0,1,1,1,1,1,0.538256666666667,0.46232,0,0.00334666666666672,1,1,1,1,1,1,0.03361,1,0.448753333333333,0.48622,1,0.459986666666667,0.17931,1,1,1,1,0,1,1,1,1,1,1,0.0111,1,0.00201666666666667,1,0,1,1,0.45154,1,1,1,1,0.0216366666666666,1,1,1,0.05325,1,1,1,0.0193266666666667,0.0333233333333334,1,1,1,1,1,1,1,0.231576666666667,1,1,1,1,1,1,1,1,1,0.0604,1,1,0,1,1,1,0.157433333333333,1,0.10467,1,0.80586,0,1,1,0.144153333333333,0.694026666666667,1,0,1,1,1,0.233606666666667,1,0.000186666666666668,0.20857,0,1,1,0.0153733333333333,0,0.10655,1,7.66666666666138e-05,0.346036666666667,0,0.483736666666667,1,1,1,1,1
"CD8+ T-cells",0,0,0,0.137596666666667,0,0.54567,1,0,0.0272633333333333,0.0957533333333334,0.0093333333333333,0.01372,0.03294,0.0121866666666667,0.0204733333333333,0.41923,0,0.290766666666667,1,0,1,0.299446666666667,0,0.00368000000000002,0,0,0,0.437306666666667,1,0.125733333333333,0.263183333333333,0.0183466666666666,0,0.01862,0.309873333333333,0.10535,0,0.01783,0,0.286746666666667,0.01059,0,0.00240333333333331,0.14452,1,0,1,0,0.0944966666666667,0,0.00889333333333331,0,0.0304333333333333,0.0380966666666667,0.0151,0,0.02972,0,0.142216666666667,0.00282666666666664,0.00821666666666665,0.948393333333333,0.255156666666667,0,0,0,1,1,0,0.03373,0,0,0.04039,0,0,0,0,0,0.00378333333333336,0,0.00570333333333328,0,0,0,0.0395266666666667,0,0,0.00861999999999996,0.64809,0,0.00226666666666664,0.0271666666666667,0.103843333333333,0,0.00224333333333337,0,0.0207000000000001,1,0,0,0.0332733333333334,0.00569333333333333,0,0.741166666666667,0,0.000183333333333313,0,0.128763333333333,0.0139666666666667,0.741306666666667,0.256523333333333,1,0.109386666666667,0.0439166666666667,1,0.46091,0,0.00111666666666665,0.776116666666667,0.557676666666667,0.328073333333333,0.0250333333333334,0.0904833333333334,0,0.0115833333333333,0.13763,0
"CD8+ Tcm",0,0,0,0.684226666666667,0,0.136326666666667,0.147866666666667,0,0,0.05911,0,0,0,0,0.18556,0.244773333333333,0,0.05337,0.00114333333333339,0,1,0.0448733333333333,0,0,0,0,0,5.66666666667048e-05,0.411066666666667,0,0.08387,0.000393333333333357,0,0.00513333333333332,0.00335666666666667,0.139086666666667,0,0.139326666666667,0.00509666666666664,0.31269,0,0,0.0133833333333333,0.12923,0.582513333333333,0,0.770833333333333,0,0.205743333333333,0.0109833333333333,0.246186666666667,0,0.04496,0.01705,0.18576,0,0.08624,0.00175333333333338,0.27617,0.00959333333333334,0.10474,0.724596666666667,0.309166666666667,0,0,0,1,1,0.00246000000000002,0.04795,0,0.0318233333333333,0.106053333333333,0,0,0,0,0,0.00926000000000005,0,0,0,0,0,0.174643333333333,0.03935,0,0.0335866666666667,0.593923333333333,0,0,0.0289466666666667,0,0.0173733333333334,0.00638666666666665,0,0.00048999999999999,1,0,0,0.0183766666666667,0.000179999999999958,0,0.128793333333333,0,0,0,0.0281633333333333,0,0.17162,0,0.0786266666666666,0.41531,0,0.445093333333333,0.471496666666667,0,0,1,0.000893333333333302,0,0.0770066666666667,0.740886666666667,0,0,0,0
"CD8+ Tem",0,0.0238699999999999,0,0.190856666666667,0,0.334123333333333,0.785023333333333,0,0.000956666666666717,0.02842,0.0368333333333334,0.0177366666666666,1,0,0.167003333333333,0.406173333333333,0,0.327523333333333,0.308466666666667,0.00646666666666662,1,0.390436666666667,0,0.0418433333333333,0,0,0.0220266666666666,0.291856666666667,0.204006666666667,0.556523333333333,0.211666666666667,0.09981,0,0,0.0551966666666667,0,5.33333333333497e-05,0,0,1,0,0,0.24944,0.00196333333333332,0.457606666666667,0,1,0,0.953273333333333,0.0866166666666667,0.0542,0.00100999999999996,0.15312,0.0406366666666667,0,0,0.18278,0.00485999999999998,0.03262,0,0.05353,0.205573333333333,0.319913333333333,0.0772333333333334,0,0,1,0.126096666666667,0.0180266666666666,0,0,0,0,0,0,0,0,0,0,0,0.01737,0,0.000753333333333384,0,0.11896,0,0,0.0546066666666667,0.401083333333333,0,0.0402966666666666,0.16463,0.393383333333333,0.0238699999999999,0.240496666666667,0,0,0.6147,0,0,0,0.23588,0.000176666666666714,0.83401,0,0,0,0,0.000606666666666644,0.610146666666667,0.147246666666667,1,0.0294966666666666,0.121713333333333,0.67392,0.538223333333333,0,0,0.166876666666667,0,0.119956666666667,0.000546666666666695,0,0,0.217156666666667,0.01737,0
"B-cells",0,0.04782,0,0.71961,0.85789,0.13893,1,0,0.000253333333333328,0.351643333333333,0,0.105923333333333,0,1,0.0016733333333333,0.55742,0,1,0,0,1,0.0923433333333333,0,0,0,0.00224666666666662,0,0,1,0.02934,0.10539,0.00573999999999997,0.00540666666666667,1,0.0121266666666666,1,0.0338733333333333,1,0,0.0799466666666667,0.122933333333333,0,0,1,1,0,0.405223333333333,0.109883333333333,0.00494000000000006,0,0.483266666666667,0,1,1,0.02117,0,0,0,1,0,0.46027,1,0.0162866666666667,2.33333333333752e-05,0.141963333333333,0,0.850586666666667,1,0.08782,0.0809,0,0,0,0,0,0,0,0.00279666666666667,0.03932,0,0.00661,0.05908,0.02906,1,0.0414033333333333,0.00282333333333329,0,0.693013333333333,0.40295,0,0,0.00100666666666671,0,0,0,0,1,1,0,0.0150333333333333,0.0527766666666667,0.0099366666666667,0,0.00952333333333333,0,0,0,0.0298666666666667,0.142496666666667,1,0.00345333333333331,0,1,0,0.20454,1,0,0,1,0.0449833333333334,0.0587833333333333,0.0228266666666667,1,0,0,0.00564666666666669,0
