"","GSM1213670","GSM1213671","GSM1213672","GSM1213673","GSM1213676","GSM1213677","GSM1213678","GSM1213679","GSM1213680","GSM1213681","GSM1213682","GSM1213683","GSM1213685","GSM1213686","GSM1213687","GSM1213688","GSM1213689","GSM1213690","GSM1213691","GSM1213692","GSM1213693","GSM1213694","GSM1213695","GSM1213696","GSM1213697","GSM1213698","GSM1213699","GSM1213700","GSM1213702","GSM1213703","GSM1213704","GSM1213707","GSM1213710","GSM1213715","GSM1213716","GSM1213717","GSM1213720","GSM1213722","GSM1213723","GSM1213724","GSM1213726","GSM1213727","GSM1213728","GSM1213730","GSM1213733","GSM1213734","GSM1213735","GSM1213736","GSM1213737","GSM1213738","GSM1213739","GSM1213740","GSM1213741","GSM1213742","GSM1213743","GSM1213746","GSM1213747","GSM1213749","GSM1213750","GSM1213751","GSM1213752","GSM1213753","GSM1213754","GSM1213756","GSM1213757","GSM1213758","GSM1213759","GSM1213760","GSM1213761","GSM1213762","GSM1213763","GSM1213764","GSM1213768","GSM1213769","GSM1213770","GSM1213773","GSM1213774","GSM1213775","GSM1213777","GSM1213779","GSM1213780","GSM1213781","GSM1213782","GSM1213783","GSM1213784","GSM1213785","GSM1213787","GSM1213788","GSM1213792","GSM1213793","GSM1213794","GSM1213795","GSM1213797","GSM1213798","GSM1213800","GSM1213801","GSM1213803","GSM1213804","GSM1213805","GSM1213806","GSM1213807","GSM1213808","GSM1213809","GSM1213810","GSM1213811","GSM1213812","GSM1213814","GSM1213816","GSM1213818","GSM1213819","GSM1213820","GSM1213824","GSM1213825","GSM1213826","GSM1213827","GSM1213831","GSM1213833","GSM1213834","GSM1213836","GSM1213837","GSM1213840","GSM1213844","GSM1213845","GSM1213846","GSM1213847","GSM1213848","GSM1213849"
"CD4+ memory T-cells",0.406505858246287,0.355152414547737,0.24908919704915,0.10933053792751,0.349706742577909,0.139858134345985,0.189872408384582,0.26336256377595,0.302260075185983,0.0312061744369208,0.150308439845617,0.245481663013934,0.287569669409057,0.233929903401549,0.129417203564144,0.170632399155264,0.231069454490059,0.172142661660051,0.291367732541333,0.343898976534155,0.0959851458542379,0.185493589398844,0.33949711008315,0.23254606954721,0.354346446615633,0.346795196254785,0.332752193269556,0.244193000380771,0.184996794229976,0.27836471890817,0.203602844787874,0.21733639913095,0.36682204861496,0.142696999774689,0.156619793227731,0.0409910709221275,0.12729856030615,0.0929259719038401,0.0419189829689889,0.220072974728349,0.188808053878444,0.274645475976715,0.133290015164279,0.0383793442207736,0,0.151377557537814,0.134972107297903,0.30771869335055,0.0637723705809896,0.123807617139523,0.0788554097045143,0.192375160750873,0.172087045860889,0.14015776534459,0,0.116547316089655,0.209243792546881,0.151756285000563,0.0490949688176738,0.162425556090096,0.0885191376844522,0.0679855655979754,0.0932214111552739,0.195510612305234,0.286476312925454,0.201841198445643,0.095040357180935,0.0270793210974117,0.191058930182214,0.0335917779310132,0.309788711217462,0.00666519272220614,2.58943132007281e-19,0.227241138766616,0.210619939075079,0.240012881308416,0.353233156139619,0.30598841657826,0.119735694149926,0.296148639736142,0.16044484117802,0.197725255441447,0.298618205492101,0.143017393959207,0.0415871413042973,0.174594109346495,0.312979149318278,0.0944797954907177,0.0791391822848555,0.371278117713603,0.298460183364445,0.161460653169282,0.30265559608376,0.0680883052759951,0.201111596113508,0.368798371585362,0.156635304979523,0.0717063029778919,0.302835768535734,0.263943278976565,0.0858408817924201,0.26216835010006,0.254356594925897,0.239257889490433,0.29956108305916,0.205506144055779,0.327089434283021,0.0745202536492324,0.228806140165886,0.0941493099389639,0.197228710476024,0.243626866632866,0.0655643089620453,0.193535089679455,0.0914854383996854,0.0455043491969552,0.324442739863062,0.255523715204607,3.59702958056512e-18,0.36557822557908,0.270608828226847,0.104444499818389,1.67100172460258e-18,0.31920407744144,0.327514015646619,0.337763814940317,0.296106700920439
"CD4+ naive T-cells",0.0521334163494388,0.083429649259884,0.0817693775605867,2.83841232844712e-19,0.041711635425934,0,1.07288706167775e-19,0.0600897180919125,4.00712095921974e-20,0.0175228414985874,1.18488780328327e-20,0.083352922816138,0.0597366709526559,0.00598269106097152,0.012169358920038,0.0569087693709383,0.133644111421132,0.00280117798323451,3.76129109387386e-18,0.0938548807159071,0,0.0154915667310368,8.67361737988404e-19,0.0442544314573688,0.0652204013713028,0.0913997044777243,0.0544483735627481,0,0,0.146135003478099,3.51824134173761e-20,0.0462334424967539,0.0195277360167897,0,4.46145362951055e-20,1.0462107893751e-18,0.0103410337266203,0.0256167239807023,0.0795783837215577,0.0504443465737651,0.0494268322520474,0.064499231063768,0.0240600195924775,0.0439293892322596,4.42353425368047e-18,0.0968550713255121,6.6357444613116e-18,0.0306924492669209,0.0683628918433889,0.0423939555335633,0.0569704527163078,0.0763897879772929,0.0762551936776604,1.05175473668267e-19,0.0979234389155527,0.0818598502398637,0.0179597533638237,0.107639435347019,0,0.143465182908485,0,0.0156580676683063,0.00763245470574635,0.0851886354975979,0.023120134521814,0.148032096202434,0,0,0.0132571816679433,0.0519591726406846,0.0825895046063893,0.0913387354611753,1.68037827699282e-20,0.104050172836215,0.0518972068520045,0.0702788819837177,0.0732314811180232,0.0962331597828401,0,0.121900768943136,0.0261975170609364,0.0738047430554996,0.0449868469851711,0.0158972789514433,0.0190317111307933,0.0612313004931293,0.103681811612883,0.0261219010811304,0,0.0609198298295682,0.115383713001674,0.0395343161239753,0.0727232688314978,0.0692559480504382,0.0835626495613333,0.207044277165039,0.0675453409409028,1.48347225452267e-19,0.0951458661584555,0,0.0309982699718626,0.0206598245804437,0.103173328320383,0,0.0946820772746766,0.040566426282294,0.0162283872826863,4.2106978893492e-21,0.0569554803496195,0,0.0177493017593144,0.0338568889588285,0.0963469489221504,0.0535402890137888,0,0,0.0115791867141246,0.0667278625699853,0,6.98558456107118e-18,0,7.00013558954342e-22,0.149530919465551,0.034453242866878,0.060660847256384,1.25412067555531e-18,0.0244328691247581
"CD4+ T-cells",0.238257230329151,0.20362256519877,0.124076534155888,0,0.186210883697541,0.0199405664696556,0.0842444415581736,0.121417980400102,0.153273224396723,0.0537617871808409,0.0702023319896569,0.147006505851006,0.145781622447849,0.125167352363443,0.0724213927169038,0.0806803395070724,0.1652625535737,0.0991067104315242,0.0853320664889285,0.201557710114272,0.00604589089365376,0.0610051672384571,0.182133128973827,0.135997754411514,0.204342992560408,0.224901820182239,0.182980183280619,0.129991812023502,0.06201776229649,0.19917605317483,0.124768087454816,0.112387070327101,0.197465737195693,0.0445780382518469,0.0523772931380647,0.0307470165255229,0.041206646563509,0.0256424347187174,0.0967859611384854,0.11142393677113,0.139916797650741,0.160153849600788,0.0215773107241996,0.0825190030001624,6.19404947455559e-18,0.106947230038344,1.22566322361172e-19,0.162187768083328,0.0565686353649243,0.0702962105655785,0.0446019009164414,0.144179468624377,0.127867871462351,0.039245207231905,0.0794560367254938,0.126948535658653,0.123049151419479,0.111388702363102,0.0423367936819163,0.171559143391069,0.0705918513397199,0.0443205103755139,0,0.126536460473276,0.15371027900199,0.132659236665724,2.25994682947309e-18,0.00671338870427336,0.0875248112920864,0.103960507437964,0.196862531564666,0.0780592962266732,0.0524418243595503,0.189386617272736,0.119443570792113,0.144196122782091,0.206014410918866,0.224162834105737,0.0980669990640993,0.201030729366468,0.115605551441455,0.154335935672365,0.173087456651823,0.139992348279143,0.0378305661466582,0.0860565987876204,0.207790456031146,0.0775499442017729,0.0411503715165386,0.251876776107854,0.231641983058387,0.11541660947177,0.196963122475648,0.101235631662943,0.125193005921272,0.287257090547403,0.0971143877784942,0,0.204320026245265,0.164450446575537,0.0882454790212577,0.135286936581396,0.176787936567434,0.0982459393872316,0.227174838047425,0.147261997641277,0.161580990519134,0.0941652186921438,0.154024683016838,0.00951003789514552,0.100349900740403,0.137728672975972,0.0948252376317228,0.107637986112748,4.50836674013583e-19,0.0170324278935049,0.200922667878019,0.142452392792479,0,0.182161606705647,0.143851285346991,0.0371216097486313,0.176243564716842,0.171964938877573,0.16723919436279,0.180980887375553,0.168119343257515
"CD4+ Tcm",0,0.000494594078474295,0,0,0,1.49459566116922e-20,1.30758210342669e-17,0,0,0.0455641858991478,6.05518423133325e-19,2.70091957905311e-19,1.4072509899773e-20,8.85448897935895e-19,0.0110603017710443,0.021183847847767,0.0279489628700792,0.0154352653602108,0,0,0.013358679071561,8.99993413633522e-20,0,0,0,1.95114088639144e-18,2.2525067264097e-18,0,2.06461834180788e-18,4.25503198502282e-18,0,0,9.67253358501505e-18,0,0,0,0,0,0.0717907563011227,0,0,8.05485682939173e-20,5.08638493405934e-19,0.0299512820492328,0.0352144458046592,0,5.2968748797738e-18,1.08972412608993e-17,0.0173811219849339,0.00749744898707673,0.0250144982528135,0.000118694916356452,0.0246837348166978,7.2748873100484e-19,0.130804182945429,0.0311729697596895,0,0,0.0228654327653263,0.0464370210918238,0.00496206100796435,0.0567327136904801,5.99799647594762e-19,0,0,0,5.14386512676541e-18,1.07185411772045e-18,0.0153285734579583,2.86161168421281e-18,0,0.0134244094882978,0.0248228352136181,0.0221305447181417,0,0,0,1.35158935638282e-18,9.3953729947876e-19,0.0575682451082041,0,0,8.39275641075559e-19,0.015017791970325,0.0185708135200777,0,0,0.00935118536324891,0.00395681402899666,0,0.0639000410740094,0.0183259608830733,0.0184609462939079,0.0444051019346736,1.25579835693411e-18,1.2989936512738e-18,0,0,0,5.70697932039276e-19,0,1.57359773272566e-19,0.000611052474344307,8.17534608348026e-19,0,0,0,0,4.10895057746376e-20,0,0,0,0.027532760270049,8.94534659379383e-19,6.39861988187242e-18,0.049884116327854,0,8.37437722246124e-19,0.0485109740916174,3.76618461759318e-18,0,0,0.153966636228143,0,0,0,1.5848232895267e-19
"CD4+ Tem",0.084698175268208,0.0375935245528922,0.0568349584667441,0.00160102596585259,2.6483756669216e-18,0,0.0412247044156645,0.0898063887945787,0.033659437795035,0.0808222795625946,0.0446632747050189,0.0804969916902713,0.021154737867388,0,0.0542919260861116,0.0570244845505419,0.0773513548188063,0.0584128507499913,1.30535639302435e-18,0.12191629343154,0,0.00986722775307411,0.0130145883055655,0.0773174188242919,0.154774559987214,0.100101258063901,0.107656498534672,0.106086387670433,4.02791901661935e-18,0.0994958694919512,0.064454309752712,0.0905982555973581,0.082891378035317,1.45441742930791e-20,0,0.0913005410886456,0.0417546386537922,0.0349209275917792,0.0845878778024701,6.27300557036095e-18,0.0624916932110203,0.101663864598221,0.088937829421767,0.104785052455532,0.00998828158862178,0.0916212513656537,1.46188415219435e-18,0.0866539280133024,0.0553629211518238,0.0728829158325781,0.0853691235896605,0.0919867971013567,0.0826654400109015,0,0.0922760763561799,0.113782314422128,0.0355681799260375,0.102664086812842,0.104340617737205,0.116957911572568,0.081151631500388,0.0458217276362232,0.0387230802361409,0.066258843256705,0.0187049552163911,0.0737803393790701,1.01419911112743e-18,9.41204337406309e-19,0.0774353626090663,0.129953702069179,0.0937791375997689,0.106844452568885,0.125175625272062,0.099025244750917,0.0989572423411697,0.0889271120649448,0.074845500978707,0.0264043695514732,0,0.131935996891773,0.0593484958699713,0.106308092591651,0.0930320407326557,0.104347161699091,0.0955924155482503,0.0029631976673777,0.0887418912956371,0.0836915862040338,0.0928416229560368,0.0215830788998531,0.0985152096560648,0.1046578242637,0.0353790600811826,0.108567665594129,0.0606657811116967,0.113790931411542,0,0.0551889607249429,0.0746220153226124,0.0713427765378497,9.58542739319438e-21,0.0826140383903263,0.139483562734571,0,0.101041368768499,0.114712779200189,0.0872922039540202,0.0698134762086774,0.103813908717225,5.28544339586735e-19,0,0,0.0605911106426317,0.0153291872757021,5.16692487222244e-18,0.0686058398178706,0.0481229165276453,0.124654896349426,2.41856625491799e-19,0,0,0.0433978445765632,0.0719433979822052,0.0578978170723654,0.138651025392319,0,0.0909637549489607
"CD8+ naive T-cells",0.0174483484067406,0.030837462184427,0.00150946394871867,0.0457795608639825,0.0662086789535443,0.0393144122183991,0.0288643392348417,4.18227357652851e-20,0.0367657804781279,7.79574450080079e-20,6.73668861928276e-19,0,0.0696443869643242,8.32912167895934e-19,0,0,0,1.25507523589681e-19,0.00532299711537134,0.0071975012642909,0.0790901227706658,0.0510764649494567,0,6.91313564600861e-19,0,0,6.11090963040591e-19,0,0.0345268458800939,0,0.00756966889983734,0.006564774270001,3.57164912293392e-18,0.00726225407182541,0.0189205151148414,0,1.01636354338064e-21,0,3.18986995577808e-19,0.0746456688360128,0,0,1.32128610680263e-19,0,6.17133904693026e-20,1.35226302819516e-17,0.0435213155213472,3.97035508989311e-19,0.0536602617507424,6.9294711882686e-20,0.0794695226596546,0,0,0.00749164195020983,0,0,0,0,0.0379670275522978,0,0,0,0.0308296881504717,4.22598497939847e-21,0,0,0.0390036746383761,0.0345896455742709,0,1.01817888388584e-18,0,0,0,1.07574178839911e-21,0,0.0158976363863006,0,0,0,0,0,0,0,2.65906346022686e-19,0,0.0297456698726817,0,3.14288977110618e-20,0.0685282428323867,0,0,5.85088542685754e-18,0.0203896884771604,7.02416200863421e-21,0.0246688321289594,3.19482518564391e-19,0.00106100816821679,0.0761266182031025,0,2.93313349372728e-19,0.021369979414386,0.00245186362497898,0,0.0652566191481756,0,0,1.6532535558224e-19,0.0157945345411577,0,0.0603547938579598,0.0171491449531983,0.102242722881331,0,0,0.0409963822452182,0.0754601197385996,0.0245102297324931,0,0.0618744922519279,0.0108975203311092,0.0694944960140491,0.00663044528662939,0,0,0,3.09758561393193e-20,1.02413495642545e-18
"CD8+ T-cells",0.124761331860738,0.109693815493292,0.190891844133835,0.0467693176012893,0.16715946184591,0.0126574217890972,7.05114387062232e-19,0.146198465286673,0.0705887985260181,0.0529078135447678,0.0853887056978671,0.0807881663699279,0.0671516149842012,0.082274607366449,0.075205605609533,0.0200849992659512,0.180587352999014,0.0301513121380348,1.34516969064055e-20,0.108287747086312,0,0.0293701102500932,0.165272416038743,0.0934815576268594,0.175140465002393,0.201790246371954,0.151697582729521,0.0189076166014775,1.38095102412513e-19,0.048385972534175,0.0327025316557554,0.0768017534298315,0.135246841801957,0.0765691890792593,0.0284370151940562,0.0513658175161571,0.141167687595013,0.0772420906390894,0.125788521513308,0.0305162500814048,0.0840220526632129,0.148862971416787,0.096414066773526,0.0458613143829049,6.0160763852019e-19,0.173008846501781,1.28371711572115e-18,0.16795855364391,0.0530871576415764,0.113827578901982,0.0859107434592866,0.140052898789862,0.0686618810618229,0.065042107209772,0.0795215458150884,0.130098121744513,0.0691123769635724,0.114372274912691,0.0461805179544107,0.0953796170982179,0.0868302890701661,0.000315554381307397,0.0334856952172216,0.107871842322002,0.153162193587532,0.184585526355173,3.98794465138506e-18,0,0.11186099033172,0.066707650264041,0.175042206704198,0.14333252752547,0.064308355344955,0.137241795449514,0.18403674761848,0.143533817599785,0.150206423347597,0.187078128031491,0.0933255599430752,0.150120240975223,0.0901191437392376,0.136745259972484,0.130046465530388,0.113354840266566,0.0645714178234516,0.168663092544684,0.153558711018693,0.0862639689523849,0.00805410512496827,0.137329507141713,0.0967406558589391,0.0706502449769414,0.0516042934895299,0.114854892646812,0.0967993871469987,0.20853041593662,0.0750437942453281,1.7620821827347e-18,0.184972303622901,0.144994262936194,0.0669758268797685,0.0901548749372356,0.121408675173285,0.00476492544631939,0.176250614115705,0.105146454558812,0.147210600014388,0.0479504264417659,0.0805456366351162,0.00476116360340326,0.0333553578728548,2.32140516201209e-19,0.0507499674639605,0.0633080571951758,0,0.017422734139373,0.150862140884816,0.100258841167217,0.00372759734765747,0.0120578293213785,0.0269041148273371,0.0721405841699555,0.053744574159565,0.108327982907338,0.082987826317819,0.0467633626281656,0.182336775200581
"CD8+ Tcm",0.235212821764763,0.163380005312409,0.229895875692083,0.00995002144538777,0.189855023767496,0.0580838636663327,0.0559481162075813,0.169959263167083,0.156774918320573,0.0781210526514908,0.147444849152124,0.134086669598617,0.148983335078734,0.14190174154481,0.0497738970824041,0.0418147845905054,0.185237839000841,0.0801506080817624,0.114898595348762,0.181957293129085,5.39733989122643e-18,0.0836550379487986,0.240119246143944,0.153799966668196,0.21844900864737,0.238814465696428,0.21741610033281,0.119889667031989,0.0262350969342646,0.144836857104525,0.0699996088832926,0.117788032659355,0.228578079136062,0.10826906040383,0.110625888562691,0.0575728616089164,0.170916400774022,0.0575240101477966,0.10833324521006,0.0345789083888538,0.148639092030995,0.196371963595523,0.100596984651363,0.0594076946560647,0.0151740551216263,0.186602019646872,0.00624282085860892,0.219955027905814,0.0468340771013031,0.10256945316515,0.0416457931152957,0.171044057712729,0.083615880146474,0.0980540832644619,0.0497365072869463,0.194470924993274,0.0692819559529921,0.113559265111838,0.0382387543391366,0.103749170290472,0.0645942241857294,0.0081641783219128,0.0349245452372729,0.124741645632069,0.190558190851894,0.161526211848126,1.89744184765253e-17,8.49480769014961e-19,0.112165432808017,0.0823343840913219,0.191048186292245,0.0896029439860205,0.0642906046964166,0.148845184228557,0.224202829203047,0.147813071704821,0.228345754694423,0.255057865985828,0.10401275475457,0.191603793745798,0.12795135499075,0.165062930414094,0.201008186676249,0.152984435881409,0.0514779789668583,0.0860252651318821,0.194310630939048,0.0887149159236436,0.0145294414271881,0.156737396804167,0.137617307553063,0.0910490872449483,0.153956694673254,0.0978526750018009,0.106850171947631,0.259586828311798,0.117280197665053,1.55819618885935e-20,0.230250309536686,0.216695598910694,0.0971955680415045,0.119020208252119,0.136721183976986,0.0595110551754249,0.228741051967985,0.141816040897812,0.240458135938045,0.0914436498849736,0.143983232018094,0.051979745616348,0.131357500432802,0.0716083347104257,0.0259034165553169,0.122614566215628,0.023750219959319,0.0219316780820751,0.203775952800686,0.173562565907607,0,0.11582447853722,0.122580125333767,0.0720768294980335,0.00746953654915561,0.17476167869822,0.183568892200081,0.146208957946658,0.224144118255323
"CD8+ Tem",0.203222572923605,0.156461351458806,0.283163016076563,0.100500261064475,0.362317124925671,0.0732695088736638,0.0174050133659903,0.183317396485893,0.175637858497231,0.153909925433433,0.14970449781508,0.160262414128385,0,0.220053150414558,0.106077570127003,0.0621261097347215,0.245659474544136,0.0743102412033562,0.0775118165205517,0.168559395207757,0,0.0644520762854025,0.32301970759751,0.147378022658208,0.251287012086948,0.368338136693182,0.157565054959637,0.0803503891730481,0.0975272709143152,0.0420277671858819,0.0959024976413614,0.12500368700619,0.383323615654151,0.195895487696861,0.141555736911064,0.266774089118015,0.181414574388792,0.23031240598667,0.313566053543443,1.46619395672508e-19,0.182853813236141,0.27247932868413,0.0882613749846477,0.173598906009225,0.0547518635480733,0.209237445628812,9.51921314374225e-18,0.31227096088309,0.00294075573016845,0.129556038130969,0.141966737791845,0.175459175370856,0.109517082150156,0.147918189443107,0.195280828219134,0.188620677592108,0.102347672208843,0.170119947369534,0.151738157049393,0.188462009821384,0.142246453553267,0.0971922321251104,0.0755957720187586,0.132919537944129,0.298576361934701,0.201356587533831,3.23073120305931e-18,0.116854869895308,0.160078241285173,0.26520112430288,0.330019783711705,0.27857565305489,0.209107857370699,0.248883374472123,0.239131031761904,0.197387794713488,0.265197506938903,0.335736148773651,0.235421178487879,0.233084977815418,0.160481540287876,0.25656176385256,0.176624725163541,0.357827307546085,0.119018757077939,0.197592209695722,0.249944446394376,0.141792109072167,0.0628792077453209,0.37016385983568,0.148074071123961,0.106653517594666,0.0640141667988791,0.156463316852098,0.089959803541256,0.406316018574207,0.230205590969373,0.0352423465570655,0.380302900653336,0.318493933724275,0.238650787633735,0.0908706964264344,0.180198341715325,0.0128790430541119,0.300922630723092,0.229886974750555,0.24516879903362,0.189659439463762,0.177244979600288,0.0357412081591278,0.111055476604292,2.64046030442791e-18,0.153338032601399,0.118160909414859,0.0287036085656297,0.0442580293889794,0.199460823851326,0.198067396753901,0.106109608186282,0.197901251325466,0.118696698640033,0.177519168022959,0.33352197239898,0.189286463537586,0.0947509749629256,0.160478247621018,0.306673133271297
"B-cells",0.125907283125406,0.0418127851969044,0.15010500714078,0.00319342069750167,0.000877647089751614,0.0289342552569814,0,0.113928268300764,0.084331667124974,0.0152658792194234,0.107212696662103,0.0323818542674324,0.101076534093313,0,0.0774090770928525,0.00740436827836967,0.0906534580570281,7.61364029939267e-20,0.121848403338935,0.103361479372033,0,0.0340754629053911,0.141255986050575,0.0903890136588939,0.145809896316995,0.0756997219080668,0.158213626887013,0.174455121665651,3.20913424260949e-18,0.0477849208587305,0.0324379523508408,0.0688991043467513,0.0694972907238614,1.1682884649231e-17,0.0607470054760225,0,0.0458987640018706,2.39630801996618e-19,0.0980341177186942,0.0357909009569036,0.0305143748124335,0.167649713494072,0.108333166539334,0,0,0.215958850730096,0.0128928900489227,0.0319240849369645,0.0702775857049011,0.117902809830424,0.00987688269882533,0.267933630613175,2.01611143422595e-20,0,0.0527058950349252,0.123907788925066,0.0884484011743714,0.176624580419977,0,0.142036830335128,0.0107223280522495,3.67460550802077e-22,0.0567269861253923,0.0871225823636253,0.0286387622663692,0.19055821227176,0.000964882044287247,0,0.034671219061769,0.0356367168680677,0.217187892159081,0.162907706956416,0.0895669301681871,0.152061533331986,0.153401757217712,0.115673768960926,0.148427888756884,0.0742587740758099,0.0440847273444342,0.186520066350661,0.0675766111765044,0.0392699057588427,0.0478934203989899,0,0.0434850718204208,0.0742115708759478,0.265996822314031,0.00378508806907826,0.0129877965763856,0.143388936506926,0.136751581867518,0.0799396368658943,0.14488844484424,0.149398230890336,0.119412187418406,0.164491348219377,1.25952246809628e-19,0,0.143874787240024,0.0578645039768731,0.0405858545353577,0.0632150452480007,0.144411406587491,0.0637121921699318,0.123715017630204,0.137761148527122,0.151604711613436,0.0475168573109965,0.0285866110936471,0,0.0730183339193663,0.135492959899806,1.13117249731812e-19,0.142373300206308,0.0236374927054271,0,0.193339212895478,0.147191098579712,0,0.0425168675644689,0.0393259025197033,0.0514171434253866,2.95510035445422e-18,0.167782500834092,0.117181826840668,0.0690545127315844,0.136141943937982
