"StromalScore" "ImmuneScore" "ESTIMATEScore" "TumorPurit"
"TCGA.91.6840" -307.846890955367 558.865932659756 251.019041704389 0.80099922177834
"TCGA.55.6986" -352.501542362286 722.794732037876 370.29318967559 0.790395524023861
"TCGA.05.4395" -525.652094021002 752.693809681098 227.041715660095 0.803101314933504
"TCGA.44.7672" 1034.48010639578 1951.67339832673 2986.15350472251 0.503354379655427
"TCGA.97.8175" -261.977070663815 1053.97785813295 792.000787469135 0.75098505125726
"TCGA.55.8087" -316.356554797966 222.413590078576 -93.94296471939 0.830273861035262
"TCGA.78.7160" 595.539208942606 1443.09820856953 2038.63741751214 0.618286600574289
"TCGA.L4.A4E5" -663.552228782584 -45.002334229067 -708.554563011651 0.877112490265758
"TCGA.97.A4LX" 1070.65919137264 2145.05916145629 3215.71835282893 0.473956831986801
"TCGA.86.8359" -326.552744519416 1046.32659962102 719.773855101603 0.757943467926637
"TCGA.44.6145" 701.263450214643 1732.57584690067 2433.83929711531 0.571678162489831
"TCGA.78.7155" -1090.94056511677 -644.143502145776 -1735.08406726254 0.939270834990216
"TCGA.55.7816" 1582.60214115985 1554.88599262176 3137.48813378161 0.484036948531711
"TCGA.99.8025" 30.7068190582954 63.7956387267391 94.5024577850345 0.814540849346305
"TCGA.44.A47G" 832.829201376072 1988.10978965474 2820.93899103081 0.524159613613757
"TCGA.55.8615" -696.903397297891 -302.685925380845 -999.589322678736 0.896824015418686
"TCGA.73.7499" -9.09030407358621 1557.39386898726 1548.30356491368 0.673206161649019
"TCGA.86.7711" 588.139461747359 1151.11538652263 1739.25484826999 0.652217940667634
"TCGA.86.8075" 1090.62503115769 831.187906325539 1921.81293748323 0.631672925709768
"TCGA.86.7955" -1666.80549665105 -918.958365357459 -2585.76386200851 0.974698737993235
"TCGA.55.8508" -95.8964730169112 649.42698108069 553.530508063779 0.773634533361164
"TCGA.67.3771" 297.714021443529 982.399318337884 1280.11333978141 0.701787327683826
"TCGA.55.A4DG" -493.733340098954 782.574340765937 288.841000666983 0.79766320900903
"TCGA.91.7771" 660.405435794253 1498.67002409774 2159.07545989199 0.604295920570145
"TCGA.91.6849" -41.3449953064291 1121.38824999671 1080.04325469028 0.722403048446621
"TCGA.64.5781" 102.852129658333 1256.66225554747 1359.5143852058 0.693436876494049
"TCGA.97.7552" 351.925347845894 2090.60188434307 2442.52723218896 0.570631352130221
"TCGA.80.5608" -786.042136214258 246.638826250376 -539.403309963882 0.86491815058818
"TCGA.91.6829" 1112.99982060404 260.189713788192 1373.18953439223 0.691989147452503
