""	"Signature.1"	"Signature.2"	"Signature.3"	"Signature.4"	"Signature.5"	"Signature.6"	"Signature.7"	"Signature.8"	"Signature.9"	"Signature.10"	"Signature.11"	"Signature.12"	"Signature.13"	"Signature.14"	"Signature.15"	"Signature.16"	"Signature.17"	"Signature.18"	"Signature.19"	"Signature.20"	"Signature.21"	"Signature.22"	"Signature.23"	"Signature.24"	"Signature.25"	"Signature.26"	"Signature.27"	"Signature.28"	"Signature.29"	"Signature.30"	"unknown"
"TCGA-97-7938-01A-11D-2167-08"	0	0	0.211991946994157	0.304637944293177	0	0	0	0.107034596965519	0	0	0	0	0.0673206493766161	0	0	0	0	0.0629440923905879	0	0	0	0	0	0.0516743572186606	0	0	0	0	0.122804316661099	0	0.0715920961001836
"TCGA-MP-A4TJ-01A-51D-A25L-08"	0.0756682842360443	0	0	0.145197552639924	0	0	0	0.118247345696114	0	0.0546444345821822	0	0	0	0	0	0	0	0	0	0	0.176542566466741	0.0922980733628711	0	0.18342955307837	0	0	0	0.051261911229742	0	0	0.102710278708012
"TCGA-97-7546-01A-11D-2036-08"	0	0	0.0597546664613111	0.498627187242044	0	0	0	0	0	0	0	0	0.0841312192824462	0	0	0	0	0	0	0.0947067764658621	0	0	0	0.0665392173824856	0	0	0	0	0.0945220870120821	0	0.101718846153769
"TCGA-44-7670-01A-11D-2063-08"	0	0	0	0.651947912190396	0	0	0	0.145079914636972	0	0	0	0	0.0938768618444332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109095311328199
"TCGA-62-A46Y-01A-11D-A24D-08"	0.114472315809047	0	0	0	0	0	0.0637040435611575	0	0.364313799959956	0	0	0	0	0	0	0	0	0	0	0	0.0817835412161973	0	0	0.197485420624737	0	0	0	0.131282685862198	0	0	0.0469581929667076
"TCGA-78-8640-01A-11D-2393-08"	0	0.0603010225537697	0	0.349363764135338	0	0	0	0.376958231889813	0	0	0	0	0.0974523276144447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115924653806634
"TCGA-J2-A4AG-01A-11D-A24D-08"	0	0	0	0.305233328349842	0	0	0	0	0	0	0.0734520237185818	0	0.12046396209484	0	0	0	0	0	0	0	0.0574877948902343	0	0.0517746926121594	0	0	0	0	0	0.29528097676	0	0.0963072215743432
"TCGA-95-7043-01A-11D-1945-08"	0	0	0	0.681637308890417	0	0	0	0.157277789340769	0	0	0	0	0	0	0	0	0	0.060569596943727	0	0	0	0	0	0	0	0	0	0	0	0	0.100515304825088
"TCGA-MP-A4SW-01A-21D-A24P-08"	0.199138303994046	0.0565306261924161	0.493689993450188	0	0	0	0.166858851774668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0837822245886818
"TCGA-55-A48X-01A-11D-A24D-08"	0	0	0	0.635972238963616	0	0	0	0.208478706788247	0	0	0	0	0.0538303525467742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101718701701362
"TCGA-17-Z030-01A-01W-0746-08"	0	0	0.066947792745829	0.521821760665335	0	0	0	0.246337012598279	0	0	0	0	0	0	0	0	0	0.058976711574966	0	0	0	0	0	0	0	0	0	0	0	0	0.105916722415592
"TCGA-17-Z003-01A-01W-0746-08"	0	0	0.192002356836122	0.0610733087503808	0	0	0	0.388928388352062	0	0	0	0	0.0569565741192949	0	0	0.0920068995661472	0	0	0	0	0.0888831019727145	0	0	0	0	0	0	0.0672696553429991	0	0	0.0528797150602788
"TCGA-97-8547-01A-11D-2393-08"	0	0.15910895081922	0	0	0	0.306640930232649	0	0	0	0.119820940055999	0	0	0.21702555240467	0	0	0	0	0.138253260765981	0	0	0	0	0	0	0	0	0	0	0	0	0.0591503657214811
"TCGA-55-8620-01A-11D-2393-08"	0	0	0.108515723306228	0.664694407548993	0	0	0	0	0	0	0	0	0	0.090197597543974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136592271600805
"TCGA-55-8092-01A-11D-2238-08"	0	0.144959560283575	0.0560529566074909	0.482400407811232	0	0	0	0.0917887072847076	0	0	0	0	0.0772713662421588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147527001770836
"TCGA-78-7163-01A-12D-2063-08"	0.524235928968797	0	0	0.377912052314066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0978520187171372	1.11022302462516e-16
"TCGA-71-8520-01A-11D-2393-08"	0	0	0	0.170945619901696	0.0889197240024376	0	0	0	0.072812309718644	0.152011761114164	0	0.12979218414147	0.105581947985421	0.118310295254125	0	0	0	0	0.0591046376568187	0	0	0	0	0	0	0	0	0	0	0	0.102521520225223
"TCGA-86-8279-01A-11D-2284-08"	0	0	0	0.585500152131062	0	0	0	0.225477779130331	0	0	0	0	0	0	0	0	0	0	0	0.10332695616422	0	0	0	0	0	0	0	0	0	0	0.0856951125743879
"TCGA-05-5425-01A-02D-1625-08"	0	0	0	0.463284620703698	0	0	0	0.323818998369795	0	0	0	0	0.0573132909908097	0	0	0.0549819296194451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100601160316252
"TCGA-05-4390-01A-02D-1753-08"	0	0	0	0.606742876041421	0	0	0	0.129383340427632	0	0	0	0	0	0.0608957963016804	0	0.104382272652772	0	0.0985957145764935	0	0	0	0	0	0	0	0	0	0	0	0	0
"TCGA-78-7152-01A-11D-2036-08"	0	0.0646734739313889	0	0	0	0	0.102646648259942	0	0	0	0	0	0.299144233166789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35421234390047	0	0.17932330074141
"TCGA-05-4427-01A-21D-1855-08"	0	0	0.091624258861552	0.451846308729506	0	0	0	0.25639873498117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200130697427773
"TCGA-86-8074-01A-11D-2238-08"	0.0564570345218644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.803099776166943	0.0952636286606437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0451795606505493
"TCGA-55-8508-01A-11D-2393-08"	0	0.0532006235059155	0	0.414400507558341	0	0	0	0.305756922269338	0	0	0	0	0	0	0	0.13980249757796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0868394490884449
"TCGA-05-4426-01A-01D-1265-08"	0.158883370875125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26266885411714	0	0	0	0	0	0	0	0.161264155011147	0	0.114015037851763	0	0	0	0.275875983380184	0.027292598764641
"TCGA-05-4402-01A-01D-1265-08"	0	0.0792845498940046	0.0941017544993704	0	0	0	0	0	0	0	0	0	0.541460308030806	0	0	0	0	0	0	0	0	0	0	0	0	0.0692520464930596	0	0	0.0509204999973558	0.164980841085403	0
"TCGA-44-3918-01A-01D-A271-08"	0	0	0	0.725621574899288	0	0	0	0	0	0	0	0	0.0830117606490622	0	0	0	0	0.132374704218735	0	0	0	0	0	0	0	0	0	0	0	0	0.0589919602329142
"TCGA-97-8172-01A-11D-2284-08"	0	0	0	0.505936745160044	0.225081121312443	0	0	0.068622471387317	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0729835613661447	0	0	0	0	0	0	0	0	0.127376100774051
"TCGA-86-8359-01A-11D-2323-08"	0	0	0	0.680247001774957	0	0	0	0.173594960950993	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0688515950151788	0	0	0	0	0	0	0	0	0.077306442258871
"TCGA-49-AAQV-01A-11D-A397-08"	0	0.124643902282361	0.392414981151685	0	0	0	0	0	0	0	0.169603197424754	0	0.263595369479565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049742549661635
"TCGA-78-7147-01A-11D-2036-08"	0	0.0712902936065879	0.262044537530196	0.264568030896982	0	0	0	0	0	0	0	0	0.0733001970806647	0.0782577683084261	0	0.0644784106101595	0	0	0	0.0579622655962226	0	0.0908735426210831	0	0	0	0	0	0	0	0	0.037224953749678
"TCGA-64-1677-01A-01W-0928-08"	0	0.116180177436222	0.24376847996817	0.0634441570058549	0	0	0	0	0.0619511895036936	0	0	0	0.226898849946962	0	0	0.0807795489499187	0	0	0	0	0	0	0	0.10841098453333	0	0	0	0	0	0	0.0985666126558488
"TCGA-91-8497-01A-11D-2393-08"	0.278071528467371	0	0.134831823560355	0.132634283312134	0	0	0.20193516243941	0.0783382652669301	0	0	0	0	0	0	0	0	0	0	0	0	0.15585709233802	0	0	0	0	0	0	0	0	0	0.0183318446157805
"TCGA-86-8075-01A-11D-2238-08"	0.42163097118893	0	0.279675737687382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163482489257684	0	0	0.111001371364973	0	0	0	0	0	0	0	0.0242094305010306
"TCGA-50-5946-01A-11D-1753-08"	0	0.076455319096521	0	0.438896483722804	0	0	0	0.191521025876755	0	0	0	0	0.15565951690172	0	0	0	0	0	0	0	0	0	0	0	0	0.0777373095828374	0	0	0	0	0.0597303448193616
"TCGA-49-AAR9-01A-21D-A410-08"	0	0	0	0.797358250096925	0	0	0	0.109678103164853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0929636467382227
"TCGA-MP-A4TF-01A-11D-A25L-08"	0	0	0	0.346828137801914	0	0	0	0.280036216706366	0	0	0	0	0	0.0749139168340824	0	0.11802216718061	0	0.111491769090774	0	0	0	0	0	0	0	0	0	0	0	0	0.0687077923862544
