Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-91-6848-01A-11D-1943-01	1	3301765	25960072	12510	0.4125
TCGA-91-6848-01A-11D-1943-01	1	25960349	37537447	5880	-0.2735
TCGA-91-6848-01A-11D-1943-01	1	37540575	44594157	3982	0.1368
TCGA-91-6848-01A-11D-1943-01	1	44594543	56809891	6725	0.2053
TCGA-91-6848-01A-11D-1943-01	1	56809938	56947440	126	0.3233
TCGA-91-6848-01A-11D-1943-01	1	56949128	66110011	6622	0.4064
TCGA-91-6848-01A-11D-1943-01	1	66113743	67583579	1075	0.2577
TCGA-91-6848-01A-11D-1943-01	1	67585340	68922750	897	0.3201
TCGA-91-6848-01A-11D-1943-01	1	68925377	70136659	686	0.2687
TCGA-91-6848-01A-11D-1943-01	1	70137474	71574023	673	0.0948
TCGA-91-6848-01A-11D-1943-01	1	71574396	71609678	34	-0.3154
TCGA-91-6848-01A-11D-1943-01	1	71611848	71612901	3	-1.0688
TCGA-91-6848-01A-11D-1943-01	1	71615847	71771947	95	-0.3235
TCGA-91-6848-01A-11D-1943-01	1	71772730	78817524	4017	0.0709
TCGA-91-6848-01A-11D-1943-01	1	78820249	78823134	3	-0.7441
TCGA-91-6848-01A-11D-1943-01	1	78828012	83581838	2790	-0.1279
TCGA-91-6848-01A-11D-1943-01	1	83583982	90181314	4338	-0.0865
TCGA-91-6848-01A-11D-1943-01	1	90184853	101393501	6781	-0.1399
TCGA-91-6848-01A-11D-1943-01	1	101393732	104029209	1262	-0.3723
TCGA-91-6848-01A-11D-1943-01	1	104030000	104031080	4	-2.1848
TCGA-91-6848-01A-11D-1943-01	1	104037255	149914031	9611	-0.3915
TCGA-91-6848-01A-11D-1943-01	1	149918981	163229800	7466	0.0523
TCGA-91-6848-01A-11D-1943-01	1	163230124	176809474	8968	0.0254
TCGA-91-6848-01A-11D-1943-01	1	176812307	186444147	6327	0.0569
TCGA-91-6848-01A-11D-1943-01	1	186445927	199228211	7420	0.0187
TCGA-91-6848-01A-11D-1943-01	1	199229232	201137701	1218	0.0505
TCGA-91-6848-01A-11D-1943-01	1	201139802	202255392	772	0.6388
TCGA-91-6848-01A-11D-1943-01	1	202256072	216715272	9680	0.055
TCGA-91-6848-01A-11D-1943-01	1	216716107	216888798	162	-0.1102
TCGA-91-6848-01A-11D-1943-01	1	216889123	221411936	3011	0.048
TCGA-91-6848-01A-11D-1943-01	1	221414108	221414673	2	-1.5087
TCGA-91-6848-01A-11D-1943-01	1	221416658	234598909	8353	0.0503
TCGA-91-6848-01A-11D-1943-01	1	234602243	238691981	2930	-0.1082
TCGA-91-6848-01A-11D-1943-01	1	238692338	238692794	3	-1.2717
TCGA-91-6848-01A-11D-1943-01	1	238699149	247650984	5289	-0.1195
TCGA-91-6848-01A-11D-1943-01	2	480597	2591883	672	-0.0946
TCGA-91-6848-01A-11D-1943-01	2	2592170	4092624	1011	0.0675
TCGA-91-6848-01A-11D-1943-01	2	4093210	6128120	1553	-0.0815
TCGA-91-6848-01A-11D-1943-01	2	6147036	7772463	1201	0.0971
TCGA-91-6848-01A-11D-1943-01	2	7775074	8688766	657	-0.0807
TCGA-91-6848-01A-11D-1943-01	2	8691497	8942881	137	0.1901
TCGA-91-6848-01A-11D-1943-01	2	8952330	12248380	2350	0.0363
TCGA-91-6848-01A-11D-1943-01	2	12248435	12726963	362	-0.079
TCGA-91-6848-01A-11D-1943-01	2	12727378	19274336	4359	-0.2923
TCGA-91-6848-01A-11D-1943-01	2	19275570	19396769	67	-0.0747
TCGA-91-6848-01A-11D-1943-01	2	19401181	21742659	1586	0.0446
TCGA-91-6848-01A-11D-1943-01	2	21746396	23146679	839	-0.0721
TCGA-91-6848-01A-11D-1943-01	2	23156506	33109323	5062	0.1351
TCGA-91-6848-01A-11D-1943-01	2	33109812	34001301	649	-0.0563
TCGA-91-6848-01A-11D-1943-01	2	34002885	36306679	1108	0.0884
TCGA-91-6848-01A-11D-1943-01	2	36307341	36577253	283	0.2854
TCGA-91-6848-01A-11D-1943-01	2	36580245	39356305	1329	0.3391
TCGA-91-6848-01A-11D-1943-01	2	39358128	40027671	354	0.2397
TCGA-91-6848-01A-11D-1943-01	2	40028084	41145494	782	0.1198
TCGA-91-6848-01A-11D-1943-01	2	41357637	44183401	1884	0.3017
TCGA-91-6848-01A-11D-1943-01	2	44183478	44564520	219	0.0573
TCGA-91-6848-01A-11D-1943-01	2	44565205	45626139	706	0.2397
TCGA-91-6848-01A-11D-1943-01	2	45626260	47623010	1503	0.3183
TCGA-91-6848-01A-11D-1943-01	2	47629104	48769082	587	0.2346
TCGA-91-6848-01A-11D-1943-01	2	48769178	50313339	1009	0.3549
TCGA-91-6848-01A-11D-1943-01	2	50316661	50465681	82	-0.2146
TCGA-91-6848-01A-11D-1943-01	2	50465844	51110349	154	0.2772
TCGA-91-6848-01A-11D-1943-01	2	51110458	51143808	10	-0.2444
TCGA-91-6848-01A-11D-1943-01	2	51148343	51463177	240	0.2686
TCGA-91-6848-01A-11D-1943-01	2	51463980	51464346	3	-1.0299
TCGA-91-6848-01A-11D-1943-01	2	51464712	51990407	317	0.2717
TCGA-91-6848-01A-11D-1943-01	2	51991014	53297105	565	0.1231
TCGA-91-6848-01A-11D-1943-01	2	53297233	56143744	1495	0.3166
TCGA-91-6848-01A-11D-1943-01	2	56144247	61743112	3261	0.1119
TCGA-91-6848-01A-11D-1943-01	2	61743938	63024010	628	0.2907
TCGA-91-6848-01A-11D-1943-01	2	63026181	66344409	1959	0.1514
TCGA-91-6848-01A-11D-1943-01	2	66345041	67227369	552	-0.0484
TCGA-91-6848-01A-11D-1943-01	2	67229870	75583142	4914	0.1539
TCGA-91-6848-01A-11D-1943-01	2	75587013	79529139	1763	-0.0635
TCGA-91-6848-01A-11D-1943-01	2	79529181	81518137	1321	-0.1327
TCGA-91-6848-01A-11D-1943-01	2	81518275	82597124	575	-0.0625
TCGA-91-6848-01A-11D-1943-01	2	82599931	82643113	18	0.3314
TCGA-91-6848-01A-11D-1943-01	2	82643517	83891944	684	-0.1004
TCGA-91-6848-01A-11D-1943-01	2	83891986	84947564	616	0.2639
TCGA-91-6848-01A-11D-1943-01	2	84947942	88636382	1244	0.2181
TCGA-91-6848-01A-11D-1943-01	2	88639624	95832876	357	0.2926
TCGA-91-6848-01A-11D-1943-01	2	95834706	103052928	3645	0.0156
TCGA-91-6848-01A-11D-1943-01	2	103057976	103782913	408	-0.08
TCGA-91-6848-01A-11D-1943-01	2	103785702	115272190	5973	0.0239
TCGA-91-6848-01A-11D-1943-01	2	115273160	132657921	8187	-0.0865
TCGA-91-6848-01A-11D-1943-01	2	132660778	134032137	951	-0.0276
TCGA-91-6848-01A-11D-1943-01	2	134032705	140978841	3749	-0.1096
TCGA-91-6848-01A-11D-1943-01	2	140979734	140979848	3	-0.9256
TCGA-91-6848-01A-11D-1943-01	2	140980420	141050132	63	-0.132
TCGA-91-6848-01A-11D-1943-01	2	141051596	141215800	97	-0.3325
TCGA-91-6848-01A-11D-1943-01	2	141217853	141654713	314	-0.8335
TCGA-91-6848-01A-11D-1943-01	2	141662165	148866859	3933	-0.3164
TCGA-91-6848-01A-11D-1943-01	2	148867539	152903725	2710	0.0619
TCGA-91-6848-01A-11D-1943-01	2	152904091	164068591	6262	-0.3151
TCGA-91-6848-01A-11D-1943-01	2	164071980	166073146	1111	-0.2141
TCGA-91-6848-01A-11D-1943-01	2	166075792	166147156	57	-0.3076
TCGA-91-6848-01A-11D-1943-01	2	166147451	166615366	295	-0.032
TCGA-91-6848-01A-11D-1943-01	2	166615984	166616233	2	-1.5906
TCGA-91-6848-01A-11D-1943-01	2	166617915	175496637	5608	-0.0817
TCGA-91-6848-01A-11D-1943-01	2	175503876	175509198	3	-1.0769
TCGA-91-6848-01A-11D-1943-01	2	175514325	177999613	1608	-0.0648
TCGA-91-6848-01A-11D-1943-01	2	178000430	178066361	41	-0.0155
TCGA-91-6848-01A-11D-1943-01	2	178068550	178227717	93	0.2111
TCGA-91-6848-01A-11D-1943-01	2	178230458	183670549	3252	-0.019
TCGA-91-6848-01A-11D-1943-01	2	183671197	199664857	7530	-0.0724
TCGA-91-6848-01A-11D-1943-01	2	199666359	208990175	5416	0.2512
TCGA-91-6848-01A-11D-1943-01	2	208990644	209123938	74	-0.016
TCGA-91-6848-01A-11D-1943-01	2	209124826	210997552	1036	-0.0918
TCGA-91-6848-01A-11D-1943-01	2	210998175	215411652	2675	-0.1261
TCGA-91-6848-01A-11D-1943-01	2	215412367	227155775	7605	-0.0843
TCGA-91-6848-01A-11D-1943-01	2	227159422	228085872	593	0.2672
TCGA-91-6848-01A-11D-1943-01	2	228086002	228638188	338	-0.0593
TCGA-91-6848-01A-11D-1943-01	2	228641159	228878293	111	0.2566
TCGA-91-6848-01A-11D-1943-01	2	228879280	235923929	4111	0.0067
TCGA-91-6848-01A-11D-1943-01	2	235924714	235925171	3	-1.1468
TCGA-91-6848-01A-11D-1943-01	2	235927013	240605435	2865	0.0179
TCGA-91-6848-01A-11D-1943-01	2	240642034	241537572	409	0.4028
TCGA-91-6848-01A-11D-1943-01	3	2170634	19303265	10360	0.0359
TCGA-91-6848-01A-11D-1943-01	3	19304628	22322395	1419	-0.1754
TCGA-91-6848-01A-11D-1943-01	3	22322452	59705846	21804	-0.1506
TCGA-91-6848-01A-11D-1943-01	3	59705967	61204491	198	-0.3462
TCGA-91-6848-01A-11D-1943-01	3	61204508	65191652	3142	-0.1218
TCGA-91-6848-01A-11D-1943-01	3	65194231	65194326	2	-1.2214
TCGA-91-6848-01A-11D-1943-01	3	65194955	70802887	3874	-0.1423
TCGA-91-6848-01A-11D-1943-01	3	70803589	70969366	112	-0.1815
TCGA-91-6848-01A-11D-1943-01	3	70969899	71062391	66	-0.4002
TCGA-91-6848-01A-11D-1943-01	3	71063099	90453712	10278	-0.1765
TCGA-91-6848-01A-11D-1943-01	3	91390926	96369683	1202	0.244
TCGA-91-6848-01A-11D-1943-01	3	96369797	96560684	79	0.5177
TCGA-91-6848-01A-11D-1943-01	3	96561690	97648466	525	-0.1045
TCGA-91-6848-01A-11D-1943-01	3	97655693	102707244	2665	-0.0494
TCGA-91-6848-01A-11D-1943-01	3	102715739	106835335	2493	-0.0951
TCGA-91-6848-01A-11D-1943-01	3	106836257	108695288	1110	0.1104
TCGA-91-6848-01A-11D-1943-01	3	108695995	110897496	1003	-0.0359
TCGA-91-6848-01A-11D-1943-01	3	110899133	115381595	2605	0.198
TCGA-91-6848-01A-11D-1943-01	3	115384452	116769015	983	-0.1198
TCGA-91-6848-01A-11D-1943-01	3	116769188	118559381	1293	-0.1816
TCGA-91-6848-01A-11D-1943-01	3	118562450	133080593	8205	-0.0711
TCGA-91-6848-01A-11D-1943-01	3	133086612	133269610	126	-0.3068
TCGA-91-6848-01A-11D-1943-01	3	133272650	153621492	10963	-0.077
TCGA-91-6848-01A-11D-1943-01	3	153623627	154007833	252	0.3886
TCGA-91-6848-01A-11D-1943-01	3	154012198	156017189	954	0.326
